barrio,poblacion,hogares,nbi,pct_nbi,escuelas_total,escuelas_estatales,escuelas_privadas,dispensarios_municipales,paradas_colectivo,lineas_colectivo,luminarias_reportes,comisarias,centros_vecinales,hogares_por_poblacion,poblacion_log,pct_escuelas_privadas,escuelas_por_1000_hab,dispensarios_por_10000_hab,comisarias_por_10000_hab,paradas_por_1000_hab,centros_vecinales_por_10000_hab,tiene_escuela,tiene_dispensario,tiene_comisaria,tiene_transporte,infraestructura_score,centroide_lat,centroide_lon,area_barrio_km2,densidad_poblacional,infraestructura_por_km2,outlier_flag,cluster_barrio,cluster_descripcion,categoria_infraestructura,tooltip_html
ALTO HERMOSO,-0.48927544742157275,-0.3986197661743339,-0.40562391232556805,-0.9237451798835615,-0.5518009520794055,-0.660755964257503,-0.3185713204273574,-0.4889171865444709,-0.2924906408745728,-0.20042968347886214,-0.5490765103497621,-0.2853478608449372,-1.0370819712844137,1.4725598833702847,-1.2424653705764666,-0.4496412372007491,-0.7649522791493887,-0.41923022653073,-0.27727181040083376,1.414249788663977,-0.647455543871472,-1.181972429259419,-0.49744243847086145,-0.29847421946995023,0.29027091864054483,0.3594446156057091,-31.3302939640896,-64.3052937554776,-0.08882588544497436,-1.1801308312454144,-0.32303443373133406,1,-1.1394297778614841,Anillo Denso Residencial,Alta,<b>ALTO HERMOSO</b><hr>Tipología: <span style='color:#38bdf8'>Anillo Denso Residencial</span><br>Pob: 500.0<br>Score Infra: <b style='color:#e2e8f0'>Alta</b>
ALTO PALERMO,-0.4053496114626694,-0.33783129896362446,-0.40562391232556805,-0.9237451798835615,-0.35513137076247453,-0.31481413714624074,-0.3185713204273574,-0.4889171865444709,1.2762027124095074,1.7100988783371929,0.4058746273830697,-0.2853478608449372,-1.0370819712844137,0.3791338589544556,-0.6113687694951725,-0.4496412372007491,0.045391170770376896,-0.41923022653073,-0.27727181040083376,2.6428988239083124,-0.647455543871472,0.8460434230488473,-0.49744243847086145,-0.29847421946995023,0.29027091864054483,1.5591244222462348,-31.3756925958522,-64.2247362943992,-0.24583023794704628,-0.6652282970571206,0.1785529218703459,1,-0.40822090466690975,Núcleo Urbano Consolidado,Muy Alta,<b>ALTO PALERMO</b><hr>Tipología: <span style='color:#38bdf8'>Núcleo Urbano Consolidado</span><br>Pob: 923.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Alta</b>
ALTO VERDE,0.19641648892351002,0.19666909741162295,-0.3828573255182983,-0.8827365906887432,0.6282165358221802,0.031127689965021584,1.1040896447687865,-0.4889171865444709,-0.38476672047951876,-0.39148253966046764,3.028968258877051,-0.2853478608449372,-1.0370819712844137,0.17086223525620228,0.8880012598711695,2.030720270217316,0.37553109481176283,-0.41923022653073,-0.27727181040083376,-0.771209682776884,-0.647455543871472,0.8460434230488473,-0.49744243847086145,-0.29847421946995023,0.29027091864054483,-0.4901717423019696,-31.3735358226288,-64.2141325964614,0.14064201436574614,-0.4970275186760547,-0.4691551199570336,1,0.3229879685276647,Suburbio Popular Consolidado,Baja,<b>ALTO VERDE</b><hr>Tipología: <span style='color:#38bdf8'>Suburbio Popular Consolidado</span><br>Pob: 3956.0<br>Score Infra: <b style='color:#e2e8f0'>Baja</b>
ALTOS DE VELEZ SARSFIELD,-0.25555290661876384,-0.21023028220600903,-0.3525018764419387,-0.6937404839647985,-0.35513137076247453,-0.31481413714624074,-0.3185713204273574,-0.4889171865444709,-0.10793848166468102,-0.009376827297256658,0.478402561894424,-0.2853478608449372,0.3188888414377209,0.15350626661468117,0.004259777638051034,-0.4496412372007491,-0.3147614736384079,-0.41923022653073,-0.27727181040083376,-0.1277047505676634,0.09050415721721074,0.8460434230488473,-0.49744243847086145,-0.29847421946995023,0.29027091864054483,-0.4165024758251646,-31.4483323168207,-64.2140975038702,-0.2760233826589832,0.21808239926904813,-0.26894167969585875,1,0.3229879685276647,Suburbio Popular Consolidado,Media,<b>ALTOS DE VELEZ SARSFIELD</b><hr>Tipología: <span style='color:#38bdf8'>Suburbio Popular Consolidado</span><br>Pob: 1678.0<br>Score Infra: <b style='color:#e2e8f0'>Media</b>
ALTOS DE VILLA CABRERA,-0.35753370965156844,-0.28909099642530783,-0.36767960098011854,-0.700872412520419,-0.35513137076247453,-0.31481413714624074,-0.3185713204273574,-0.4889171865444709,0.6302701551748863,1.7100988783371929,0.49653454552226256,-0.2853478608449372,-1.0370819712844137,0.5006256394451024,-0.37316073869488026,-0.4496412372007491,-0.11967879125031615,-0.41923022653073,-0.27727181040083376,1.3313159787849846,-0.647455543871472,0.8460434230488473,-0.49744243847086145,-0.29847421946995023,0.29027091864054483,0.6266973560361623,-31.3812472018439,-64.2196230940151,-0.2639461247742084,-0.3646824930543284,0.005034606977327778,1,-1.1394297778614841,Anillo Denso Residencial,Alta,<b>ALTOS DE VILLA CABRERA</b><hr>Tipología: <span style='color:#38bdf8'>Anillo Denso Residencial</span><br>Pob: 1164.0<br>Score Infra: <b style='color:#e2e8f0'>Alta</b>
ALTOS SAN MARTIN,-0.33471699301971525,-0.2671852424755026,-0.3828573255182983,-0.8025023944380121,-0.5518009520794055,-0.660755964257503,-0.3185713204273574,-0.4889171865444709,-0.38476672047951876,-0.39148253966046764,0.520710523692714,-0.2853478608449372,-1.0370819712844137,0.5006256394451024,-0.2751963970237637,-0.4496412372007491,-0.7649522791493887,-0.41923022653073,-0.27727181040083376,-0.20295950397637896,-0.647455543871472,-1.181972429259419,-0.49744243847086145,-0.29847421946995023,0.29027091864054483,-0.6891325349765526,-31.3772325958898,-64.2143578517347,-0.2699847537165958,-0.2149397191034379,-0.361672115185245,1,-1.1394297778614841,Anillo Denso Residencial,Baja,<b>ALTOS SAN MARTIN</b><hr>Tipología: <span style='color:#38bdf8'>Anillo Denso Residencial</span><br>Pob: 1279.0<br>Score Infra: <b style='color:#e2e8f0'>Baja</b>
ALTOS SUD DE SAN VICENTE,-0.3855089883045362,-0.35754647751844915,-0.2462578046746801,0.4384531742399653,-0.5518009520794055,-0.660755964257503,-0.3185713204273574,-0.4889171865444709,-0.6615949592943564,-0.39148253966046764,-0.5067685485514721,-0.2853478608449372,-1.0370819712844137,-0.801072008668979,-0.5061860026482898,-0.4496412372007491,-0.7649522791493887,-0.41923022653073,-0.27727181040083376,-0.4425460658490243,-0.647455543871472,-1.181972429259419,-0.49744243847086145,-0.29847421946995023,0.29027091864054483,-0.8445370460115648,-31.4371311914398,-64.1408888444944,-0.3545255589100192,1.1723168686260903,-0.20536513112169624,1,0.3229879685276647,Suburbio Popular Consolidado,Muy Baja,<b>ALTOS SUD DE SAN VICENTE</b><hr>Tipología: <span style='color:#38bdf8'>Suburbio Popular Consolidado</span><br>Pob: 1023.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Baja</b>
AMEGHINO NORTE,0.16169539839677696,0.04387646361173153,0.5353950090415799,1.2693228509697607,-0.35513137076247453,-0.31481413714624074,-0.3185713204273574,1.901887855657992,0.5379940755699403,0.5637817412475599,-0.07160094148334624,-0.2853478608449372,0.3188888414377209,-0.8357839459520212,0.8415970980269568,-0.4496412372007491,-0.569869596761297,1.0205586859105416,-0.27727181040083376,-0.3519331994997546,-0.32057406553688766,0.8460434230488473,2.0102828441296667,-0.29847421946995023,0.29027091864054483,-0.21485302379011423,-31.4291728661583,-64.2372008417107,-0.08882588544497436,0.07499158854851726,-0.39539227354502177,1,1.7854057149168137,Periferia Vulnerable,Media,<b>AMEGHINO NORTE</b><hr>Tipología: <span style='color:#38bdf8'>Periferia Vulnerable</span><br>Pob: 3781.0<br>Score Infra: <b style='color:#e2e8f0'>Media</b>
AMEGHINO SUD,0.0958245295117748,0.09042619075506762,-0.2690243914819498,-0.6295531269642134,0.23487737318831833,0.7230113441875463,-0.3185713204273574,-0.4889171865444709,0.9993744735946698,0.7548345974291654,1.5240136177664487,-0.2853478608449372,0.3188888414377209,0.03201448612403339,0.7467263671454564,-0.4496412372007491,0.10541661150517423,-0.41923022653073,-0.27727181040083376,-0.06320067621733581,-0.28838119267060286,0.8460434230488473,-0.49744243847086145,-0.29847421946995023,0.29027091864054483,-0.1659194234296087,-31.4344344120781,-64.2375798932284,-0.08278725650258698,-0.07690551440311456,-0.3915285053996307,1,0.3229879685276647,Suburbio Popular Consolidado,Media,<b>AMEGHINO SUD</b><hr>Tipología: <span style='color:#38bdf8'>Suburbio Popular Consolidado</span><br>Pob: 3449.0<br>Score Infra: <b style='color:#e2e8f0'>Media</b>
AMPLIACION ALTAMIRA,-0.21210194190245218,-0.23213603615581427,-0.12483600836924166,0.38496371007281116,-0.5518009520794055,-0.660755964257503,-0.3185713204273574,1.901887855657992,0.4457179959649944,-0.39148253966046764,-0.4946805594662464,-0.2853478608449372,1.6748596541598555,-0.8531399145935423,0.13109782001223289,-0.4496412372007491,-0.7649522791493887,2.4548938524713537,-0.27727181040083376,0.25164063906402506,0.657593994630997,-1.181972429259419,2.0102828441296667,-0.29847421946995023,0.29027091864054483,0.5514148939430771,-31.418800365534,-64.130149050924,-0.3001778984285327,0.8483360231110774,0.16274659763920057,1,0.3229879685276647,Suburbio Popular Consolidado,Alta,<b>AMPLIACION ALTAMIRA</b><hr>Tipología: <span style='color:#38bdf8'>Suburbio Popular Consolidado</span><br>Pob: 1897.0<br>Score Infra: <b style='color:#e2e8f0'>Alta</b>
