barrio,poblacion,hogares,nbi,escuelas_municipales,pct_nbi
ARGUELLO,14865.0,4354.0,87.0,0,2.0
APEADERO LA TABLADA,443.0,133.0,3.0,0,2.3
ANEXO LOS ALAMOS,757.0,218.0,3.0,0,1.4
ANA MARIA ZUMARAN,3542.0,1198.0,36.0,0,3.0
AMPLIACION VELEZ SARSFIELD,1625.0,449.0,14.0,0,3.1
AMPLIACION URCA,2059.0,630.0,3.0,0,0.5
AMPLIACION SAN PABLO,2247.0,735.0,2.0,0,0.3
AMPLIACION SAN FERNANDO,3375.0,1000.0,48.0,0,4.8
AMPLIACION ROSEDAL,3123.0,814.0,40.0,0,4.9
AMPLIACION RESIDENCIAL AMERICA,5488.0,1603.0,53.0,0,3.3
AMPLIACION PUEYRREDON,1809.0,553.0,14.0,0,2.5
AMPLIACION PRIMERO DE MAYO,1690.0,389.0,40.0,0,10.3
AMPLIACION POETA LUGONES,2830.0,839.0,2.0,0,0.2
AMPLIACION PARQUE SAN CARLOS,1070.0,311.0,4.0,0,1.3
AMPLIACION PANAMERICANO,1545.0,528.0,10.0,0,1.9
AMPLIACION PALMAR,1356.0,380.0,6.0,0,1.6
AMPLIACION LOS PLATANOS,1060.0,281.0,10.0,0,3.6
AMPLIACION LOS ALAMOS,795.0,194.0,4.0,0,2.1
AMPLIACION LAS PALMAS,1750.0,513.0,12.0,0,2.3
AMPLIACION KENNEDY,370.0,105.0,7.0,0,6.7
AMPLIACION JOSE IGNACIO DIAZ SECCION 3,668.0,152.0,22.0,0,14.5
AMPLIACION JOSE IGNACIO DIAZ SECCION 2,1883.0,430.0,56.0,0,13.0
AMPLIACION JARDIN ESPINOSA,519.0,158.0,0.0,0,0.0
AMPLIACION GENERAL ARTIGAS,2325.0,661.0,20.0,0,3.0
AMPLIACION EMPALME,3115.0,940.0,25.0,0,2.7
AMPLIACION CABO FARINA,280.0,73.0,12.0,0,16.4
AMPLIACION BENJAMIN MATIENZO,1012.0,256.0,27.0,0,10.5
AMPLIACION ALTAMIRA,1897.0,504.0,37.0,0,7.3
AMEGHINO SUD,3449.0,1093.0,18.0,0,1.6
AMEGHINO NORTE,3781.0,1008.0,124.0,0,12.3
ALTOS SUD DE SAN VICENTE,1023.0,275.0,21.0,0,7.6
ALTOS SAN MARTIN,1279.0,440.0,3.0,0,0.7
ALTOS DE VILLA CABRERA,1164.0,400.0,5.0,0,1.2
ALTOS DE VELEZ SARSFIELD,1678.0,544.0,7.0,0,1.3
ALTO VERDE,3956.0,1287.0,3.0,0,0.2
ALTO PALERMO,923.0,311.0,0.0,0,0.0
ALTO HERMOSO,134.0,39.0,0.0,0,0.0
HOGAR PROPIO,4716.0,1581.0,56.0,0,3.5
ALTO DE SANTA ANA,1508.0,424.0,20.0,0,4.7
ALTO DE DON BOSCO,675.0,212.0,0.0,0,0.0
ALTO ALBERDI,30472.0,10101.0,389.0,0,3.9
ALTAMIRA,6103.0,1895.0,36.0,0,1.9
ALTA CORDOBA,34575.0,12560.0,372.0,0,3.0
ALMIRANTE BROWN,1019.0,246.0,13.0,0,5.3
ALEJANDRO CENTENO,1231.0,432.0,2.0,0,0.5
ALBORADA SUR,311.0,99.0,1.0,0,1.0
ALBORADA NORTE,405.0,133.0,2.0,0,1.5
ALBERDI,32729.0,15505.0,858.0,0,5.5
AIRES DEL SUR,142.0,32.0,0.0,0,0.0
AEROPUERTO,272.0,76.0,5.0,0,6.6
AERONAUTICO- VILLA ZEPELLIN,928.0,256.0,7.0,0,2.7
ACOSTA,5512.0,1519.0,137.0,0,9.0
ACHAVAL PENA,754.0,218.0,10.0,0,4.6
4 DE FEBRERO,854.0,207.0,16.0,0,7.7
25 DE MAYO,441.0,113.0,31.0,0,27.4
23 DE ABRIL,1879.0,424.0,69.0,0,16.3
20 DE JUNIO,661.0,157.0,28.0,0,17.8
2 DE SEPTIEMBRE,2624.0,588.0,126.0,0,21.4
1 DE MAYO,9998.0,2788.0,171.0,0,6.1
DE LOS DOCENTES,155.0,48.0,0.0,0,0.0
