cueanexo,nombre,est_sector,est_ambito,est_barrio,est_localidad,nivel,lat,lon,barrio_asignado
140408500,I.P.E.M. Nº 39 DON BOSCO,Estatal,Urbano,DON BOSCO,CORDOBA,"[""0. Común - Inicial"",""1. Común - Primario"",""2. Común - Secundario""]",-31.3874,-64.2732,PARQUE DON BOSCO
140411100,I.P.E.M. Nº 43 PTE. HIPOLITO YRIGOYEN,Estatal,Urbano,SAN MARTIN,CORDOBA,"[""2. Común - Secundario""]",-31.3978,-64.1985,SAN MARTIN
140411200,I.P.E.M. Nº 35 RICARDO ROJAS,Estatal,Urbano,ALTOS DE VILLA CABRERA,CORDOBA,"[""2. Común - Secundario""]",-31.3819,-64.2222,LAS MARGARITAS
140411300,I.P.E.M. Nº 183 PEDRO B. PALACIOS,Estatal,Urbano,CONGRESO,CORDOBA,"[""2. Común - Secundario""]",-31.4662,-64.2353,CONGRESO
140411400,INSTITUTO TECNICO RENAULT,Privado,Urbano,SANTA ISABEL,CORDOBA,"[""2. Común - Secundario""]",-31.4645,-64.2575,SACHI
140411800,I.P.E.T. Nº 57 COMODORO MARTIN RIVADAVIA,Estatal,Urbano,GENERAL PAZ,CORDOBA,"[""2. Común - Secundario""]",-31.4142,-64.1632,YAPEYU
140413500,INSTITUTO NUESTRA SEÑORA DE LA MERCED,Privado,Urbano,SAN MARTIN,CORDOBA,"[""2. Común - Secundario""]",-31.3983,-64.1965,SAN MARTIN
140414500,INSTITUTO SEC. PQUIAL. MONSEÑOR FERMIN LAFITTE,Privado,Urbano,LOS PARAISOS,CORDOBA,"[""2. Común - Secundario""]",-31.3847,-64.1958,SARGENTO CABRAL
140414700,INSTITUTO SEC. BRIG. MAYOR JUAN I. SAN MARTIN,Privado,Urbano,ARGUELLO NORTE,CORDOBA,"[""2. Común - Secundario""]",-31.3208,-64.2565,MERCANTIL
140426400,I.P.E.M.y T. Nº 204 ING. ALBERTO EMILIO LUCCHINI,Estatal,Urbano,CENTRO AMERICA,CORDOBA,"[""2. Común - Secundario""]",-31.3753,-64.1734,VILLA AZALAIS OESTE
140426700,INSTITUTO MARK TWAIN,Privado,Urbano,DON BOSCO,CORDOBA,"[""2. Común - Secundario""]",-31.3742,-64.2643,PARQUE DON BOSCO
140426800,INSTITUTO EMPALME CR. ABEL GONZALEZ LACANNA ,Privado,Urbano,EMPALME,CORDOBA,"[""2. Común - Secundario""]",-31.4297,-64.1287,ACOSTA
140429300,C.E.N.M.A. Nº 125,Estatal,Urbano,CIUDAD UNIVERSITARIA,CORDOBA,"[""7. Jóvenes y Adultos - Secundario""]",-31.4436,-64.1936,LAS FLORES
140429302,C.E.N.M.A. N° 125 - ANEXO B° IRUPE,Estatal,Urbano,IRUPE,CORDOBA,"[""7. Jóvenes y Adultos - Secundario""]",-31.4604,-64.2036,CABO FARINA
140429303,C.E.N.M.A. Nº 125 ANEXO BARRIO ITUZAINGO,Estatal,Urbano,ITUZAINGO,CORDOBA,"[""7. Jóvenes y Adultos - Secundario""]",-31.4661,-64.089,ITUZAINGO ANEXO
140429306,C.E.N.M.A. Nº 125 ANEXO Bº INAUDI,Estatal,Rural,INAUDI,CORDOBA,"[""7. Jóvenes y Adultos - Secundario""]",-31.4767,-64.1936,INAUDI
140429407,C.E.N.M.A. Nº 216 ANEXO VILLA RIVERA INDARTE,Estatal,Urbano,VILLA RIVERA INDARTE,CORDOBA,"[""7. Jóvenes y Adultos - Secundario""]",-31.3202,-64.2942,VILLA RIVERA INDARTE
140430400,COLEGIO  SANTA ANA,Privado,Urbano,ARGUELLO,CORDOBA,"[""1. Común - Primario""]",-31.3387,-64.2598,ARGUELLO
140432800,INSTITUTO SANTO CRISTO B.A.P.A.JOSE G. BROCHERO,Privado,Urbano,OBSERVATORIO,CORDOBA,"[""7. Jóvenes y Adultos - Secundario""]",-31.4239,-64.2044,CUPANI
140432900,INSTITUTO NTRA. SRA. DEL TRABAJO,Privado,Urbano,VILLA EL LIBERTADOR,CORDOBA,"[""2. Común - Secundario"",""6. Jóvenes y Adultos - Primario"",""7. Jóvenes y Adultos - Secundario""]",-31.4755,-64.2233,VILLA EL LIBERTADOR
