barrio,poblacion,hogares,nbi,pct_nbi,escuelas_total,escuelas_estatales,escuelas_privadas,dispensarios_municipales,paradas_colectivo,lineas_colectivo,luminarias_reportes,comisarias,centros_vecinales,poblacion_log,pct_escuelas_privadas,escuelas_por_1000_hab,dispensarios_por_10000_hab,comisarias_por_10000_hab,paradas_por_1000_hab,centros_vecinales_por_10000_hab,tiene_escuela,tiene_dispensario,tiene_comisaria,tiene_transporte,infraestructura_score,centroide_lat,centroide_lon,area_barrio_km2,densidad_poblacional,densidad_hogares,infraestructura_por_km2,educacion_ratio_publico_privado,servicios_basicos_score,tamano_promedio_hogar,cluster_barrio,cluster_descripcion,categoria_infraestructura,tooltip_html
ALTO HERMOSO,500.0,200.0,0.0,0.0,0,0,0,0,8,3,0,0,0,6.217,0.0,0.0,0.0,0.0,16.0,0.0,0,0,0,1,0.2963,0.0,0.0,0.52,961.5385,384.6154,0.5698,1.0,0.3333,2.5,1,"Núcleo Consolidado (Alto Estándar, Alta Infraestructura)",Alta,"<b>ALTO HERMOSO</b><hr>Tipología: Núcleo Consolidado (Alto Estándar, Alta Infraestructura)<br>Pob: 500.0<br>Score Infra: Alta"
ALTO PALERMO,923.0,311.0,0.0,0.0,1,1,0,0,25,13,158,0,0,6.829,0.0,1.08,0.0,0.0,24.0,0.0,1,0,0,1,0.5194,0.0,0.0,0.26,3550.0,1196.1538,1.9977,2.0,0.6667,2.9678,1,"Núcleo Consolidado (Alto Estándar, Alta Infraestructura)",Muy Alta,"<b>ALTO PALERMO</b><hr>Tipología: Núcleo Consolidado (Alto Estándar, Alta Infraestructura)<br>Pob: 923.0<br>Score Infra: Muy Alta"
ALTO VERDE,3956.0,1287.0,3.0,0.23,6,2,4,0,7,2,592,0,0,8.283,0.667,1.52,0.0,0.0,1.77,0.0,1,0,0,1,0.1383,0.0,0.0,0.9,4395.5556,1430.0,0.1537,0.6,0.6667,3.0738,0,"Transición Urbana (Vulnerabilidad Media, Servicios Básicos)",Baja,"<b>ALTO VERDE</b><hr>Tipología: Transición Urbana (Vulnerabilidad Media, Servicios Básicos)<br>Pob: 3956.0<br>Score Infra: Baja"
ALTOS DE VELEZ SARSFIELD,1678.0,544.0,7.0,1.29,1,1,0,0,10,4,170,0,1,7.426,0.0,0.6,0.0,0.0,5.96,5.96,1,0,0,1,0.152,0.0,0.0,0.21,7990.4762,2590.4762,0.7238,2.0,0.6667,3.0846,0,"Transición Urbana (Vulnerabilidad Media, Servicios Básicos)",Media,"<b>ALTOS DE VELEZ SARSFIELD</b><hr>Tipología: Transición Urbana (Vulnerabilidad Media, Servicios Básicos)<br>Pob: 1678.0<br>Score Infra: Media"
ALTOS DE VILLA CABRERA,1164.0,400.0,5.0,1.25,1,1,0,0,18,13,173,0,0,7.06,0.0,0.86,0.0,0.0,15.46,0.0,1,0,0,1,0.346,0.0,0.0,0.23,5060.8696,1739.1304,1.5043,2.0,0.6667,2.91,1,"Núcleo Consolidado (Alto Estándar, Alta Infraestructura)",Alta,"<b>ALTOS DE VILLA CABRERA</b><hr>Tipología: Núcleo Consolidado (Alto Estándar, Alta Infraestructura)<br>Pob: 1164.0<br>Score Infra: Alta"
ALTOS SAN MARTIN,1279.0,440.0,3.0,0.68,0,0,0,0,7,2,177,0,0,7.155,0.0,0.0,0.0,0.0,5.47,0.0,0,0,0,1,0.1013,0.0,0.0,0.22,5813.6364,2000.0,0.4605,1.0,0.3333,2.9068,0,"Transición Urbana (Vulnerabilidad Media, Servicios Básicos)",Baja,"<b>ALTOS SAN MARTIN</b><hr>Tipología: Transición Urbana (Vulnerabilidad Media, Servicios Básicos)<br>Pob: 1279.0<br>Score Infra: Baja"
ALTOS SUD DE SAN VICENTE,1023.0,275.0,21.0,7.64,0,0,0,0,4,2,7,0,0,6.931,0.0,0.0,0.0,0.0,3.91,0.0,0,0,0,1,0.0724,0.0,0.0,0.08,12787.5,3437.5,0.905,1.0,0.3333,3.72,0,"Transición Urbana (Vulnerabilidad Media, Servicios Básicos)",Muy Baja,"<b>ALTOS SUD DE SAN VICENTE</b><hr>Tipología: Transición Urbana (Vulnerabilidad Media, Servicios Básicos)<br>Pob: 1023.0<br>Score Infra: Muy Baja"
AMEGHINO NORTE,3781.0,1008.0,124.0,12.3,1,1,0,1,17,7,79,0,1,8.238,0.0,0.26,2.64,0.0,4.5,2.64,1,1,0,1,0.1895,0.0,0.0,0.52,7271.1538,1938.4615,0.3644,2.0,1.0,3.751,0,"Transición Urbana (Vulnerabilidad Media, Servicios Básicos)",Media,"<b>AMEGHINO NORTE</b><hr>Tipología: Transición Urbana (Vulnerabilidad Media, Servicios Básicos)<br>Pob: 3781.0<br>Score Infra: Media"
AMEGHINO SUD,3449.0,1093.0,18.0,1.65,4,4,0,0,22,8,343,0,1,8.146,0.0,1.16,0.0,0.0,6.38,2.9,1,0,0,1,0.1986,0.0,0.0,0.53,6507.5472,2062.2642,0.3747,5.0,0.6667,3.1555,0,"Transición Urbana (Vulnerabilidad Media, Servicios Básicos)",Media,"<b>AMEGHINO SUD</b><hr>Tipología: Transición Urbana (Vulnerabilidad Media, Servicios Básicos)<br>Pob: 3449.0<br>Score Infra: Media"
AMPLIACION ALTAMIRA,1897.0,504.0,37.0,7.34,0,0,0,1,16,2,9,0,2,7.549,0.0,0.0,5.27,0.0,8.43,10.54,0,1,0,1,0.332,0.0,0.0,0.17,11158.8235,2964.7059,1.9529,1.0,0.6667,3.7639,0,"Transición Urbana (Vulnerabilidad Media, Servicios Básicos)",Alta,"<b>AMPLIACION ALTAMIRA</b><hr>Tipología: Transición Urbana (Vulnerabilidad Media, Servicios Básicos)<br>Pob: 1897.0<br>Score Infra: Alta"
