barrio,poblacion,hogares,nbi,pct_nbi,escuelas_total,escuelas_estatales,escuelas_privadas,dispensarios_municipales,paradas_colectivo,lineas_colectivo,luminarias_reportes,comisarias,centros_vecinales,poblacion_log,pct_escuelas_privadas,escuelas_por_1000_hab,dispensarios_por_10000_hab,comisarias_por_10000_hab,paradas_por_1000_hab,centros_vecinales_por_10000_hab,tiene_escuela,tiene_dispensario,tiene_comisaria,tiene_transporte,infraestructura_score,centroide_lat,centroide_lon,area_barrio_km2,densidad_poblacional,densidad_hogares,infraestructura_por_km2,educacion_ratio_publico_privado,servicios_basicos_score,tamano_promedio_hogar,cluster_barrio,cluster_descripcion,categoria_infraestructura,tooltip_html
PANAMERICANO,0.08,0.083,-0.2066,-0.4871,0.2398,0.7289,-0.3168,-0.4858,0.1759,0.1885,0.0672,-0.2838,0.3244,0.7246,-0.4469,0.1362,-0.4167,-0.2758,-0.4442,-0.2767,0.8528,-0.4943,-0.2968,0.2968,-0.3951,-31.3728037015138,-64.1799531562142,-0.0548,-0.189,-0.1358,-0.424,1.6512,0.4055,-0.2692,0.5508,Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa,Media,<b>PANAMERICANO</b><hr>Pob: 3346.0<br>Cluster: Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa<br>Infr: Media
PARQUE ALAMEDA,-0.4559,-0.3966,-0.3819,-0.652,-0.5499,-0.6587,-0.3168,-0.4858,-1.026,-0.7696,-0.3999,-0.2838,0.3244,-0.9553,-0.4469,-0.7611,-0.4167,-0.2758,-1.0409,1.2434,-1.1726,-0.4943,-0.2968,-3.369,-1.2289,-31.4667304669222,-64.1842467716332,-0.261,-0.7867,-0.6849,-0.5199,-0.6046,-2.1885,0.0077,0.5508,Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa,Muy Baja,<b>PARQUE ALAMEDA</b><hr>Pob: 656.0<br>Cluster: Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa<br>Infr: Muy Baja
PARQUE ATLANTICA,-0.1386,-0.1029,-0.2752,-0.5066,-0.3525,-0.3118,-0.3168,-0.4858,-0.1014,0.1885,-0.2482,-0.2838,-1.0337,0.3149,-0.4469,-0.4321,-0.4167,-0.2758,-0.3582,-0.6477,0.8528,-0.4943,-0.2968,0.2968,-0.6228,-31.4538400218945,-64.2100439245679,-0.2003,-0.0018,0.0508,-0.3993,-0.0407,0.4055,-0.3731,0.5508,Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa,Baja,<b>PARQUE ATLANTICA</b><hr>Pob: 2249.0<br>Cluster: Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa<br>Infr: Baja
PARQUE CAPITAL,0.2047,0.193,-0.359,-0.8346,0.0424,0.0351,0.0405,-0.4858,0.0835,-0.1947,2.8695,-0.2838,0.3244,0.901,0.7965,-0.1928,-0.4167,-0.2758,-0.5776,-0.335,0.8528,-0.4943,-0.2968,0.2968,-0.6453,-31.4351614511823,-64.2159341822764,0.0362,-0.259,-0.1977,-0.4666,-0.3227,0.4055,-0.2692,0.5508,Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa,Baja,<b>PARQUE CAPITAL</b><hr>Pob: 3972.0<br>Cluster: Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa<br>Infr: Baja
PARQUE CAPITAL SUD,-0.2991,-0.2635,-0.3895,-0.8382,-0.5499,-0.6587,-0.3168,-0.4858,0.1759,-0.1947,-0.3392,-0.2838,0.3244,-0.1432,-0.4469,-0.7611,-0.4167,-0.2758,0.3413,0.2122,-1.1726,-0.4943,-0.2968,0.2968,-0.3328,-31.4426782072545,-64.2171490791533,-0.2307,-0.3309,-0.2999,-0.3098,-0.6046,-0.9109,-0.0269,0.5508,Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa,Media,<b>PARQUE CAPITAL SUD</b><hr>Pob: 1443.0<br>Cluster: Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa<br>Infr: Media
PARQUE CHACABUCO,-0.3547,-0.2932,-0.3972,-0.8719,-0.5499,-0.6587,-0.3168,-0.4858,-0.6562,-0.3864,0.4554,-0.2838,0.3244,-0.3651,-0.4469,-0.7611,-0.4167,-0.2758,-0.5132,0.4182,-1.1726,-0.4943,-0.2968,0.2968,-0.8869,-31.382522710674,-64.2116422926307,-0.2307,-0.5283,-0.4046,-0.4395,-0.6046,-0.9109,-0.477,0.5508,Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa,Muy Baja,<b>PARQUE CHACABUCO</b><hr>Pob: 1164.0<br>Cluster: Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa<br>Infr: Muy Baja
PARQUE CHATEAU CARRERAS,-0.487,-0.3966,-0.3895,-0.7407,-0.5499,-0.6587,-0.3168,-0.4858,-1.026,-0.7696,-0.0602,-0.2838,-1.0337,-1.235,-0.4469,-0.7611,-0.4167,-0.2758,-1.0409,-0.6477,-1.1726,-0.4943,-0.2968,-3.369,-1.2289,-31.3626197967517,-64.2647444147625,1.2127,-1.3144,-1.1164,-0.5199,-0.6046,-2.1885,-1.3426,0.5508,Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa,Muy Baja,<b>PARQUE CHATEAU CARRERAS</b><hr>Pob: 500.0<br>Cluster: Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa<br>Infr: Muy Baja
PARQUE COREMA,-0.4703,-0.3856,-0.3972,-0.8382,-0.3525,-0.3118,-0.3168,-0.4858,-1.026,-0.7696,-0.5394,-0.2838,-1.0337,-1.075,-0.4469,0.5175,-0.4167,-0.2758,-1.0409,-0.6477,0.8528,-0.4943,-0.2968,-3.369,-0.5916,-31.367945597451,-64.228319679797,-0.3156,-0.5254,-0.3037,-0.2209,-0.0407,-0.9109,-1.0829,0.5508,Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa,Baja,<b>PARQUE COREMA</b><hr>Pob: 584.0<br>Cluster: Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa<br>Infr: Baja
PARQUE DE LA VEGA II,-0.4679,-0.3966,-0.2371,1.0322,-0.5499,-0.6587,-0.3168,-0.4858,0.8232,-0.1947,-0.5455,-0.2838,0.3244,-1.0544,-0.4469,-0.7611,-0.4167,-0.2758,2.6411,1.4345,-1.1726,-0.4943,-0.2968,0.2968,1.1571,-31.4086410569058,-64.2612520517313,-0.2489,-0.8795,-0.7227,0.107,-0.6046,-0.9109,-0.5116,-1.8154,Cluster 1: Urbano Consolidado (Alta Infraestructura),Muy Alta,<b>PARQUE DE LA VEGA II</b><hr>Pob: 596.0<br>Cluster: Cluster 1: Urbano Consolidado (Alta Infraestructura)<br>Infr: Muy Alta
PARQUE DE LA VEGA III,-0.4679,-0.3966,-0.3972,-0.8293,-0.5499,-0.6587,-0.3168,-0.4858,-0.3788,-0.3864,-0.5455,-0.2838,-1.0337,-1.0544,-0.4469,-0.7611,-0.4167,-0.2758,0.7602,-0.6477,-1.1726,-0.4943,-0.2968,0.2968,-0.0617,-31.4035479069876,-64.2671597598804,-0.267,-0.8151,-0.6635,-0.1715,-0.6046,-0.9109,-0.5116,0.5508,Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa,Media,<b>PARQUE DE LA VEGA III</b><hr>Pob: 596.0<br>Cluster: Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa<br>Infr: Media
