barrio,centroide_lat,centroide_lon
ARGUELLO,-31.3461722429859,-64.262051826128
ARGUELLO II,-31.3247249919385,-64.2422392486779
ARGUELLO NORTE,-31.3308180580161,-64.2488448935656
ARTURO CAPDEVILA,-31.3761910181056,-64.131224666199
ATE,-31.4341764450624,-64.2307559136671
AVENIDA,-31.4281121539283,-64.2169629957844
AYACUCHO,-31.3790860572758,-64.1710426559524
BAJADA DE PIEDRA,-31.414768303164,-64.1450691476688
BAJADA SAN ROQUE,-31.4270086711897,-64.2050175366239
BAJO GALAN,-31.393145323592,-64.2020960413652
BAJO GENERAL PAZ,-31.415001699413,-64.1586498297489
BARRANCAS DEL SUR,-31.4629669528025,-64.1843646320929
BELLA VISTA,-31.4310760948932,-64.2017610385703
BELLA VISTA OESTE,-31.4325822240742,-64.2076232592013
BETANIA,-31.4568137138722,-64.0910018817445
BH_CAMINO A 60 CUADRAS,-31.4988602721623,-64.1435230251151
BIALET MASSE,-31.4525117900242,-64.1651467142123
BOEDO,-31.4319549557882,-64.1081671999376
BRIGADIER SAN MARTIN,-31.3411226022524,-64.2394604532514
CABANA DEL PILAR,-31.4422675134741,-64.167683330608
CABO FARINA,-31.46548795914475,-64.20747572478724
CACERES,-31.4334534441777,-64.1995556046831
CALIFORNIA,-31.4512195238216,-64.2049114948959
CAMINO A SAN CARLOS,-31.498433296585,-64.1602009421762
CAMINO A VILLA POSSE,-31.4454314028892,-64.1016340990286
CAMPING GRL SAN MARTIN,-31.3643753189019,-64.2618877279315
CARBO,-31.481475590577,-64.2062215826798
CAROLA LORENZINI,-31.4287913300171,-64.2143267353581
CARRARA,-31.4539727871905,-64.2571015075561
CASEROS,-31.4142417872261,-64.2082520348117
CENTRO,-31.4178042932322,-64.1834500355127
CENTRO AMERICA,-31.3711168685116,-64.169598089564
CERRO CHICO,-31.3661094460602,-64.2218998049562
CERRO DE LAS ROSAS,-31.3721205657055,-64.2338114049795
CERRO NORTE,-31.3209690442071,-64.2768733858269
CERVECEROS,-31.4645962351559,-64.1590022913468
CHATEAU CARRERAS,-31.3816923685587,-64.2552177396363
CIRCUNVALACION,-31.414514364570934,-64.20343550824263
CIUDAD AMPLIACION CABILDO,-31.4849199270226,-64.2274587118079
CIUDAD AMPLIACION FERREYRA,-31.4735017733638,-64.1192198232826
CIUDAD DE JUAN PABLO II,-31.3635208249505,-64.1578281757511
CIUDAD DE LAS ARTES,-31.4372589847956,-64.1749362785875
CIUDAD DE LOS CUARTETOS,-31.3566522536983,-64.1303859488957
CIUDAD DE MIS SUENOS,-31.4778174582913,-64.086363859368
CIUDAD EVITA,-31.4484079521651,-64.1087832676033
CIUDAD MI ESPERANZA,-31.4039224720164,-64.0647579740385
CIUDAD OBISPO ANGELELLI,-31.5051491986518,-64.1937646299897
CIUDAD PARQUE LAS ROSAS,-31.4488199161473,-64.2411054061895
CIUDAD UNIVERSITARIA,-31.4381745010519,-64.1885056254328
CIUDAD VILLA RETIRO,-31.3475166725032,-64.1404442766924
CIUDADELA,-31.4460153622855,-64.2017866497851
CLAROS DEL BOSQUE,-31.456977552863,-64.1501328655991
COFICO,-31.4031901115249,-64.1852851395368
COLINAS DE BELLA VISTA,-31.436452678148,-64.2085248637918
COLINAS DE VELEZ SARSFIELD,-31.4381468762996,-64.1990623202613
COLINAS DEL CERRO,-31.3794775140737,-64.2425945373611
COLON,-31.436618122344,-64.1545306231643
COLONIA LOLA,-31.41369840274715,-64.1166371703697
COMANDANTE ESPORA,-31.4172008300048,-64.2239801087424
COMERCIAL,-31.4888795374585,-64.2022362312717
CONGRESO,-31.4681013129692,-64.2358058990285
CONSORCIO 16 DE NOVIEMBRE,-31.318339045152,-64.2568748329355
CONSORCIO ESPERANZA,-31.420751186944,-64.2343527594393
COOPERATIVA 16 DE NOVIEMBRE,-31.313277089012065,-64.26143287238966
COOPERATIVA EL FUTURO,-31.4401823495232,-64.1081012779207
COOPERATIVA LA HERMOSA,-31.4387347588299,-64.108104347353
COOPERATIVA LA UNIDAD,-31.4306306779508,-64.1128840395055
CORDOBA IV,-31.3896498487242,-64.2635715412857
CORDOBA V,-31.3849544927415,-64.2624888179182
CORRAL DE PALOS,-31.4396411027469,-64.141051484461
COSTA VERDE,-31.3812221255911,-64.2504690018409
COUNTRY ALTOS DEL CHATEAU,-31.374793804328448,-64.2668099528476
COUNTRY BARRANCAS,-31.3805061482489,-64.2462880530412
COUNTRY CLUB,-31.4533364108918,-64.1872789853517
COUNTRY FORTIN DEL POZO,-31.4740206319748,-64.1757907577539
COUNTRY JOCKEY CLUB,-31.4634727942897,-64.1766590207414
COUNTRY LA RESERVA,-31.3672636397445,-64.2683557873944
COUNTRY LA SANTINA - COUNTRY CAMPINA DEL SUR,-31.4773649782027,-64.1736761204654
COUNTRY LAS DELICIAS,-31.3619352535703,-64.2994579008155
COUNTRY LOMAS DE LA CAROLINA,-31.3556553169784,-64.3056209170965
COUNTRY LOS ALGARROBOS,-31.4833510004042,-64.2406895217807
COUNTRY LOS MIMBRES,-31.4933845474551,-64.1839627867177
COUNTRY RANCH CLUB,-31.4527198034093,-64.2191810889962
COUNTRY VALLE ESCONDIDO,-31.365093628436902,-64.280614112077
CRISOL NORTE,-31.428051362204,-64.167176368668
CRISOL SUD,-31.4349582821362,-64.1674254311003
CUPANI,-31.4214735888533,-64.2076951619414
DE LOS BIOQUIMICOS,-31.3204288535283,-64.2668138957885
DE LOS DOCENTES,-31.4590670929175,-64.1524118917786
DEAN FUNES,-31.4458597071522,-64.1178957921271
DIPAS,-31.3563236095696,-64.2944936477692
DUCASSE,-31.404888252086,-64.1908855434012
EJERCITO ARGENTINO,-31.447568948723,-64.1961913422897
EL BALCON,-31.3747201959085,-64.2747796532456
EL BOSQUE,-31.3380384713002,-64.307387518257
EL CABILDO,-31.4859068227125,-64.2351105437776
EL CERRITO,-31.3221687252868,-64.2502548066828
EL PRADO,-31.375753313966,-64.2703111858803
EL PUEBLITO,-31.4064405446942,-64.2568328545741
EL QUEBRACHAL,-31.3380076521557,-64.0666753385544
EL QUEBRACHO,-31.4773371547605,-64.1377151621983
EL REFUGIO,-31.3442649511605,-64.2818199937408
EL TREBOL,-31.4230857776258,-64.2255537451732
EL VIEJO ALGARROBO,-31.5024363493638,-64.1658119554321
EMAUS,-31.4371264001266,-64.1430479576708
EMPALME,-31.4345112094775,-64.130487667635
EMPALME CASAS DE OBREROS Y EMPLEADOS,-31.4387401458057,-64.1251666065268
ESCOBAR,-31.3918891605182,-64.2206422574801
ESCUELA DE SUBOFICIALES,-31.4272175434882,-64.2575368439051
ESTACION FLORES,-31.4487314083608,-64.2475078934286
ESTADIO CORDOBA,-31.3678801343148,-64.2467689606442
FERIAR,-31.3702867943909,-64.2556701915654
FERRER,-31.4437749243189,-64.2117812947588
FERREYRA,-31.4663540173135,-64.1106089877883
FERREYRA SEGUNDA SECCION,-31.4710619707259,-64.1175953235484
FERROVIARIO MITRE,-31.4334514626288,-64.136352474103
FINCA LA DOROTEA,-31.3764290500034,-64.1151406917793
FINCAS DEL SUR,-31.4867716545205,-64.1572739805666
GENERAL ARENALES,-31.3687802681924,-64.0602371117818
GENERAL ARTIGAS,-31.4615195852108,-64.1996215023561
GENERAL BELGRANO,-31.3704293934515,-64.1372878299525
GENERAL BUSTOS,-31.3903336123251,-64.1696498558799
GENERAL MOSCONI,-31.3651885926033,-64.1504410565656
GENERAL PAZ,-31.4125574874454,-64.1656906995031
GENERAL PUEYRREDON,-31.4020774327923,-64.1624596839047
GENERAL SAVIO,-31.371992117919,-64.1580891610321
GRANADERO PRINGLES,-31.3755515882091,-64.1976083748721
GRANJA DE FUNES,-31.349164455122,-64.2445719762199
GUARNICION AEREA CORDOBA,-31.4437692781579,-64.2815434253756
GUARNICION MILITAR CORDOBA,-31.3932530580866,-64.2925498765201
GUAYAQUIL,-31.382844844148,-64.1550652774413
GUEMES,-31.4281317736306,-64.1936790393253
GUINAZU,-31.3122463444352,-64.1732935256594
GUINAZU SUD,-31.335667108704,-64.1831340646197
HIPOLITO IRIGOYEN,-31.3728101396738,-64.1862965749199
HOGAR PROPIO,-31.4073366174112,-64.1541697551546
HORIZONTE,-31.458659818397,-64.2065221911296
INAUDI,-31.4764448201221,-64.1942870194643
INDEPENDENCIA,-31.4011747261759,-64.1901515777845
INDUSTRIAL ESTE,-31.4295150677245,-64.1642099648801
INDUSTRIAL OESTE,-31.4093022069007,-64.2665553929106
IPONA,-31.4447612065343,-64.1883722304098
IPV ANEXO LOS GIGANTES,-31.3648676647868,-64.16327334385565
IRUPE,-31.4591661313717,-64.2025406690525
ITUZAINGO,-31.4647362980865,-64.0971483618541
ITUZAINGO ANEXO,-31.4636925992066,-64.0829019327012
ITUZAINGO II,-31.4748343925178,-64.087896921299
JARDIN,-31.4463256163336,-64.1817052357987
JARDIN DEL CLARET,-31.3481294929873,-64.2295895723668
JARDIN DEL PILAR,-31.4441158992776,-64.1528930609459
JARDIN DEL SUD,-31.4560504721943,-64.1645849897324
JARDIN ESPINOSA,-31.4534509945975,-64.1712567263831
JARDIN HIPODROMO,-31.4589242324741,-64.19080381357651
JARDINES DEL JOCKEY,-31.4545213844294,-64.1762033277934
JERONIMO LUIS DE CABRERA,-31.355929776680497,-64.182586923343
JOCKEY CLUB,-31.45350962939535,-64.17915620724006
JOSE HERNANDEZ,-31.4442248820361,-64.1570348359065
JOSE I RUCCI,-31.4609802081608,-64.1294432268321
JOSE IGNACIO DIAZ SECCION 1,-31.4434066051212,-64.1379279859404
JOSE IGNACIO DIAZ SECCION 2,-31.445119854089,-64.1454220109331
JOSE IGNACIO DIAZ SECCION 3,-31.4513797512027,-64.13227473173771
JUAN B JUSTO,-31.3596644034487,-64.1815511893765
JUAN XXIII,-31.4205156024717,-64.224871196559
JUNIORS,-31.4192717920482,-64.1653082078352
KAIROS,-31.4826802195118,-64.2497173104398
KENNEDY,-31.4580417689364,-64.1911071520722
LA CAROLINA,-31.352759985372,-64.2862020234934
LA DOROTEA,-31.3788286307828,-64.1116311003492
LA ESPERANZA,-31.4838140058101,-64.2421336446981
LA FLORESTA,-31.3892085271405,-64.0584290695021
LA FRANCE,-31.373065947038,-64.2085938676132
LA FRATERNIDAD,-31.3768577788271,-64.1839607417547
LA HORTENSIA,-31.3843979505714,-64.1399484740113
LA SALLE,-31.3454778183915,-64.275515246264
LA TOMA,-31.4051127349579,-64.2618449754138
LAMADRID,-31.4142542254104,-64.2345600721848
LAS CANITAS,-31.4650784096084,-64.1891322142882
LAS CANUELAS,-31.475993631789,-64.1545963596112
LAS CORTADERAS,-31.3315892531035,-64.229590962207
LAS DALIAS,-31.4096984739965,-64.2372977684071
LAS FLORES,-31.4500092193326,-64.1971927194197
LAS HUERTILLAS,-31.4711647618496,-64.196333901865
LAS LILAS,-31.4453296898999,-64.1319168615125
LAS MAGNOLIAS,-31.3678491335932,-64.2102388700929
LAS MARGARITAS,-31.3784736934929,-64.2099396727188
LAS PALMAS,-31.4039268357349,-64.2392888497874
LAS PALMAS ANEXO,-31.4128592856954,-64.2397007234111
LAS PLAYAS,-31.439564782513,-64.247489470892
LAS ROSAS,-31.391393991088,-64.2281073274152
LAS VIOLETAS,-31.4093312889146,-64.2503950304475
LICEO GENERAL PAZ,-31.3355758005306,-64.1667020824379
LOMAS DE SAN MARTIN,-31.3825174083115,-64.2059476982937
LOS ALAMOS,-31.3678133678231,-64.1569101282328
LOS ANGELES,-31.359507855743,-64.2370170092703
LOS ARBOLES,-31.3663128297877,-64.2847366879914
LOS BOULEVARES,-31.3451594663769,-64.2192643585421
LOS CEIBOS,-31.429311789068,-64.1480959893981
LOS CHINGOLOS,-31.340792625602,-64.169066378749
LOS CIELOS,-31.3714859295371,-64.28265773622033
LOS EUCALIPTUS,-31.4678374607454,-64.0885166553114
LOS FILTROS,-31.4133081279979,-64.2484968686162
LOS FRESNOS,-31.4709007424932,-64.0815785370936
LOS GIGANTES,-31.3626362226789,-64.1695064760401
LOS GRANADOS,-31.4233609670665,-64.2369958390385
LOS HORNILLOS,-31.3409132203449,-64.1720953360985
LOS JACARANDAES,-31.4171979227171,-64.2364547163467
LOS JOSEFINOS,-31.4142006207762,-64.1238803796894
LOS NARANJOS,-31.4296647566055,-64.226563138602
LOS OLMOS,-31.4597965821554,-64.2172530936535
LOS OLMOS SUD,-31.465400290473603,-64.21545121967615
LOS PARAISOS,-31.3830882690084,-64.1946480503973
LOS PINOS,-31.3936669516838,-64.1410319653281
LOS PLATANOS,-31.4222080751586,-64.2307130188136
LOS ROBLES,-31.4010362677022,-64.2649086322231
LOS SAUCES,-31.4611868550392,-64.0988703018824
LOS SOLES,-31.37321427576532,-64.27863327990656
LOS SUENOS,-31.3604453595515,-64.2832690939214
LOURDES,-31.3316515562663,-64.2559838632293
MAIPU SECCION 1,-31.4361764058547,-64.1595471854071
MAIPU SECCION 2,-31.4296995173019,-64.159805647332
MALDONADO,-31.412245483126,-64.127450781327
MANANTIALES I-MANANTIALES II,-31.4501755442947,-64.2275132126212
MARCELO T DE ALVEAR,-31.3680411492782,-64.1718542573729
MARCOS SASTRE,-31.4451190053854,-64.149863964445
MARECHAL,-31.3955292239017,-64.2142652519137
MARIA LASTENIA,-31.3266603545532,-64.1819207021647
MARIANO BALCARCE,-31.4336980595615,-64.2215931493569
MARIANO FRAGUEIRO,-31.3660728145572,-64.1856708289333
MARQUES ANEXO,-31.371435791089652,-64.19161266923146
MARQUES DE SOBREMONTE,-31.36862893655555,-64.19402795529055
MAULLER,-31.4147746684517,-64.1388534120657
MAURIZI,-31.4274174705639,-64.2081597810474
MERCANTIL,-31.3183526871751,-64.2587038912171
MILITAR GENERAL DEHEZA,-31.3961038343019,-64.2718381204991
MIRADOR,-31.4289133054055,-64.1385804949468
MIRADOR DEL CHATEAU,-31.38511415213455,-64.26248967015471
MIRALTA,-31.4244364501647,-64.1122227442397
MIRIZZI,-31.4736776999547,-64.2058443325684
MUTUAL DE LOS DOCENTES,-31.4569004597575,-64.2241300612357
NICOLAS AVELLANEDA,-31.4623154748996,-64.1037099479582
NUESTRO HOGAR I,-31.4713698368511,-64.1489809392811
NUESTRO HOGAR II,-31.387682870044,-64.0982253407013
NUESTRO HOGAR III,-31.50091471404605,-64.19982237373814
NUEVA CORDOBA,-31.426755004302,-64.186098312365
NUEVA CORDOBA ANEXA,-31.4363481826837,-64.164017889066
NUEVA ITALIA,-31.3859550300777,-64.1452722218278
NUEVO URCA,-31.3828475471979,-64.2674905686599
OBRERO,-31.4134335064709,-64.2122200883557
OBSERVATORIO,-31.4231361956293,-64.2028823470864
OMBU,-31.3893202773862,-64.21753693663
ONA,-31.4492916492839,-64.1653991848349
OSN,-31.4599043773051,-64.15824125761
PADRE CLARET,-31.3544915100643,-64.237238422406
PALERMO BAJO,-31.3869413360447,-64.2246185527337
PALMAR,-31.3899757721453,-64.1246701968207
PALMAS DEL CLARET,-31.3514066893432,-64.2308945622633
PANAMERICANO,-31.3728037015138,-64.1799531562142
PARQUE ALAMEDA,-31.4667304669222,-64.1842467716332
PARQUE ATLANTICA,-31.4538400218945,-64.2100439245679
PARQUE CAPITAL,-31.4351614511823,-64.2159341822764
PARQUE CAPITAL SUD,-31.4426782072545,-64.2171490791533
PARQUE CHACABUCO,-31.382522710674,-64.2116422926307
PARQUE CHATEAU CARRERAS,-31.3626197967517,-64.2647444147625
PARQUE COREMA,-31.367945597451,-64.228319679797
PARQUE DE LA VEGA II,-31.4086410569058,-64.2612520517313
PARQUE DE LA VEGA III,-31.4035479069876,-64.2671597598804
PARQUE DE LA VIDA,-31.4442273592752,-64.2261000948677
PARQUE DEL ESTE,-31.4051586405003,-64.1455089911964
PARQUE DON BOSCO,-31.3884319827078,-64.272025814382
PARQUE FUTURA,-31.488906450635,-64.2529899700877
PARQUE JORGE NEWBERY,-31.350399915226,-64.180513219248
PARQUE LATINO,-31.4596532315616,-64.2124548233494
PARQUE LICEO SECCION 1,-31.3497061993402,-64.1625303442315
PARQUE LICEO SECCION 2,-31.3556278869882,-64.1620118927709
PARQUE LICEO SECCION 3,-31.3552182265341,-64.1513432642662
PARQUE LOS MOLINOS,-31.4561025121088,-64.2008967897547
PARQUE MODELO,-31.3647142739498,-64.2510241394099
PARQUE MONTECRISTO,-31.3886256093823,-64.1399659927481
PARQUE REPUBLICA,-31.4161294813208,-64.258582064065
PARQUE SAN CARLOS,-31.4494274723584,-64.1599280417188
PARQUE SAN VICENTE,-31.4249959692642,-64.1373491487954
PARQUE SARMIENTO,-31.4328801293591,-64.1789078506441
PARQUE TABLADA,-31.3871781770563,-64.2312408178758
PARQUE VELEZ SARSFIELD,-31.4411595485323,-64.2040025565823
PASO DE LOS ANDES,-31.4159538702898,-64.203280297451
PATRIA,-31.4090264654307,-64.1601858045219
PATRICIOS,-31.3756246362009,-64.1380411944225
PATRICIOS ESTE,-31.3664999296539,-64.1349339830755
PATRICIOS NORTE,-31.3665348992504,-64.1397902544819
PATRICIOS OESTE,-31.366869744123,-64.144607787169
PIEDRAS BLANCAS,-31.4828367695047,-64.1625623852958
POETA LUGONES,-31.3609843553083,-64.2119307156898
POLICARPIO CABRAL,-31.4365154316367,-64.1379006955884
POLICIAL,-31.31551981250325,-64.2649630981434
PORTAL DE CORDOBA,-31.4442984208467,-64.1094454944293
PORTAL DEL JACARANDA,-31.3439690435074,-64.2889913814107
POSTA DE VARGAS,-31.4798946482734,-64.1941605174631
PRIMERA JUNTA,-31.4262217020123,-64.2277644708514
PROVIDENCIA,-31.4007885482133,-64.2007718428186
PUENTE BLANCO,-31.4102088438482,-64.2354259890449
QUEBRADA DE LAS ROSAS,-31.3911204679379,-64.2557636529928
QUINTA SANTA ANA,-31.4116430526547,-64.2041555793476
QUINTAS DE ARGUELLO,-31.3400189964185,-64.2713056429599
QUINTAS DE FLORES,-31.4894148301706,-64.1636669610672
QUINTAS DE ITALIA,-31.4979842970964,-64.177191210219
QUINTAS DE SAN JORGE,-31.3740431522688,-64.1306408255164
RAMON J CARCANO,-31.463692802931,-64.1376703606332
RECREO DEL NORTE,-31.3123539634767,-64.167325622174
REMEDIOS DE ESCALADA,-31.3421300238043,-64.1869920177232
RENACIMIENTO,-31.4183241408712,-64.1212770221383
RENE FAVALORO,-31.4091999467218,-64.2319102857693
RENE FAVALORO II,-31.4488242294769,-64.2361423987957
RES CHATEAU CARRERAS CO VI CO,-31.3911227810288,-64.2625812057562
RESIDENCIAL AMERICA,-31.3823716514569,-64.1618882993704
RESIDENCIAL ARAGON,-31.3715261997823,-64.1307766978515
RESIDENCIAL OLIVOS,-31.4327587703916,-64.2106558663057
RESIDENCIAL SAN CARLOS,-31.4440185024215,-64.1657393867709
RESIDENCIAL SAN JORGE,-31.368856127022802,-64.12982377053319
RESIDENCIAL SAN ROQUE,-31.4270382314086,-64.2472947834154
RESIDENCIAL SANTA ANA,-31.4238461538475,-64.2149551539217
RESIDENCIAL SANTA ROSA,-31.4776887498821,-64.2053354654748
RESIDENCIAL SUD,-31.4663754728897,-64.2254447512096
RESIDENCIAL VELEZ SARSFIELD,-31.4488841804524,-64.2091247187554
RIVADAVIA,-31.432367391206,-64.1487458501079
RIVERA INDARTE,-31.333982397703,-64.296330832545
ROCIO,-31.3681724782991,-64.28048692984187
ROCIO DEL SUR,-31.4868760584956,-64.1912693028927
ROGELIO MARTINEZ,-31.4382346065369,-64.1782006713031
ROSEDAL,-31.4339776305225,-64.2262394291001
ROSEDAL ANEXO,-31.4394090528371,-64.2285738840511
SACHI,-31.4537288140298,-64.2663075456171
SAN ANTONIO,-31.4744328449938,-64.1905169218078
SAN CAYETANO,-31.4366816283972,-64.1435193646877
SAN DANIEL,-31.4489648668651,-64.2027069336836
SAN FELIPE,-31.4567629225238,-64.136040573816
SAN FERNANDO,-31.4475771620013,-64.1904852101721
SAN FRANCISCO,-31.4261196823107,-64.2113739415651
SAN IGNACIO,-31.3901313573677,-64.2483281769605
SAN JAVIER,-31.4556731937559,-64.1016938389538
SAN JOSE,-31.3396643850959,-64.2892805257168
SAN LORENZO,-31.4555850114127,-64.1104826929887
SAN LORENZO NORTE,-31.375034879287,-64.2167246301229
SAN LUIS DE FRANCIA,-31.480037185052,-64.2537276188054
SAN MARCELO,-31.3625836463826,-64.2356214056744
SAN MARTIN,-31.3938093272891,-64.196540458099
SAN MARTIN ANEXO,-31.3810124729714,-64.2031139721542
SAN MARTIN NORTE,-31.3727739384295,-64.2025244371434
SAN NICOLAS,-31.3806758446016,-64.1513078024304
SAN PABLO,-31.4442248614309,-64.1609205677274
SAN PEDRO NOLASCO,-31.466073357489,-64.2402160055799
SAN RAFAEL,-31.4254002097623,-64.2219912910859
SAN RAMON,-31.3408780235715,-64.1007723274352
SAN SALVADOR,-31.4009400687718,-64.2323869269285
SAN VICENTE,-31.4243205159937,-64.1539750599537
SANTA CECILIA,-31.3576320292659,-64.2277242696327
SANTA CLARA DE ASIS,-31.3807288135085,-64.1407980125362
SANTA ISABEL ANEXO,-31.4762535311804,-64.246541585744
SANTA ISABEL SECCION 1,-31.4706991572602,-64.2324062857146
SANTA ISABEL SECCION 2,-31.4765694987008,-64.2314214735328
SANTA ISABEL SECCION 3,-31.4780759649089,-64.2417721699096
SANTA RITA,-31.4475111531909,-64.1726932933092
SARGENTO CABRAL,-31.3761553934638,-64.1930039660383
SARMIENTO,-31.4301438218054,-64.1542666069568
SEP,-31.4590458861221,-64.1656905708457
SEP SEGUNDA ETAPA,-31.459818195198,-64.163901564558
SIN BARRIO,-31.413041147819097,-64.17608679410476
SMATA,-31.4544018167226,-64.2235302714597
SOLARES DE SANTA MARIA- ALTOS DE MANANTIALES,-31.4605760175949,-64.2244471605241
SUAREZ,-31.4386525402631,-64.2104488002246
TABLADA PARK,-31.371014347978,-64.2262528800577
TALLERES ESTE,-31.3889614484158,-64.1506644470621
TALLERES OESTE,-31.3901962264128,-64.1589426196123
TALLERES SUD,-31.4395334252609,-64.1342425341031
TEJAS DEL SUR,-31.4623776512352,-64.1901622837599
TEJAS II,-31.4786597752331,-64.1992317699973
TENIENTE BENJAMIN MATIENZO,-31.4413948429374,-64.2375452199026
TEODORO FELDS,-31.400399552588,-64.249188644474
TRANVIARIOS,-31.4095065222609,-64.2281773518277
UOCRA,-31.3226062886296,-64.2653478417105
URCA,-31.3825291437329,-64.237176476034
URITORCO,-31.4007024648215,-64.2348551534556
URQUIZA,-31.438642250908,-64.1474823201876
VALLE DEL CERRO,-31.3714184962642,-64.2403575253101
VASQUEZ,-31.4814988423669,-64.1311415524934
VICOR,-31.4779710996914,-64.2476088717772
VILLA 4 DE AGOSTO,-31.3709389448169,-64.1908220088431
VILLA 9 DE JULIO,-31.329018947509,-64.270839671136
VILLA ADELA,-31.4354459009998,-64.247507386986
VILLA ALBERDI,-31.3934888286527,-64.2358376189342
VILLA ALBERTO,-31.4161416393993,-64.2666051276845
VILLA ALICIA RISLER,-31.3114354632522,-64.1804311454914
VILLA ALLENDE PARQUE,-31.3138838412422,-64.2821735904198
VILLA ARGENTINA,-31.431052918483,-64.1354526357973
VILLA ASPACIA,-31.4430863044472,-64.2474522379448
VILLA AVALOS,-31.4159890689732,-64.2431944869072
VILLA AZALAIS,-31.3733605910932,-64.1519055061196
VILLA AZALAIS ANEXO,-31.3651524446768,-64.1617435194703
VILLA AZALAIS OESTE,-31.3679277643136,-64.1748905214047
VILLA BELGRANO,-31.3593223550694,-64.2502732108312
VILLA BUSTOS,-31.4380459286388,-64.1118196733192
VILLA CABRERA,-31.3873896225332,-64.2107766574213
VILLA CENTENARIO,-31.3655136474965,-64.2308900849635
VILLA CLARET,-31.346764951577,-64.238479952604
VILLA CLAUDINA,-31.3886748687489,-64.1225564917819
VILLA CORINA,-31.3753122407543,-64.1446975348582
VILLA CORNU,-31.31516378474725,-64.26416452459095
VILLA CORONEL OLMEDO,-31.4808392426478,-64.1415667955082
VILLA EL LIBERTADOR,-31.4831663693664,-64.22405825134055
VILLA ESQUIU,-31.3581731705604,-64.106364790417
VILLA EUCARISTICA,-31.4821048973798,-64.1788372981638
