barrio,poblacion,hogares,nbi,pct_nbi,escuelas_total,escuelas_estatales,escuelas_privadas,dispensarios_municipales,paradas_colectivo,lineas_colectivo,luminarias_reportes,comisarias,centros_vecinales,poblacion_log,pct_escuelas_privadas,escuelas_por_1000_hab,dispensarios_por_10000_hab,comisarias_por_10000_hab,paradas_por_1000_hab,centros_vecinales_por_10000_hab,tiene_escuela,tiene_dispensario,tiene_comisaria,tiene_transporte,infraestructura_score,centroide_lat,centroide_lon,tamano_promedio_hogar,educacion_ratio_publico_privado,ranking_infraestructura,percentil_infraestructura
ALEJANDRO CENTENO,-0.3414,-0.269,-0.3895,-0.8364,-0.1551,0.0351,-0.3168,-0.4858,-0.1014,-0.1947,-0.4181,-0.2838,0.3244,-0.3073,-0.4469,0.4502,-0.4167,-0.2758,0.2048,0.3599,0.8528,-0.4943,-0.2968,0.2968,0.1821,-31.3582805289735,-64.231473963748,-0.7367,0.382,154,0.6547
ALMIRANTE BROWN,-0.3836,-0.3713,-0.3057,0.0181,-0.1551,0.0351,-0.3168,-0.4858,-0.4713,-0.0031,-0.4484,-0.2838,1.6826,-0.5013,-0.4469,0.7044,-0.4167,-0.2758,-0.1373,1.7881,0.8528,-0.4943,-0.2968,0.2968,0.087,-31.4616440154167,-64.0911138850279,1.4966,0.382,172,0.53
ALTA CORDOBA,6.3018,6.402,2.4307,-0.3932,5.9649,3.8511,6.8291,-0.4858,1.8402,0.9551,2.7542,2.8315,-1.0337,3.134,1.8158,-0.0508,-0.4167,0.5154,-0.9029,-0.6477,0.8528,-0.4943,3.369,0.2968,-0.6743,-31.3903799365102,-64.1842494728698,-0.9098,-0.3689,369,-0.8556
ALTAMIRA,0.6293,0.5357,-0.1304,-0.5811,-0.1551,-0.3118,0.0405,1.9142,0.5458,-0.0031,0.0065,-0.2838,-1.0337,1.3447,1.42,-0.5144,0.4814,-0.2758,-0.6129,-0.6477,0.8528,2.0231,-0.2968,0.2968,-0.5347,-31.4251579009481,-64.1312574377859,-0.0961,-0.1742,317,-0.4884
ALTO ALBERDI,5.4843,5.0494,2.5603,-0.2354,7.3468,4.5449,8.6156,1.9142,3.412,1.9132,1.6927,5.9468,1.6826,3.0039,1.8867,0.2184,-0.236,1.5248,-0.7985,-0.5658,0.8528,2.0231,3.369,0.2968,-0.2722,-31.4077929131874,-64.219940676278,-0.4424,-0.3967,244,0.0243
ALTO DE DON BOSCO,-0.4522,-0.39,-0.4048,-0.9179,-0.5499,-0.6587,-0.3168,-0.4858,-1.026,-0.7696,-0.5455,-0.2838,-1.0337,-0.9264,-0.4469,-0.7611,-0.4167,-0.2758,-1.0409,-0.6477,-1.1726,-0.4943,-0.2968,-3.369,-1.2289,-31.3869535266229,-64.2657645536358,-0.1654,-0.7304,469,-1.6419
ALTO DE SANTA ANA,-0.2862,-0.2734,-0.2523,-0.0811,-0.5499,-0.6587,-0.3168,-0.4858,-0.4713,-0.3864,-0.1633,-0.2838,-1.0337,-0.0978,-0.4469,-0.7611,-0.4167,-0.2758,-0.4303,-0.6477,-1.1726,-0.4943,-0.2968,0.2968,-0.8332,-31.4064423364043,-64.2489468672371,0.4925,-0.7304,412,-1.1535
ALTO HERMOSO,-0.487,-0.3966,-0.4048,-0.9179,-0.5499,-0.6587,-0.3168,-0.4858,-0.2864,-0.1947,-0.5455,-0.2838,-1.0337,-1.235,-0.4469,-0.7611,-0.4167,-0.2758,1.4137,-0.6477,-1.1726,-0.4943,-0.2968,0.2968,0.3619,-31.3302939640896,-64.3052937554776,-1.3426,-0.7304,132,0.7968
ALTO PALERMO,-0.4027,-0.3356,-0.4048,-0.9179,-0.3525,-0.3118,-0.3168,-0.4858,1.2855,1.7216,0.4129,-0.2838,-1.0337,-0.6035,-0.4469,0.0464,-0.4167,-0.2758,2.6411,-0.6477,0.8528,-0.4943,-0.2968,0.2968,1.5598,-31.3756925958522,-64.2247362943992,-0.5289,-0.1742,42,1.4411
ALTO VERDE,0.2015,0.2013,-0.3819,-0.8772,0.6346,0.0351,1.1124,-0.4858,-0.3788,-0.3864,3.0454,-0.2838,-1.0337,0.8969,2.0436,0.3754,-0.4167,-0.2758,-0.7694,-0.6477,0.8528,-0.4943,-0.2968,0.2968,-0.4864,-31.3735358226288,-64.2141325964614,-0.3558,-0.4523,307,-0.4156
ALTOS DE VELEZ SARSFIELD,-0.2523,-0.2074,-0.3514,-0.6892,-0.3525,-0.3118,-0.3168,-0.4858,-0.1014,-0.0031,0.4857,-0.2838,0.3244,0.0126,-0.4469,-0.3125,-0.4167,-0.2758,-0.1266,0.0919,0.8528,-0.4943,-0.2968,0.2968,-0.4128,-31.4483323168207,-64.2140975038702,-0.3385,-0.1742,282,-0.2424
ALTOS DE VILLA CABRERA,-0.3547,-0.2866,-0.3667,-0.6963,-0.3525,-0.3118,-0.3168,-0.4858,0.6382,1.7216,0.5039,-0.2838,-1.0337,-0.3651,-0.4469,-0.1181,-0.4167,-0.2758,1.3309,-0.6477,0.8528,-0.4943,-0.2968,0.2968,0.6288,-31.3812472018439,-64.2196230940151,-0.6328,-0.1742,104,1.0046
ALTOS SAN MARTIN,-0.3318,-0.2646,-0.3819,-0.7974,-0.5499,-0.6587,-0.3168,-0.4858,-0.3788,-0.3864,0.5281,-0.2838,-1.0337,-0.2671,-0.4469,-0.7611,-0.4167,-0.2758,-0.2018,-0.6477,-1.1726,-0.4943,-0.2968,0.2968,-0.6851,-31.3772325958898,-64.2143578517347,-0.6328,-0.7304,376,-0.9006
ALTOS SUD DE SAN VICENTE,-0.3828,-0.3554,-0.2447,0.4365,-0.5499,-0.6587,-0.3168,-0.4858,-0.6562,-0.3864,-0.503,-0.2838,-1.0337,-0.4982,-0.4469,-0.7611,-0.4167,-0.2758,-0.4411,-0.6477,-1.1726,-0.4943,-0.2968,0.2968,-0.8402,-31.4371311914398,-64.1408888444944,0.7695,-0.7304,415,-1.1742
AMEGHINO NORTE,0.1667,0.0478,0.5404,1.2627,-0.3525,-0.3118,-0.3168,1.9142,0.5458,0.5718,-0.0663,-0.2838,0.3244,0.8504,-0.4469,-0.5667,1.0291,-0.2758,-0.3506,-0.3201,0.8528,2.0231,-0.2968,0.2968,-0.2115,-31.4291728661583,-64.2372008417107,0.8214,-0.1742,234,0.0936
AMEGHINO SUD,0.1005,0.0946,-0.2676,-0.6254,0.2398,0.7289,-0.3168,-0.4858,1.0081,0.7634,1.535,-0.2838,0.3244,0.7555,-0.4469,0.1062,-0.4167,-0.2758,-0.0621,-0.2879,0.8528,-0.4943,-0.2968,0.2968,-0.1626,-31.4344344120781,-64.2375798932284,-0.2,1.4945,222,0.1802
AMPLIACION ALTAMIRA,-0.2087,-0.2294,-0.1228,0.3834,-0.5499,-0.6587,-0.3168,1.9142,0.4533,-0.3864,-0.4909,-0.2838,1.6826,0.1395,-0.4469,-0.7611,2.4695,-0.2758,0.2524,0.6602,-1.1726,2.0231,-0.2968,0.2968,0.5536,-31.418800365534,-64.130149050924,0.8387,-0.7304,112,0.9492
AMPLIACION BENJAMIN MATIENZO,-0.1834,-0.225,0.0068,0.9525,0.2398,0.7289,-0.3168,-0.4858,-0.2864,-0.1947,-0.3028,-0.2838,-1.0337,0.2055,-0.4469,0.7194,-0.4167,-0.2758,-0.435,-0.6477,0.8528,-0.4943,-0.2968,0.2968,-0.0987,-31.44629840021855,-64.2349158491345,1.1676,1.4945,212,0.2495
AMPLIACION CABO FARINA,-0.487,-0.3966,-0.3133,0.1458,-0.5499,-0.6587,-0.3168,-0.4858,-0.7487,-0.578,-0.4423,-0.2838,0.3244,-1.235,-0.4469,-0.7611,-0.4167,-0.2758,-0.1204,1.8341,-1.1726,-0.4943,-0.2968,0.2968,-0.6324,-31.4615420959235,-64.2148780007921,-1.3426,-0.7304,347,-0.7274
AMPLIACION EMPALME,0.034,0.0104,-0.2142,-0.4464,-0.5499,-0.6587,-0.3168,1.9142,1.2855,-0.1947,-0.4302,-0.2838,0.3244,0.6503,-0.4469,-0.7611,1.3413,-0.2758,0.191,-0.2494,-1.1726,2.0231,-0.2968,0.2968,0.145,-31.4317354197924,-64.1252161280049,0.0597,-0.7304,160,0.6132
AMPLIACION GENERAL ARTIGAS,-0.1234,-0.1431,-0.2523,-0.3808,-0.5499,-0.6587,-0.3168,-0.4858,-0.9336,-0.7696,-0.0602,-0.2838,1.6826,0.349,-0.4469,-0.7611,-0.4167,-0.2758,-0.975,0.4194,-1.1726,-0.4943,-0.2968,0.2968,-1.186,-31.4632233206896,-64.1958875212659,0.4232,-0.7304,467,-1.538
AMPLIACION JARDIN ESPINOSA,-0.4832,-0.3966,-0.4048,-0.9179,-0.5499,-0.6587,-0.3168,-0.4858,-0.1014,-0.0031,0.2309,-0.2838,-1.0337,-1.1968,-0.4469,-0.7611,-0.4167,-0.2758,1.9154,-0.6477,-1.1726,-0.4943,-0.2968,0.2968,0.6873,-31.4554158322251,-64.1732980577387,-1.1695,-0.7304,101,1.0289
AMPLIACION JOSE IGNACIO DIAZ SECCION 2,-0.2115,-0.2701,0.0221,1.3904,-0.3525,-0.3118,-0.3168,1.9142,-0.2864,-0.3864,-0.5455,-0.2838,0.3244,0.1312,-0.4469,-0.3648,2.4914,-0.2758,-0.3889,0.0112,0.8528,2.0231,-0.2968,0.2968,0.3426,-31.4509219153054,-64.1466007273166,1.912,-0.1742,140,0.7552
AMPLIACION JOSE IGNACIO DIAZ SECCION 3,-0.4535,-0.3966,-0.2371,1.0322,-0.5499,-0.6587,-0.3168,-0.4858,-0.1939,-0.1947,-0.5455,-0.2838,0.3244,-0.9368,-0.4469,-0.7611,-0.4167,-0.2758,1.0256,1.2099,-1.1726,-0.4943,-0.2968,0.2968,0.1101,-31.4507822343279,-64.1432181375558,0.1116,-0.7304,167,0.5647
AMPLIACION KENNEDY,-0.487,-0.3966,-0.3514,-0.2974,-0.5499,-0.6587,-0.3168,-0.4858,0.0835,-0.1947,-0.4241,-0.2838,-1.0337,-1.235,-0.4469,-0.7611,-0.4167,-0.2758,2.6411,-0.6477,-1.1726,-0.4943,-0.2968,0.2968,1.1571,-31.4562968531853,-64.1943881636183,-1.3426,-0.7304,59,1.2921
AMPLIACION LAS PALMAS,-0.238,-0.2245,-0.3133,-0.5031,-0.1551,0.0351,-0.3168,-0.4858,0.7307,0.7634,0.5585,-0.2838,0.3244,0.0559,-0.4469,0.0913,-0.4167,-0.2758,0.6252,0.0608,0.8528,-0.4943,-0.2968,0.2968,0.2755,-31.4010828106417,-64.2428597732512,0.2328,0.382,147,0.7032
AMPLIACION LOS ALAMOS,-0.4282,-0.3966,-0.3743,-0.5634,-0.5499,-0.6587,-0.3168,-0.4858,-0.4713,0.3802,-0.5455,-0.2838,-1.0337,-0.7572,-0.4469,-0.7611,-0.4167,-0.2758,0.1174,-0.6477,-1.1726,-0.4943,-0.2968,0.2968,-0.4783,-31.3644166507386,-64.1542919428214,1.2196,-0.7304,305,-0.4018
AMPLIACION LOS PLATANOS,-0.3755,-0.3521,-0.3286,-0.2868,-0.5499,-0.6587,-0.3168,-0.4858,-0.5637,-0.3864,-0.4363,-0.2838,0.3244,-0.4611,-0.4469,-0.7611,-0.4167,-0.2758,-0.3168,0.5224,-1.1726,-0.4943,-0.2968,0.2968,-0.7597,-31.4186010236435,-64.2341405576036,0.856,-0.7304,386,-0.9733
AMPLIACION PALMAR,-0.3165,-0.2976,-0.359,-0.6378,-0.1551,0.0351,-0.3168,-0.4858,-0.009,-0.3864,-0.503,-0.2838,0.3244,-0.2072,-0.4469,0.338,-0.4167,-0.2758,0.2033,0.2668,0.8528,-0.4943,-0.2968,0.2968,0.1251,-31.3875352636237,-64.1202527784613,0.5098,0.382,162,0.5993
AMPLIACION PANAMERICANO,-0.2788,-0.2162,-0.3286,-0.5829,-0.5499,-0.6587,-0.3168,-0.4858,-0.6562,-0.1947,-0.2179,-0.2838,0.3244,-0.0731,-0.4469,-0.7611,-0.4167,-0.2758,-0.6436,0.1551,-1.1726,-0.4943,-0.2968,0.2968,-0.9712,-31.365476066006,-64.1799886672889,-0.5982,-0.7304,437,-1.3301
AMPLIACION PARQUE SAN CARLOS,-0.3735,-0.3356,-0.3743,-0.6892,-0.5499,-0.6587,-0.3168,-0.4858,-0.6562,-0.3864,-0.5455,-0.2838,-1.0337,-0.4518,-0.4469,-0.7611,-0.4167,-0.2758,-0.4672,-0.6477,-1.1726,-0.4943,-0.2968,0.2968,-0.8569,-31.4499585215276,-64.1563841653437,0.2847,-0.7304,422,-1.2227
AMPLIACION POETA LUGONES,-0.0228,-0.0451,-0.3895,-0.8754,-0.3525,-0.3118,-0.3168,-0.4858,-0.1939,-0.3864,0.3462,-0.2838,0.3244,0.5512,-0.4469,-0.4994,-0.4167,-0.2758,-0.5531,-0.2097,0.8528,-0.4943,-0.2968,0.2968,-0.7822,-31.3597595516254,-64.2227669849132,0.1636,-0.1742,395,-1.0357
AMPLIACION PRIMERO DE MAYO,-0.2499,-0.2927,-0.0999,0.9046,0.0424,-0.6587,0.7551,-0.4858,-0.4713,-0.1947,-0.5455,-0.2838,0.3244,0.0198,3.2869,0.5698,-0.4167,-0.2758,-0.4963,0.0869,0.8528,-0.4943,-0.2968,0.2968,-0.2126,-31.4437153991218,-64.1123370937661,1.8428,-0.7304,235,0.0866
AMPLIACION PUEYRREDON,-0.2262,-0.2025,-0.2981,-0.4694,0.4372,0.7289,0.0405,-0.4858,0.2684,0.1885,-0.4363,-0.2838,0.3244,0.09,0.2999,1.3026,-0.4167,-0.2758,0.1465,0.0385,0.8528,-0.4943,-0.2968,0.2968,0.5692,-31.393666954668,-64.1450821797477,-0.0096,1.4945,107,0.9838
AMPLIACION RESIDENCIAL AMERICA,0.5067,0.3751,-0.0008,-0.3311,0.832,0.7289,0.7551,-0.4858,-0.1939,-0.578,0.2613,-0.2838,1.6826,1.2353,1.1549,0.196,-0.4167,-0.2758,-0.7893,-0.196,0.8528,-0.4943,-0.2968,0.2968,-0.5889,-31.376008249888,-64.1612331264453,0.2501,0.0093,329,-0.5715
AMPLIACION ROSEDAL,0.0356,-0.0589,-0.0999,-0.0475,-0.5499,-0.6587,-0.3168,1.9142,-0.2864,-0.1947,1.1286,-0.2838,0.3244,0.6534,-0.4469,-0.7611,1.3358,-0.2758,-0.6482,-0.2506,-1.1726,2.0231,-0.2968,0.2968,-0.401,-31.4399633501796,-64.2242393178094,0.9772,-0.7304,280,-0.2286
AMPLIACION SAN FERNANDO,0.0858,0.0434,-0.0389,-0.067,-0.5499,-0.6587,-0.3168,-0.4858,-0.5637,-0.578,-0.0602,-0.2838,-1.0337,0.7328,-0.4469,-0.7611,-0.4167,-0.2758,-0.8139,-0.6477,-1.1726,-0.4943,-0.2968,0.2968,-1.0818,-31.4534767190212,-64.1916184339401,0.1809,-0.7304,457,-1.4687
AMPLIACION SAN PABLO,-0.139,-0.1024,-0.3895,-0.8701,0.2398,0.7289,-0.3168,-0.4858,-0.5637,-0.3864,-0.1451,-0.2838,0.3244,0.3139,-0.4469,0.5698,-0.4167,-0.2758,-0.6988,-0.0955,0.8528,-0.4943,-0.2968,0.2968,-0.3441,-31.4520403999847,-64.1597214554589,-0.3731,1.4945,266,-0.1281
AMPLIACION URCA,-0.1764,-0.1601,-0.3819,-0.8328,-0.5499,-0.6587,-0.3168,-0.4858,-1.026,-0.7696,-0.5455,-0.2838,-1.0337,0.2231,-0.4469,-0.7611,-0.4167,-0.2758,-1.0409,-0.6477,-1.1726,-0.4943,-0.2968,-3.369,-1.2289,-31.3861014776024,-64.2397057643087,-0.0096,-0.7304,469,-1.6419
AMPLIACION VELEZ SARSFIELD,-0.2629,-0.2597,-0.2981,-0.3648,-0.5499,-0.6587,-0.3168,-0.4858,-0.1014,-0.0031,-0.2482,-0.2838,-1.0337,-0.0205,-0.4469,-0.7611,-0.4167,-0.2758,-0.0974,-0.6477,-1.1726,-0.4943,-0.2968,0.2968,-0.6174,-31.4536351703001,-64.2155839465438,0.5963,-0.7304,338,-0.6339
ANA MARIA ZUMARAN,0.119,0.1523,-0.1304,-0.3843,0.832,0.7289,0.7551,-0.4858,-0.4713,-0.0031,1.0862,-0.2838,0.3244,0.7834,1.1549,0.7194,-0.4167,-0.2758,-0.7817,-0.2978,0.8528,-0.4943,-0.2968,0.2968,-0.3232,-31.3788939846699,-64.2012741737084,-0.5462,0.0093,257,-0.0658
ANEXO LOS ALAMOS,-0.4358,-0.3867,-0.3819,-0.6733,-0.5499,-0.6587,-0.3168,-0.4858,-0.3788,-0.1947,-0.5455,-0.2838,-1.0337,-0.8078,-0.4469,-0.7611,-0.4167,-0.2758,0.3782,-0.6477,-1.1726,-0.4943,-0.2968,0.2968,-0.3092,-31.3666642452745,-64.1594514014465,0.3367,-0.7304,253,-0.0381
APEADERO LA TABLADA,-0.487,-0.3966,-0.3819,-0.652,-0.5499,-0.6587,-0.3168,-0.4858,-0.8411,-0.3864,-0.3453,-0.2838,-1.0337,-1.235,-0.4469,-0.7611,-0.4167,-0.2758,-0.4273,-0.6477,-1.1726,-0.4943,-0.2968,0.2968,-0.8311,-31.3520184390118,-64.2355975006689,-1.3426,-0.7304,406,-1.1292
ARGUELLO,2.3749,1.8883,0.2584,-0.5634,4.1881,1.0758,6.4718,-0.4858,0.3609,-0.1947,2.6875,-0.2838,0.3244,2.2631,2.5103,0.4427,-0.4167,-0.2758,-0.886,-0.5646,0.8528,-0.4943,-0.2968,0.2968,-0.5288,-31.3461722429859,-64.262051826128,0.2328,-0.5858,316,-0.4814
ARGUELLO II,-0.0533,-0.164,0.2888,1.6722,-0.1551,0.0351,-0.3168,-0.4858,-0.7487,-0.578,-0.5455,-0.2838,-1.0337,0.4944,-0.4469,-0.2003,-0.4167,-0.2758,-0.8691,-0.6477,0.8528,-0.4943,-0.2968,0.2968,-0.8381,-31.3247249919385,-64.2422392486779,1.7735,0.382,414,-1.1673
ARGUELLO NORTE,2.5162,1.737,3.7036,1.424,2.0165,3.1573,0.3978,-0.4858,0.8232,-0.1947,-0.1876,2.8315,0.3244,2.3105,0.1281,-0.1405,-0.4167,1.4703,-0.8446,-0.5683,0.8528,-0.4943,3.369,0.2968,-0.5476,-31.3308180580161,-64.2488448935656,0.9426,2.3288,320,-0.5126
ARTURO CAPDEVILA,-0.2244,-0.2404,-0.3514,-0.6609,0.2398,0.7289,-0.3168,-0.4858,0.6382,-0.1947,-0.3999,-0.2838,-1.0337,0.0951,-0.4469,0.8839,-0.4167,-0.2758,0.4779,-0.6477,0.8528,-0.4943,-0.2968,0.2968,0.5751,-31.3761910181056,-64.131224666199,0.8387,1.4945,106,0.9908
ATE,-0.3938,-0.3284,-0.359,-0.59,-0.5499,-0.6587,-0.3168,-0.4858,0.1759,0.7634,0.6009,-0.2838,0.3244,-0.555,-0.4469,-0.7611,-0.4167,-0.2758,1.0194,0.6341,-1.1726,-0.4943,-0.2968,0.2968,0.1063,-31.4341764450624,-64.2307559136671,-0.4943,-0.7304,168,0.5578
AVENIDA,-0.3633,-0.313,-0.3743,-0.7158,0.0424,-0.6587,0.7551,-0.4858,-0.5637,0.1885,-0.1087,-0.2838,-1.0337,-0.4033,3.2869,1.2428,-0.4167,-0.2758,-0.3567,-0.6477,0.8528,-0.4943,-0.2968,0.2968,0.2132,-31.4281121539283,-64.2169629957844,-0.1654,-0.7304,151,0.6755
AYACUCHO,0.2812,0.2827,-0.2904,-0.7318,0.2398,0.0351,0.3978,-0.4858,2.4874,0.7634,0.5767,-0.2838,1.6826,0.997,1.42,-0.0732,-0.4167,-0.2758,0.2969,-0.0782,0.8528,-0.4943,-0.2968,0.2968,-0.0193,-31.3790860572758,-64.1710426559524,-0.4077,-0.1742,194,0.3742
BAJADA DE PIEDRA,-0.4095,-0.3829,-0.2066,1.1315,-0.5499,-0.6587,-0.3168,-0.4858,0.0835,-0.0031,-0.4302,-0.2838,0.3244,-0.6427,-0.4469,-0.7611,-0.4167,-0.2758,1.0302,0.7483,-1.1726,-0.4943,-0.2968,0.2968,0.1133,-31.414768303164,-64.1450691476688,1.1676,-0.7304,165,0.5785
BAJADA SAN ROQUE,-0.487,-0.3966,-0.3819,-0.652,-0.3525,-0.3118,-0.3168,-0.4858,-0.6562,-0.1947,-0.5455,-0.2838,-1.0337,-1.235,-0.4469,0.7343,-0.4167,-0.2758,0.1864,-0.6477,0.8528,-0.4943,-0.2968,0.2968,0.3114,-31.4270086711897,-64.2050175366239,-1.3426,-0.1742,145,0.7206
BAJO GALAN,-0.4253,-0.3411,-0.359,-0.5651,-0.3525,-0.3118,-0.3168,-0.4858,1.6553,2.4881,-0.1997,2.8315,0.3244,-0.7386,-0.4469,0.1586,-0.4167,3.9761,2.6411,0.8848,0.8528,-0.4943,3.369,0.2968,2.2121,-31.393145323592,-64.2020960413652,-1.0136,-0.1742,25,1.5588
BAJO GENERAL PAZ,-0.343,-0.274,-0.3514,-0.6254,0.2398,0.382,0.0405,-0.4858,2.0251,1.3383,-0.412,-0.2838,0.3244,-0.3135,0.4866,1.6839,-0.4167,-0.2758,2.6411,0.3673,0.8528,-0.4943,-0.2968,0.2968,2.3759,-31.415001699413,-64.1586498297489,-0.6674,0.9382,19,1.6039
BARRANCAS DEL SUR,-0.487,-0.3966,-0.4048,-0.9179,-0.5499,-0.6587,-0.3168,-0.4858,-0.7487,-0.3864,-0.5455,-0.2838,-1.0337,-1.235,-0.4469,-0.7611,-0.4167,-0.2758,-0.1204,-0.6477,-1.1726,-0.4943,-0.2968,0.2968,-0.6324,-31.4629669528025,-64.1843646320929,-1.3426,-0.7304,347,-0.7274
BELLA VISTA,0.3312,0.2436,0.4946,0.6156,0.4372,1.0758,-0.3168,-0.4858,-0.1939,0.1885,0.9649,-0.2838,-1.0337,1.0547,-0.4469,0.0539,-0.4167,-0.2758,-0.7418,-0.6477,0.8528,-0.4943,-0.2968,0.2968,-0.6287,-31.4310760948932,-64.2017610385703,0.1809,2.0507,345,-0.6824
