barrio,poblacion,hogares,nbi,pct_nbi,escuelas_total,escuelas_estatales,escuelas_privadas,dispensarios_municipales,paradas_colectivo,lineas_colectivo,luminarias_reportes,comisarias,centros_vecinales,hogares_por_poblacion,poblacion_log,pct_escuelas_privadas,escuelas_por_1000_hab,dispensarios_por_10000_hab,comisarias_por_10000_hab,paradas_por_1000_hab,centros_vecinales_por_10000_hab,tiene_escuela,tiene_dispensario,tiene_comisaria,tiene_transporte,infraestructura_score,centroide_lat,centroide_lon,area_barrio_km2,densidad_poblacional,infraestructura_por_km2,outlier_flag,cluster_barrio,cluster_descripcion,categoria_infraestructura,tooltip_html
ALTO VERDE,3956.0,1287.0,3.0,0.23,6,2,4,0,7,2,592,0,0,0.325,8.283,0.667,1.52,0.0,0.0,1.77,0.0,1,0,0,1,0.1383,-31.3735358226288,-64.2141325964614,0.9,4395.56,0.154,1,2,Suburbio Popular Consolidado,Baja,<b>ALTO VERDE</b><hr>Tipología: <span style='color:#38bdf8'>Suburbio Popular Consolidado</span><br>Pob: 3956.0<br>Score Infra: <b style='color:#e2e8f0'>Baja</b>
ALTOS DE VELEZ SARSFIELD,1678.0,544.0,7.0,1.29,1,1,0,0,10,4,170,0,1,0.324,7.426,0.0,0.6,0.0,0.0,5.96,5.96,1,0,0,1,0.152,-31.4483323168207,-64.2140975038702,0.21,7990.48,0.724,1,2,Suburbio Popular Consolidado,Media,<b>ALTOS DE VELEZ SARSFIELD</b><hr>Tipología: <span style='color:#38bdf8'>Suburbio Popular Consolidado</span><br>Pob: 1678.0<br>Score Infra: <b style='color:#e2e8f0'>Media</b>
ALTOS DE VILLA CABRERA,1164.0,400.0,5.0,1.25,1,1,0,0,18,13,173,0,0,0.344,7.06,0.0,0.86,0.0,0.0,15.46,0.0,1,0,0,1,0.346,-31.3812472018439,-64.2196230940151,0.23,5060.87,1.504,1,0,Anillo Denso Residencial,Alta,<b>ALTOS DE VILLA CABRERA</b><hr>Tipología: <span style='color:#38bdf8'>Anillo Denso Residencial</span><br>Pob: 1164.0<br>Score Infra: <b style='color:#e2e8f0'>Alta</b>
ALTOS SAN MARTIN,1279.0,440.0,3.0,0.68,0,0,0,0,7,2,177,0,0,0.344,7.155,0.0,0.0,0.0,0.0,5.47,0.0,0,0,0,1,0.1013,-31.3772325958898,-64.2143578517347,0.22,5813.64,0.46,1,0,Anillo Denso Residencial,Baja,<b>ALTOS SAN MARTIN</b><hr>Tipología: <span style='color:#38bdf8'>Anillo Denso Residencial</span><br>Pob: 1279.0<br>Score Infra: <b style='color:#e2e8f0'>Baja</b>
ALTOS SUD DE SAN VICENTE,1023.0,275.0,21.0,7.64,0,0,0,0,4,2,7,0,0,0.269,6.931,0.0,0.0,0.0,0.0,3.91,0.0,0,0,0,1,0.0724,-31.4371311914398,-64.1408888444944,0.08,12787.5,0.905,1,2,Suburbio Popular Consolidado,Muy Baja,<b>ALTOS SUD DE SAN VICENTE</b><hr>Tipología: <span style='color:#38bdf8'>Suburbio Popular Consolidado</span><br>Pob: 1023.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Baja</b>
AMEGHINO NORTE,3781.0,1008.0,124.0,12.3,1,1,0,1,17,7,79,0,1,0.267,8.238,0.0,0.26,2.64,0.0,4.5,2.64,1,1,0,1,0.1895,-31.4291728661583,-64.2372008417107,0.52,7271.15,0.364,1,4,Periferia Vulnerable,Media,<b>AMEGHINO NORTE</b><hr>Tipología: <span style='color:#38bdf8'>Periferia Vulnerable</span><br>Pob: 3781.0<br>Score Infra: <b style='color:#e2e8f0'>Media</b>
AMEGHINO SUD,3449.0,1093.0,18.0,1.65,4,4,0,0,22,8,343,0,1,0.317,8.146,0.0,1.16,0.0,0.0,6.38,2.9,1,0,0,1,0.1986,-31.4344344120781,-64.2375798932284,0.53,6507.55,0.375,1,2,Suburbio Popular Consolidado,Media,<b>AMEGHINO SUD</b><hr>Tipología: <span style='color:#38bdf8'>Suburbio Popular Consolidado</span><br>Pob: 3449.0<br>Score Infra: <b style='color:#e2e8f0'>Media</b>
AMPLIACION ALTAMIRA,1897.0,504.0,37.0,7.34,0,0,0,1,16,2,9,0,2,0.266,7.549,0.0,0.0,5.27,0.0,8.43,10.54,0,1,0,1,0.332,-31.418800365534,-64.130149050924,0.17,11158.82,1.953,1,2,Suburbio Popular Consolidado,Alta,<b>AMPLIACION ALTAMIRA</b><hr>Tipología: <span style='color:#38bdf8'>Suburbio Popular Consolidado</span><br>Pob: 1897.0<br>Score Infra: <b style='color:#e2e8f0'>Alta</b>
AMPLIACION BENJAMIN MATIENZO,2024.0,512.0,54.0,10.55,4,4,0,0,8,3,40,0,0,0.253,7.613,0.0,1.98,0.0,0.0,3.95,0.0,1,0,0,1,0.2105,-31.44629840021855,-64.2349158491345,0.42,4819.05,0.501,1,4,Periferia Vulnerable,Media,<b>AMPLIACION BENJAMIN MATIENZO</b><hr>Tipología: <span style='color:#38bdf8'>Periferia Vulnerable</span><br>Pob: 2024.0<br>Score Infra: <b style='color:#e2e8f0'>Media</b>
AMPLIACION CABO FARINA,500.0,200.0,12.0,6.0,0,0,0,0,3,1,17,0,1,0.4,6.217,0.0,0.0,0.0,0.0,6.0,20.0,0,0,0,1,0.1111,-31.4615420959235,-64.2148780007921,0.05,10000.0,2.222,1,0,Anillo Denso Residencial,Baja,<b>AMPLIACION CABO FARINA</b><hr>Tipología: <span style='color:#38bdf8'>Anillo Denso Residencial</span><br>Pob: 500.0<br>Score Infra: <b style='color:#e2e8f0'>Baja</b>
AMPLIACION EMPALME,3115.0,940.0,25.0,2.66,0,0,0,1,25,3,19,0,1,0.302,8.044,0.0,0.0,3.21,0.0,8.03,3.21,0,1,0,1,0.2559,-31.4317354197924,-64.1252161280049,0.35,8900.0,0.731,1,2,Suburbio Popular Consolidado,Alta,<b>AMPLIACION EMPALME</b><hr>Tipología: <span style='color:#38bdf8'>Suburbio Popular Consolidado</span><br>Pob: 3115.0<br>Score Infra: <b style='color:#e2e8f0'>Alta</b>
AMPLIACION GENERAL ARTIGAS,2325.0,661.0,20.0,3.03,0,0,0,0,1,0,80,0,2,0.284,7.752,0.0,0.0,0.0,0.0,0.43,8.6,0,0,0,1,0.008,-31.4632233206896,-64.1958875212659,0.5,4650.0,0.016,1,2,Suburbio Popular Consolidado,Muy Baja,<b>AMPLIACION GENERAL ARTIGAS</b><hr>Tipología: <span style='color:#38bdf8'>Suburbio Popular Consolidado</span><br>Pob: 2325.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Baja</b>
AMPLIACION JARDIN ESPINOSA,519.0,200.0,0.0,0.0,0,0,0,0,10,4,128,0,0,0.385,6.254,0.0,0.0,0.0,0.0,19.27,0.0,0,0,0,1,0.3569,-31.4554158322251,-64.1732980577387,0.19,2731.58,1.878,1,0,Anillo Denso Residencial,Alta,<b>AMPLIACION JARDIN ESPINOSA</b><hr>Tipología: <span style='color:#38bdf8'>Anillo Denso Residencial</span><br>Pob: 519.0<br>Score Infra: <b style='color:#e2e8f0'>Alta</b>
