barrio,poblacion,hogares,nbi
EL QUEBRACHO,"4,361","1,017",136
EL QUEBRACHAL,150,43,5
EL PUEBLITO,"1,315",332,124
EL PRADO,,,
EL CERRITO,"3,659",920,105
EL CABILDO,"5,049","1,331",88
EL BOSQUE,"1,590",407,6
EL BALCON,,,
EJERCITO ARGENTINO,"1,845",624,8
DUCASSE,936,389,32
DIPAS,,,
DEAN FUNES,"2,124",682,22
DE LOS BIOQUIMICOS,"1,265",348,25
CUPANI,"2,255",674,32
CRISOL SUD,"3,336","1,124",10
CRISOL NORTE,"1,224",541,5
COUNTRY VALLE ESCONDIDO,"3,330",909,4
COUNTRY RANCH CLUB,13,2,0
COUNTRY LOS MIMBRES,93,25,0
COUNTRY LOS ALGARROBOS,180,45,0
COUNTRY LOMAS DE LA CAROLINA,"1,572",383,0
COUNTRY LAS DELICIAS,776,213,2
COUNTRY LA SANTINA - COUNTRY CAMPINA DEL SUR,98,22,0
COUNTRY LA RESERVA,795,207,2
COUNTRY JOCKEY CLUB,"1,555",379,7
COUNTRY FORTIN DEL POZO,428,95,6
COUNTRY CLUB,217,63,0
COUNTRY BARRANCAS,80,23,0
COUNTRY ALTOS DEL CHATEAU,560,126,0
COSTA VERDE,66,20,0
CORRAL DE PALOS,"1,244",342,23
CORDOBA V,300,97,1
CORDOBA IV,399,132,0
COOPERATIVA LA UNIDAD,"2,120",508,32
COOPERATIVA LA HERMOSA,494,99,24
COOPERATIVA EL FUTURO,424,99,12
COOPERATIVA 16 DE NOVIEMBRE,"1,892",459,58
CONSORCIO ESPERANZA,344,97,3
CONSORCIO 16 DE NOVIEMBRE,785,213,12
CONGRESO,"2,534",657,39
COMERCIAL,"6,575","1,700",215
COMANDANTE ESPORA,"1,567",500,10
COLONIA LOLA,"4,709","1,184",146
COLON,"3,862","1,259",30
COLINAS DEL CERRO,"2,264",674,27
COLINAS DE VELEZ SARSFIELD,"1,642",581,4
COLINAS DE BELLA VISTA,817,242,13
COFICO,498,177,1
CLAROS DEL BOSQUE,146,38,5
CIUDADELA,"1,442",469,10
CIUDAD VILLA RETIRO,"1,402",316,57
CIUDAD UNIVERSITARIA,,,
CIUDAD PARQUE LAS ROSAS,"1,385",325,26
CIUDAD OBISPO ANGELELLI,"1,828",403,81
CIUDAD MI ESPERANZA,"1,492",349,50
CIUDAD EVITA,"2,662",638,95
CIUDAD DE MIS SUENOS,"2,147",511,85
CIUDAD DE LOS CUARTETOS,"2,204",489,68
CIUDAD DE LAS ARTES,,,
CIUDAD DE JUAN PABLO II,"2,125",552,45
CIUDAD AMPLIACION FERREYRA,,,
CIUDAD AMPLIACION CABILDO,"2,593",577,93
CIRCUNVALACION,,,
CHATEAU CARRERAS,"1,624",514,3
CERVECEROS,"3,893","1,094",17
CERRO NORTE,"5,374","1,449",111
CERRO DE LAS ROSAS,"5,947","1,944",3
CERRO CHICO,"2,719","1,019",6
CENTRO AMERICA,"5,529","1,658",36
CENTRO,"28,200","14,423",568
CASEROS,"1,497",619,6
CARRARA,295,75,11
CAROLA LORENZINI,426,145,3
CARBO,"1,444",395,29
CAMPING GRL SAN MARTIN,,,
CAMINO A VILLA POSSE,96,22,5
CAMINO A SAN CARLOS,"1,123",316,58
CALIFORNIA,600,196,12
CACERES,875,248,21
CABO FARINA,"2,287",647,79
CABANA DEL PILAR,458,151,0
BRIGADIER SAN MARTIN,392,119,0
BOEDO,"2,664",567,154
BIALET MASSE,"2,091",591,20
BH_CAMINO A 60 CUADRAS,"1,615",422,89
BETANIA,"1,992",480,65
BELLA VISTA OESTE,"1,828",532,28
BELLA VISTA,"4,607","1,364",118
BARRANCAS DEL SUR,172,40,0
BAJO GENERAL PAZ,"1,223",423,7
BAJO GALAN,810,301,6
BAJADA SAN ROQUE,388,125,3
BAJADA DE PIEDRA,889,225,26
AYACUCHO,"4,356","1,435",15
AVENIDA,"1,121",352,4
ATE,968,324,6
ARTURO CAPDEVILA,"1,818",484,7
ARGUELLO NORTE,"15,574","4,079",539
ARGUELLO II,"2,677",623,91
ARGUELLO,"14,865","4,354",87
APEADERO LA TABLADA,443,133,3
ANEXO LOS ALAMOS,757,218,3
ANA MARIA ZUMARAN,"3,542","1,198",36
AMPLIACION VELEZ SARSFIELD,"1,625",449,14
AMPLIACION URCA,"2,059",630,3
AMPLIACION SAN PABLO,"2,247",735,2
AMPLIACION SAN FERNANDO,"3,375","1,000",48
AMPLIACION ROSEDAL,"3,123",814,40
AMPLIACION RESIDENCIAL AMERICA,"5,488","1,603",53
AMPLIACION PUEYRREDON,"1,809",553,14
AMPLIACION PRIMERO DE MAYO,"1,690",389,40
AMPLIACION POETA LUGONES,"2,830",839,2
AMPLIACION PARQUE SAN CARLOS,"1,070",311,4
AMPLIACION PANAMERICANO,"1,545",528,10
AMPLIACION PALMAR,"1,356",380,6
AMPLIACION LOS PLATANOS,"1,060",281,10
AMPLIACION LOS ALAMOS,795,194,4
AMPLIACION LAS PALMAS,"1,750",513,12
AMPLIACION KENNEDY,370,105,7
AMPLIACION JOSE IGNACIO DIAZ SECCION 3,668,152,22
AMPLIACION JOSE IGNACIO DIAZ SECCION 2,"1,883",430,56
AMPLIACION JARDIN ESPINOSA,519,158,0
AMPLIACION GENERAL ARTIGAS,"2,325",661,20
AMPLIACION EMPALME,"3,115",940,25
AMPLIACION CABO FARINA,280,73,12
AMPLIACION BENJAMIN MATIENZO,"1,012",256,27
AMPLIACION ALTAMIRA,"1,897",504,37
AMEGHINO SUD,"3,449","1,093",18
AMEGHINO NORTE,"3,781","1,008",124
ALTOS SUD DE SAN VICENTE,"1,023",275,21
ALTOS SAN MARTIN,"1,279",440,3
ALTOS DE VILLA CABRERA,"1,164",400,5
ALTOS DE VELEZ SARSFIELD,"1,678",544,7
ALTO VERDE,"3,956","1,287",3
ALTO PALERMO,923,311,0
ALTO HERMOSO,134,39,0
HOGAR PROPIO,"4,716","1,581",56
ALTO DE SANTA ANA,"1,508",424,20
ALTO DE DON BOSCO,675,212,0
ALTO ALBERDI,"30,472","10,101",389
ALTAMIRA,"6,103","1,895",36
ALTA CORDOBA,"34,575","12,560",372
ALMIRANTE BROWN,"1,019",246,13
ALEJANDRO CENTENO,"1,231",432,2
ALBORADA SUR,311,99,1
ALBORADA NORTE,405,133,2
ALBERDI,"32,729","15,505",858
AIRES DEL SUR,142,32,0
AEROPUERTO,272,76,5
AERONAUTICO- VILLA ZEPELLIN,928,256,7
ACOSTA,"5,512","1,519",137
ACHAVAL PENA,754,218,10
4 DE FEBRERO,854,207,16
25 DE MAYO,441,113,31
23 DE ABRIL,"1,879",424,69
20 DE JUNIO,661,157,28
2 DE SEPTIEMBRE,"2,624",588,126
1 DE MAYO,"9,998","2,788",171
DE LOS DOCENTES,155,48,0
SIN BARRIO,"18,570","5,008",982
