barrio,poblacion,hogares,nbi,pct_nbi,escuelas_total,escuelas_estatales,escuelas_privadas,dispensarios_municipales,paradas_colectivo,lineas_colectivo,luminarias_reportes,comisarias,centros_vecinales,hogares_por_poblacion,poblacion_log,pct_escuelas_privadas,escuelas_por_1000_hab,dispensarios_por_10000_hab,comisarias_por_10000_hab,paradas_por_1000_hab,centros_vecinales_por_10000_hab,tiene_escuela,tiene_dispensario,tiene_comisaria,tiene_transporte,infraestructura_score,area_barrio_km2,densidad_poblacional,densidad_hogares,infraestructura_por_km2,educacion_ratio_publico_privado,centroide_lat,centroide_lon,cluster_barrio,cluster_descripcion,categoria_infraestructura,tooltip_barrio,servicios_basicos_score,infraestructura_por_habitante,ranking_infraestructura,percentil_infraestructura
ALTO PALERMO,923.0,311.0,0.0,0.0,1,1,0,0,25,13,158,0,0,0.337,6.829,0.0,1.08,0.0,0.0,24.0,0.0,1,0,0,1,0.5194,0.26,3550.0,1196.15,1.998,2.0,-31.3756925958522,-64.2247362943992,3,Tipo D (Infr 0.40 - NBI 2.8%),Muy Alta,<b>ALTO PALERMO</b><br>Pob: 923.0<br>Score: 0.52 (Muy Alta),0.67,5.6273,42,91.7
ALTO VERDE,3956.0,1287.0,3.0,0.23,6,2,4,0,7,2,592,0,0,0.325,8.283,0.667,1.52,0.0,0.0,1.77,0.0,1,0,0,1,0.1383,0.9,4395.56,1430.0,0.154,0.6,-31.3735358226288,-64.2141325964614,1,Tipo B (Infr 0.14 - NBI 3.0%),Baja,<b>ALTO VERDE</b><br>Pob: 3956.0<br>Score: 0.14 (Baja),0.67,0.3496,307,38.1
ALTOS DE VELEZ SARSFIELD,1678.0,544.0,7.0,1.29,1,1,0,0,10,4,170,0,1,0.324,7.426,0.0,0.6,0.0,0.0,5.96,5.96,1,0,0,1,0.152,0.21,7990.48,2590.48,0.724,2.0,-31.4483323168207,-64.2140975038702,1,Tipo B (Infr 0.14 - NBI 3.0%),Media,<b>ALTOS DE VELEZ SARSFIELD</b><br>Pob: 1678.0<br>Score: 0.15 (Media),0.67,0.9058,282,43.1
ALTOS DE VILLA CABRERA,1164.0,400.0,5.0,1.25,1,1,0,0,18,13,173,0,0,0.344,7.06,0.0,0.86,0.0,0.0,15.46,0.0,1,0,0,1,0.346,0.23,5060.87,1739.13,1.504,2.0,-31.3812472018439,-64.2196230940151,3,Tipo D (Infr 0.40 - NBI 2.8%),Alta,<b>ALTOS DE VILLA CABRERA</b><br>Pob: 1164.0<br>Score: 0.35 (Alta),0.67,2.9725,104,79.1
ALTOS SAN MARTIN,1279.0,440.0,3.0,0.68,0,0,0,0,7,2,177,0,0,0.344,7.155,0.0,0.0,0.0,0.0,5.47,0.0,0,0,0,1,0.1013,0.22,5813.64,2000.0,0.46,1.0,-31.3772325958898,-64.2143578517347,1,Tipo B (Infr 0.14 - NBI 3.0%),Baja,<b>ALTOS SAN MARTIN</b><br>Pob: 1279.0<br>Score: 0.10 (Baja),0.33,0.792,376,24.1
ALTOS SUD DE SAN VICENTE,1023.0,275.0,21.0,7.64,0,0,0,0,4,2,7,0,0,0.269,6.931,0.0,0.0,0.0,0.0,3.91,0.0,0,0,0,1,0.0724,0.08,12787.5,3437.5,0.905,1.0,-31.4371311914398,-64.1408888444944,1,Tipo B (Infr 0.14 - NBI 3.0%),Muy Baja,<b>ALTOS SUD DE SAN VICENTE</b><br>Pob: 1023.0<br>Score: 0.07 (Muy Baja),0.33,0.7077,415,16.2
AMEGHINO NORTE,3781.0,1008.0,124.0,12.3,1,1,0,1,17,7,79,0,1,0.267,8.238,0.0,0.26,2.64,0.0,4.5,2.64,1,1,0,1,0.1895,0.52,7271.15,1938.46,0.364,2.0,-31.4291728661583,-64.2372008417107,2,Tipo C (Infr 0.16 - NBI 14.4%),Media,<b>AMEGHINO NORTE</b><br>Pob: 3781.0<br>Score: 0.19 (Media),1.0,0.5012,234,52.8
AMEGHINO SUD,3449.0,1093.0,18.0,1.65,4,4,0,0,22,8,343,0,1,0.317,8.146,0.0,1.16,0.0,0.0,6.38,2.9,1,0,0,1,0.1986,0.53,6507.55,2062.26,0.375,5.0,-31.4344344120781,-64.2375798932284,1,Tipo B (Infr 0.14 - NBI 3.0%),Media,<b>AMEGHINO SUD</b><br>Pob: 3449.0<br>Score: 0.20 (Media),0.67,0.5758,222,55.3
AMPLIACION ALTAMIRA,1897.0,504.0,37.0,7.34,0,0,0,1,16,2,9,0,2,0.266,7.549,0.0,0.0,5.27,0.0,8.43,10.54,0,1,0,1,0.332,0.17,11158.82,2964.71,1.953,1.0,-31.418800365534,-64.130149050924,1,Tipo B (Infr 0.14 - NBI 3.0%),Alta,<b>AMPLIACION ALTAMIRA</b><br>Pob: 1897.0<br>Score: 0.33 (Alta),0.67,1.7501,112,77.5
AMPLIACION BENJAMIN MATIENZO,2024.0,512.0,54.0,10.55,4,4,0,0,8,3,40,0,0,0.253,7.613,0.0,1.98,0.0,0.0,3.95,0.0,1,0,0,1,0.2105,0.42,4819.05,1219.05,0.501,5.0,-31.44629840021855,-64.2349158491345,2,Tipo C (Infr 0.16 - NBI 14.4%),Media,<b>AMPLIACION BENJAMIN MATIENZO</b><br>Pob: 2024.0<br>Score: 0.21 (Media),0.67,1.04,212,57.3
