barrio,centroide_lat,centroide_lon,cluster_barrio,dbscan_cluster
GUAYAQUIL,-31.382844844148,-64.1550652774413,1,0
GUEMES,-31.4281317736306,-64.1936790393253,2,0
GUINAZU,-31.3122463444352,-64.1732935256594,1,-1
GUINAZU SUD,-31.335667108704,-64.1831340646197,1,-1
HIPOLITO IRIGOYEN,-31.3728101396738,-64.1862965749199,2,0
HOGAR PROPIO,-31.4073366174112,-64.1541697551546,2,3
HORIZONTE,-31.458659818397,-64.2065221911296,2,0
INAUDI,-31.4764448201221,-64.1942870194643,1,0
INDEPENDENCIA,-31.4011747261759,-64.1901515777845,1,0
INDUSTRIAL ESTE,-31.4295150677245,-64.1642099648801,0,0
INDUSTRIAL OESTE,-31.4093022069007,-64.2665553929106,0,0
IPONA,-31.4447612065343,-64.1883722304098,1,0
IPV ANEXO LOS GIGANTES,-31.3648676647868,-64.16327334385565,3,0
IRUPE,-31.4591661313717,-64.2025406690525,1,0
ITUZAINGO,-31.4647362980865,-64.0971483618541,2,1
ITUZAINGO ANEXO,-31.4636925992066,-64.0829019327012,2,1
ITUZAINGO II,-31.4748343925178,-64.087896921299,4,1
JARDIN,-31.4463256163336,-64.1817052357987,2,0
JARDIN DEL CLARET,-31.3481294929873,-64.2295895723668,1,0
JARDIN DEL PILAR,-31.4441158992776,-64.1528930609459,2,0
JARDIN DEL SUD,-31.4560504721943,-64.1645849897324,0,0
JARDIN ESPINOSA,-31.4534509945975,-64.1712567263831,0,0
JARDIN HIPODROMO,-31.4589242324741,-64.19080381357651,2,0
JARDINES DEL JOCKEY,-31.4545213844294,-64.1762033277934,0,0
JERONIMO LUIS DE CABRERA,-31.355929776680497,-64.182586923343,2,0
JOCKEY CLUB,-31.45350962939535,-64.17915620724006,0,0
JOSE HERNANDEZ,-31.4442248820361,-64.1570348359065,2,0
JOSE I RUCCI,-31.4609802081608,-64.1294432268321,3,0
JOSE IGNACIO DIAZ SECCION 1,-31.4434066051212,-64.1379279859404,2,0
JOSE IGNACIO DIAZ SECCION 2,-31.445119854089,-64.1454220109331,2,0
JOSE IGNACIO DIAZ SECCION 3,-31.4513797512027,-64.13227473173771,4,0
JUAN B JUSTO,-31.3596644034487,-64.1815511893765,2,0
JUAN XXIII,-31.4205156024717,-64.224871196559,0,0
JUNIORS,-31.4192717920482,-64.1653082078352,2,0
KAIROS,-31.4826802195118,-64.2497173104398,4,4
KENNEDY,-31.4580417689364,-64.1911071520722,0,0
LA CAROLINA,-31.352759985372,-64.2862020234934,0,0
LA DOROTEA,-31.3788286307828,-64.1116311003492,0,-1
LA ESPERANZA,-31.4838140058101,-64.2421336446981,0,4
LA FLORESTA,-31.3892085271405,-64.0584290695021,4,-1
LA FRANCE,-31.373065947038,-64.2085938676132,2,0
LA FRATERNIDAD,-31.3768577788271,-64.1839607417547,1,0
LA HORTENSIA,-31.3843979505714,-64.1399484740113,0,0
LA SALLE,-31.3454778183915,-64.275515246264,1,0
LA TOMA,-31.4051127349579,-64.2618449754138,0,0
LAMADRID,-31.4142542254104,-64.2345600721848,2,0
LAS CANITAS,-31.4650784096084,-64.1891322142882,0,0
LAS CANUELAS,-31.475993631789,-64.1545963596112,0,-1
LAS CORTADERAS,-31.3315892531035,-64.229590962207,1,-1
LAS DALIAS,-31.4096984739965,-64.2372977684071,0,0
LAS FLORES,-31.4500092193326,-64.1971927194197,2,0
LAS HUERTILLAS,-31.4711647618496,-64.196333901865,0,0
LAS LILAS,-31.4453296898999,-64.1319168615125,4,0
LAS MAGNOLIAS,-31.3678491335932,-64.2102388700929,2,0
LAS MARGARITAS,-31.3784736934929,-64.2099396727188,2,0
LAS PALMAS,-31.4039268357349,-64.2392888497874,2,0
LAS PALMAS ANEXO,-31.4128592856954,-64.2397007234111,0,0
LAS PLAYAS,-31.439564782513,-64.247489470892,2,0
LAS ROSAS,-31.391393991088,-64.2281073274152,0,0
LAS VIOLETAS,-31.4093312889146,-64.2503950304475,4,0
LICEO GENERAL PAZ,-31.3355758005306,-64.1667020824379,0,-1
LOMAS DE SAN MARTIN,-31.3825174083115,-64.2059476982937,0,0
LOS ALAMOS,-31.3678133678231,-64.1569101282328,2,0
LOS ANGELES,-31.359507855743,-64.2370170092703,1,0
LOS ARBOLES,-31.3663128297877,-64.2847366879914,0,0
LOS BOULEVARES,-31.3451594663769,-64.2192643585421,2,-1
LOS CEIBOS,-31.429311789068,-64.1480959893981,0,0
LOS CHINGOLOS,-31.340792625602,-64.169066378749,2,-1
LOS CIELOS,-31.3714859295371,-64.28265773622033,0,0
LOS EUCALIPTUS,-31.4678374607454,-64.0885166553114,2,1
LOS FILTROS,-31.4133081279979,-64.2484968686162,4,0
LOS FRESNOS,-31.4709007424932,-64.0815785370936,4,1
LOS GIGANTES,-31.3626362226789,-64.1695064760401,2,0
LOS GRANADOS,-31.4233609670665,-64.2369958390385,2,0
LOS HORNILLOS,-31.3409132203449,-64.1720953360985,1,-1
LOS JACARANDAES,-31.4171979227171,-64.2364547163467,4,0
LOS JOSEFINOS,-31.4142006207762,-64.1238803796894,0,0
LOS NARANJOS,-31.4296647566055,-64.226563138602,1,0
LOS OLMOS,-31.4597965821554,-64.2172530936535,2,0
LOS OLMOS SUD,-31.465400290473603,-64.21545121967615,2,0
LOS PARAISOS,-31.3830882690084,-64.1946480503973,2,0
LOS PINOS,-31.3936669516838,-64.1410319653281,2,0
LOS PLATANOS,-31.4222080751586,-64.2307130188136,2,0
LOS ROBLES,-31.4010362677022,-64.2649086322231,4,0
LOS SAUCES,-31.4611868550392,-64.0988703018824,1,1
LOS SOLES,-31.37321427576532,-64.27863327990656,0,0
LOS SUENOS,-31.3604453595515,-64.2832690939214,0,0
LOURDES,-31.3316515562663,-64.2559838632293,4,2
MAIPU SECCION 1,-31.4361764058547,-64.1595471854071,2,0
MAIPU SECCION 2,-31.4296995173019,-64.159805647332,2,0
MALDONADO,-31.412245483126,-64.127450781327,4,0
MARCELO T DE ALVEAR,-31.3680411492782,-64.1718542573729,2,0
MARCOS SASTRE,-31.4451190053854,-64.149863964445,0,0
MARECHAL,-31.3955292239017,-64.2142652519137,2,0
MARIA LASTENIA,-31.3266603545532,-64.1819207021647,1,-1
MARIANO BALCARCE,-31.4336980595615,-64.2215931493569,2,0
MARIANO FRAGUEIRO,-31.3660728145572,-64.1856708289333,2,0
MARQUES ANEXO,-31.37143579108965,-64.19161266923146,2,0
MARQUES DE SOBREMONTE,-31.36862893655555,-64.19402795529055,2,0
MAULLER,-31.4147746684517,-64.1388534120657,2,0
MAURIZI,-31.4274174705639,-64.2081597810474,0,0
MERCANTIL,-31.3183526871751,-64.2587038912171,1,2
MILITAR GENERAL DEHEZA,-31.3961038343019,-64.2718381204991,0,0
MIRADOR,-31.4289133054055,-64.1385804949468,4,0
MIRADOR DEL CHATEAU,-31.38511415213455,-64.26248967015471,0,0
MIRALTA,-31.4244364501647,-64.1122227442397,4,0
MIRIZZI,-31.4736776999547,-64.2058443325684,1,0
MUTUAL DE LOS DOCENTES,-31.4569004597575,-64.2241300612357,0,0
NICOLAS AVELLANEDA,-31.4623154748996,-64.1037099479582,1,1
NUESTRO HOGAR I,-31.4713698368511,-64.1489809392811,1,-1
NUESTRO HOGAR II,-31.387682870044,-64.0982253407013,1,-1
NUESTRO HOGAR III,-31.50091471404605,-64.19982237373814,4,-1
NUEVA CORDOBA,-31.426755004302,-64.186098312365,3,0
NUEVA CORDOBA ANEXA,-31.4363481826837,-64.164017889066,0,0
NUEVA ITALIA,-31.3859550300777,-64.1452722218278,2,0
NUEVO URCA,-31.3828475471979,-64.2674905686599,0,0
OBRERO,-31.4134335064709,-64.2122200883557,2,0
OBSERVATORIO,-31.4231361956293,-64.2028823470864,2,0
OMBU,-31.3893202773862,-64.21753693663,0,0
ONA,-31.4492916492839,-64.1653991848349,1,0
OSN,-31.4599043773051,-64.15824125761,2,0
PADRE CLARET,-31.3544915100643,-64.237238422406,1,0
PALERMO BAJO,-31.3869413360447,-64.2246185527337,0,0
PALMAR,-31.3899757721453,-64.1246701968207,0,0
PALMAS DEL CLARET,-31.3514066893432,-64.2308945622633,0,0
PANAMERICANO,-31.3728037015138,-64.1799531562142,2,0
PARQUE ALAMEDA,-31.4667304669222,-64.1842467716332,0,0
PARQUE ATLANTICA,-31.4538400218945,-64.2100439245679,2,0
PARQUE CAPITAL,-31.4351614511823,-64.2159341822764,2,0
PARQUE CAPITAL SUD,-31.4426782072545,-64.2171490791533,0,0
PARQUE CHACABUCO,-31.382522710674,-64.2116422926307,0,0
PARQUE CHATEAU CARRERAS,-31.3626197967517,-64.2647444147625,0,0
PARQUE COREMA,-31.367945597451,-64.228319679797,0,0
PARQUE DE LA VEGA II,-31.4086410569058,-64.2612520517313,1,0
PARQUE DE LA VEGA III,-31.4035479069876,-64.2671597598804,0,0
PARQUE DE LA VIDA,-31.4442273592752,-64.2261000948677,0,0
PARQUE DEL ESTE,-31.4051586405003,-64.1455089911964,1,3
PARQUE DON BOSCO,-31.3884319827078,-64.272025814382,2,0
PARQUE FUTURA,-31.488906450635,-64.2529899700877,4,4
PARQUE JORGE NEWBERY,-31.350399915226,-64.180513219248,2,0
PARQUE LATINO,-31.4596532315616,-64.2124548233494,1,0
PARQUE LICEO SECCION 1,-31.3497061993402,-64.1625303442315,2,0
PARQUE LICEO SECCION 2,-31.3556278869882,-64.1620118927709,2,0
PARQUE LICEO SECCION 3,-31.3552182265341,-64.1513432642662,4,0
PARQUE LOS MOLINOS,-31.4561025121088,-64.2008967897547,0,0
PARQUE MODELO,-31.3647142739498,-64.2510241394099,0,5
PARQUE MONTECRISTO,-31.3886256093823,-64.1399659927481,0,0
PARQUE REPUBLICA,-31.4161294813208,-64.258582064065,4,0
PARQUE SAN CARLOS,-31.4494274723584,-64.1599280417188,0,0
PARQUE SAN VICENTE,-31.4249959692642,-64.1373491487954,0,0
PARQUE SARMIENTO,-31.4328801293591,-64.1789078506441,1,0
PARQUE TABLADA,-31.3871781770563,-64.2312408178758,0,0
PARQUE VELEZ SARSFIELD,-31.4411595485323,-64.2040025565823,2,0
PASO DE LOS ANDES,-31.4159538702898,-64.203280297451,2,0
PATRIA,-31.4090264654307,-64.1601858045219,2,3
PATRICIOS,-31.3756246362009,-64.1380411944225,2,0
PATRICIOS ESTE,-31.3664999296539,-64.1349339830755,2,0
PATRICIOS NORTE,-31.3665348992504,-64.1397902544819,2,0
PATRICIOS OESTE,-31.366869744123,-64.144607787169,2,0
PIEDRAS BLANCAS,-31.4828367695047,-64.1625623852958,0,-1
POETA LUGONES,-31.3609843553083,-64.2119307156898,2,0
POLICARPIO CABRAL,-31.4365154316367,-64.1379006955884,0,0
POLICIAL,-31.31551981250325,-64.2649630981434,4,2
PORTAL DE CORDOBA,-31.4442984208467,-64.1094454944293,2,0
PORTAL DEL JACARANDA,-31.3439690435074,-64.2889913814107,1,0
POSTA DE VARGAS,-31.4798946482734,-64.1941605174631,1,0
PRIMERA JUNTA,-31.4262217020123,-64.2277644708514,0,0
PROVIDENCIA,-31.4007885482133,-64.2007718428186,2,0
PUENTE BLANCO,-31.4102088438482,-64.2354259890449,0,0
QUEBRADA DE LAS ROSAS,-31.3911204679379,-64.2557636529928,2,0
QUINTA SANTA ANA,-31.4116430526547,-64.2041555793476,0,0
QUINTAS DE ARGUELLO,-31.3400189964185,-64.2713056429599,1,0
QUINTAS DE FLORES,-31.4894148301706,-64.1636669610672,0,-1
QUINTAS DE ITALIA,-31.4979842970964,-64.177191210219,0,-1
QUINTAS DE SAN JORGE,-31.3740431522688,-64.1306408255164,4,0
RAMON J CARCANO,-31.463692802931,-64.1376703606332,4,0
RECREO DEL NORTE,-31.3123539634767,-64.167325622174,4,-1
REMEDIOS DE ESCALADA,-31.3421300238043,-64.1869920177232,4,-1
RENACIMIENTO,-31.4183241408712,-64.1212770221383,4,0
RENE FAVALORO,-31.4091999467218,-64.2319102857693,0,0
RENE FAVALORO II,-31.4488242294769,-64.2361423987957,2,0
RES CHATEAU CARRERAS CO VI CO,-31.3911227810288,-64.2625812057562,0,0
RESIDENCIAL AMERICA,-31.3823716514569,-64.1618882993704,2,0
RESIDENCIAL ARAGON,-31.3715261997823,-64.1307766978515,4,0
RESIDENCIAL OLIVOS,-31.4327587703916,-64.2106558663057,0,0
RESIDENCIAL SAN CARLOS,-31.4440185024215,-64.1657393867709,2,0
RESIDENCIAL SAN JORGE,-31.3688561270228,-64.12982377053319,3,0
RESIDENCIAL SAN ROQUE,-31.4270382314086,-64.2472947834154,4,0
RESIDENCIAL SANTA ANA,-31.4238461538475,-64.2149551539217,0,0
RESIDENCIAL SANTA ROSA,-31.4776887498821,-64.2053354654748,2,0
RESIDENCIAL SUD,-31.4663754728897,-64.2254447512096,1,0
RESIDENCIAL VELEZ SARSFIELD,-31.4488841804524,-64.2091247187554,2,0
RIVADAVIA,-31.432367391206,-64.1487458501079,2,0
RIVERA INDARTE,-31.333982397703,-64.296330832545,0,0
ROCIO,-31.3681724782991,-64.28048692984187,0,0
ROCIO DEL SUR,-31.4868760584956,-64.1912693028927,0,0
ROGELIO MARTINEZ,-31.4382346065369,-64.1782006713031,1,0
ROSEDAL,-31.4339776305225,-64.2262394291001,2,0
ROSEDAL ANEXO,-31.4394090528371,-64.2285738840511,0,0
SACHI,-31.4537288140298,-64.2663075456171,4,-1
SAN ANTONIO,-31.4744328449938,-64.1905169218078,1,0
SAN CAYETANO,-31.4366816283972,-64.1435193646877,0,0
SAN DANIEL,-31.4489648668651,-64.2027069336836,0,0
SAN FELIPE,-31.4567629225238,-64.136040573816,2,0
SAN FERNANDO,-31.4475771620013,-64.1904852101721,2,0
SAN FRANCISCO,-31.4261196823107,-64.2113739415651,0,0
SAN IGNACIO,-31.3901313573677,-64.2483281769605,4,0
SAN JAVIER,-31.4556731937559,-64.1016938389538,0,1
SAN JOSE,-31.3396643850959,-64.2892805257168,1,0
SAN LORENZO,-31.4555850114127,-64.1104826929887,1,0
SAN LORENZO NORTE,-31.375034879287,-64.2167246301229,0,0
SAN LUIS DE FRANCIA,-31.480037185052,-64.2537276188054,0,4
SAN MARCELO,-31.3625836463826,-64.2356214056744,1,0
SAN MARTIN,-31.3938093272891,-64.196540458099,2,0
SAN MARTIN ANEXO,-31.3810124729714,-64.2031139721542,2,0
SAN MARTIN NORTE,-31.3727739384295,-64.2025244371434,2,0
SAN NICOLAS,-31.3806758446016,-64.1513078024304,2,0
SAN PABLO,-31.4442248614309,-64.1609205677274,2,0
SAN PEDRO NOLASCO,-31.466073357489,-64.2402160055799,0,6
SAN RAFAEL,-31.4254002097623,-64.2219912910859,2,0
SAN RAMON,-31.3408780235715,-64.1007723274352,1,-1
SAN SALVADOR,-31.4009400687718,-64.2323869269285,2,0
SAN VICENTE,-31.4243205159937,-64.1539750599537,2,0
SANTA CECILIA,-31.3576320292659,-64.2277242696327,4,0
SANTA CLARA DE ASIS,-31.3807288135085,-64.1407980125362,2,0
