barrio,poblacion,hogares,nbi,pct_nbi,escuelas_municipales,escuelas_total,escuelas_estatales,escuelas_privadas,centros_salud,paradas_colectivo,lineas_colectivo,luminarias_reportes,comisarias,centros_vecinales
LOS CIELOS,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
LOS CHINGOLOS,0,473,42,8.88,0,4,4,0,0,5,1,49,0,1
LOS CEIBOS,826,249,7,2.81,0,2,2,0,0,8,5,23,0,1
LOS BOULEVARES,0,0,218,0.0,0,5,5,0,1,56,3,444,1,2
LOS ARBOLES,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
LOS ANGELES,766,282,0,0.0,0,7,0,7,0,15,13,4,0,0
LOS ALAMOS,0,518,33,6.37,0,0,0,0,0,6,3,201,0,1
LOMAS DE SAN MARTIN,0,560,3,0.54,0,0,0,0,0,7,4,308,0,0
LICEO GENERAL PAZ,628,165,14,8.48,0,0,0,0,0,0,0,14,0,1
LAS VIOLETAS,0,834,98,11.75,0,5,5,0,1,7,2,2,0,2
LAS ROSAS,877,346,1,0.29,0,5,1,4,0,2,1,223,0,0
LAS PLAYAS,0,798,49,6.14,0,5,3,2,0,3,1,159,0,0
LAS PALMAS ANEXO,864,230,3,1.3,0,2,2,0,0,8,2,0,0,0
LAS PALMAS,0,0,57,0.0,0,2,2,0,1,15,4,431,1,1
LAS MARGARITAS,0,644,19,2.95,0,2,2,0,1,7,7,205,0,1
LAS MAGNOLIAS,0,767,25,3.26,0,4,2,2,0,34,8,27,1,2
LAS LILAS,0,550,56,10.18,0,2,2,0,1,6,1,52,0,1
LAS HUERTILLAS,0,278,27,9.71,0,0,0,0,0,1,1,7,0,2
LAS FLORES,0,0,39,0.0,0,4,1,3,0,21,13,325,0,0
LAS DALIAS,649,181,7,3.87,0,0,0,0,0,5,2,46,0,1
LAS CORTADERAS,461,116,18,15.52,0,0,0,0,1,24,3,0,0,0
LAS CANUELAS,30,7,0,0.0,0,0,0,0,0,0,0,0,0,0
LAS CANITAS,203,57,0,0.0,0,0,0,0,0,1,2,0,0,0
LAMADRID,0,666,32,4.8,0,0,0,0,1,7,1,12,0,1
LA TOMA,232,59,18,30.51,0,4,4,0,1,0,0,5,0,2
LA SALLE,707,210,3,1.43,0,2,1,1,1,11,4,4,0,0
LA HORTENSIA,0,371,29,7.82,0,1,0,1,0,1,1,240,0,0
LA FRATERNIDAD,314,88,5,5.68,0,7,4,3,0,25,8,51,0,2
LA FRANCE,0,0,30,0.0,0,6,3,3,0,17,8,213,0,1
LA FLORESTA,0,366,72,19.67,0,3,3,0,0,3,1,193,0,2
