barrio,poblacion,hogares,nbi,pct_nbi,escuelas_municipales,escuelas_total,escuelas_estatales,escuelas_privadas,centros_salud,paradas_colectivo,lineas_colectivo,luminarias_reportes,comisarias,centros_vecinales
GENERAL MOSCONI,0,851,110,12.93,0,1,1,0,1,16,6,145,0,1
GENERAL BUSTOS,0,0,243,0.0,0,14,7,7,0,30,8,447,0,2
GENERAL BELGRANO,0,890,30,3.37,0,5,5,0,0,8,3,217,1,1
GENERAL ARTIGAS,0,471,8,1.7,0,2,2,0,0,10,3,68,0,0
GENERAL ARENALES,0,622,60,9.65,0,3,3,0,2,10,1,41,0,2
FINCAS DEL SUR,490,119,0,0.0,0,0,0,0,0,0,0,187,0,0
FINCA LA DOROTEA,273,72,10,13.89,0,0,0,0,0,2,1,12,0,1
FERROVIARIO MITRE,0,350,42,12.0,0,3,2,1,0,9,9,0,0,1
FERREYRA SEGUNDA SECCION,939,215,32,14.88,0,4,4,0,0,6,2,0,1,0
FERREYRA,0,0,101,0.0,0,5,4,1,0,19,2,66,1,1
FERRER,0,462,139,30.09,0,2,2,0,1,13,5,21,0,2
FERIAR,0,0,0,0.0,0,1,1,0,0,10,2,0,0,1
ESTADIO CORDOBA,0,0,0,0.0,0,1,1,0,0,4,0,0,1,0
ESTACION FLORES,0,0,124,0.0,0,4,4,0,1,13,2,26,0,1
ESCUELA DE SUBOFICIALES,0,0,0,0.0,0,1,1,0,1,2,1,0,0,1
ESCOBAR,0,733,7,0.95,0,2,0,2,0,17,4,456,0,0
EMPALME CASAS DE OBREROS Y EMPLEADOS,0,375,13,3.47,0,4,4,0,0,21,11,24,1,1
EMPALME,0,0,12,0.0,0,0,0,0,0,7,8,79,0,0
EMAUS,219,64,1,1.56,0,0,0,0,0,2,1,6,0,0
EL VIEJO ALGARROBO,324,83,4,4.82,0,6,3,3,0,23,1,0,0,1
EL TREBOL,0,412,6,1.46,0,0,0,0,0,5,4,57,0,1
EL REFUGIO,0,334,2,0.6,0,4,0,4,0,5,3,146,0,0
EL QUEBRACHO,0,0,136,0.0,0,0,0,0,0,12,4,238,0,2
EL QUEBRACHAL,150,43,5,11.63,0,0,0,0,0,8,1,0,0,0
EL PUEBLITO,0,332,124,37.35,0,0,0,0,0,0,0,0,0,0
EL PRADO,0,0,0,0.0,0,0,0,0,0,4,1,0,0,0
EL CERRITO,0,920,105,11.41,0,1,1,0,0,5,2,5,0,1
EL CABILDO,0,0,88,0.0,0,4,4,0,1,22,4,13,0,1
EL BOSQUE,0,407,6,1.47,0,0,0,0,0,6,1,0,0,1
EL BALCON,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0
EJERCITO ARGENTINO,0,624,8,1.28,0,6,4,2,0,37,24,64,0,1
DUCASSE,936,389,32,8.23,0,28,24,4,0,52,43,5,0,1
DIPAS,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
DEAN FUNES,0,682,22,3.23,0,4,3,1,0,27,10,87,0,1
DE LOS BIOQUIMICOS,0,348,25,7.18,0,0,0,0,0,13,1,0,0,1
CUPANI,0,674,32,4.75,0,2,0,2,1,13,6,6,0,1
CRISOL SUD,0,0,10,0.0,0,5,2,3,0,17,8,152,0,1
CRISOL NORTE,0,541,5,0.92,0,11,6,5,0,41,20,121,0,1
COUNTRY VALLE ESCONDIDO,0,909,4,0.44,0,1,0,1,0,3,1,0,0,0
COUNTRY RANCH CLUB,13,2,0,0.0,0,0,0,0,0,3,1,0,0,0
COUNTRY LOS MIMBRES,93,25,0,0.0,0,1,1,0,0,3,1,0,0,0
COUNTRY LOS ALGARROBOS,180,45,0,0.0,0,1,1,0,0,4,2,0,0,0
COUNTRY LOMAS DE LA CAROLINA,0,383,0,0.0,0,0,0,0,0,2,1,0,0,0
COUNTRY LAS DELICIAS,776,213,2,0.94,0,0,0,0,0,0,0,0,0,0
COUNTRY LA SANTINA - COUNTRY CAMPINA DEL SUR,98,22,0,0.0,0,0,0,0,0,9,2,0,0,0
COUNTRY LA RESERVA,795,207,2,0.97,0,0,0,0,0,0,0,0,0,0
COUNTRY JOCKEY CLUB,0,379,7,1.85,0,0,0,0,0,0,0,0,0,0
COUNTRY FORTIN DEL POZO,428,95,6,6.32,0,2,2,0,0,1,2,0,0,0
COUNTRY CLUB,217,63,0,0.0,0,0,0,0,0,6,2,0,0,0
COUNTRY BARRANCAS,80,23,0,0.0,0,5,4,1,0,6,1,0,0,0
COUNTRY ALTOS DEL CHATEAU,560,126,0,0.0,0,1,0,1,0,0,0,0,0,0
COSTA VERDE,66,20,0,0.0,0,3,0,3,1,6,2,0,0,0
CORRAL DE PALOS,0,342,23,6.73,0,5,5,0,0,7,2,0,1,1
CORDOBA V,300,97,1,1.03,0,0,0,0,0,2,2,0,0,0
CORDOBA IV,399,132,0,0.0,0,2,0,2,0,4,1,0,0,0
COOPERATIVA LA UNIDAD,0,508,32,6.3,0,2,2,0,0,8,3,0,0,1
COOPERATIVA LA HERMOSA,494,99,24,24.24,0,0,0,0,0,0,0,0,0,1
COOPERATIVA EL FUTURO,424,99,12,12.12,0,0,0,0,0,3,2,0,0,0
COOPERATIVA 16 DE NOVIEMBRE,0,459,58,12.64,0,3,3,0,1,6,1,6,0,1
CONSORCIO ESPERANZA,344,97,3,3.09,0,0,0,0,0,6,2,4,0,0
CONSORCIO 16 DE NOVIEMBRE,785,213,12,5.63,0,5,3,2,2,15,3,28,0,3
CONGRESO,0,657,39,5.94,0,4,4,0,0,10,5,97,0,1
COMERCIAL,0,0,215,0.0,0,0,0,0,0,5,1,37,0,0
COMANDANTE ESPORA,0,500,10,2.0,0,0,0,0,0,10,3,20,0,1
COLONIA LOLA,0,0,146,0.0,0,0,0,0,1,0,0,11,0,1
COLON,0,0,30,0.0,0,6,3,3,0,12,4,0,0,1
COLINAS DEL CERRO,0,674,27,4.01,0,0,0,0,0,11,3,300,0,0
COLINAS DE VELEZ SARSFIELD,0,581,4,0.69,0,7,4,3,0,18,9,317,0,1
COLINAS DE BELLA VISTA,817,242,13,5.37,0,0,0,0,1,6,2,21,0,0
COFICO,498,177,1,0.56,0,17,14,3,0,36,22,2,0,1
CLAROS DEL BOSQUE,146,38,5,13.16,0,0,0,0,0,4,3,5,0,0
CIUDADELA,0,469,10,2.13,0,0,0,0,0,4,3,111,0,0
CIUDAD VILLA RETIRO,0,316,57,18.04,0,3,3,0,0,6,2,0,0,0
CIUDAD UNIVERSITARIA,0,0,0,0.0,0,8,6,2,0,77,21,41,0,0
CIUDAD PARQUE LAS ROSAS,0,325,26,8.0,0,1,1,0,0,5,2,0,1,1
CIUDAD OBISPO ANGELELLI,0,403,81,20.1,0,6,6,0,0,21,2,0,1,1
CIUDAD MI ESPERANZA,0,349,50,14.33,0,2,2,0,0,4,1,0,0,1
CIUDAD EVITA,0,638,95,14.89,0,2,2,0,0,7,2,0,1,1
CIUDAD DE MIS SUENOS,0,511,85,16.63,0,7,7,0,0,8,1,0,1,0
CIUDAD DE LOS CUARTETOS,0,489,68,13.91,0,4,4,0,0,6,1,0,0,2
CIUDAD DE LAS ARTES,0,0,0,0.0,0,6,6,0,0,9,5,0,1,0
CIUDAD DE JUAN PABLO II,0,552,45,8.15,0,2,2,0,0,2,1,1,0,1
CIUDAD AMPLIACION FERREYRA,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
CIUDAD AMPLIACION CABILDO,0,577,93,16.12,0,1,1,0,0,5,2,0,1,3
CIRCUNVALACION,0,0,0,0.0,0,8,0,8,0,15,18,0,0,1
CHATEAU CARRERAS,0,514,3,0.58,0,0,0,0,0,15,4,0,0,0
CERVECEROS,0,0,17,0.0,0,4,4,0,1,11,2,68,0,1
CERRO NORTE,0,0,111,0.0,0,2,2,0,0,17,2,108,0,0
CERRO DE LAS ROSAS,0,0,3,0.0,0,2,2,0,0,11,10,308,1,1
CERRO CHICO,0,0,6,0.0,0,3,1,2,0,25,6,99,0,0
CENTRO AMERICA,0,0,36,0.0,0,1,1,0,0,16,2,311,0,1
CENTRO,0,0,568,0.0,0,43,11,32,0,128,64,1419,1,2
CASEROS,0,619,6,0.97,0,4,1,3,0,10,4,2,0,0
CARRARA,295,75,11,14.67,0,2,0,2,1,10,2,9,0,0
CAROLA LORENZINI,426,145,3,2.07,0,0,0,0,0,7,6,10,0,1
CARBO,0,395,29,7.34,0,7,7,0,1,32,3,15,1,2
CAMPING GRL SAN MARTIN,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
CAMINO A VILLA POSSE,96,22,5,22.73,0,1,1,0,0,4,1,0,0,1
CAMINO A SAN CARLOS,0,316,58,18.35,0,0,0,0,0,0,0,0,0,0
CALIFORNIA,600,196,12,6.12,0,3,3,0,0,8,8,70,0,0
CACERES,875,248,21,8.47,0,2,2,0,0,10,3,63,1,0
CABO FARINA,0,647,79,12.21,0,0,0,0,1,8,4,146,0,0
CABANA DEL PILAR,458,151,0,0.0,0,3,3,0,0,12,8,0,0,0
BRIGADIER SAN MARTIN,392,119,0,0.0,0,0,0,0,0,32,4,13,0,3
BOEDO,0,567,154,27.16,0,3,3,0,0,6,1,38,0,1
BIALET MASSE,0,591,20,3.38,0,0,0,0,1,9,2,138,0,1
BH_CAMINO A 60 CUADRAS,0,422,89,21.09,0,0,0,0,0,0,0,0,0,1
BETANIA,0,480,65,13.54,0,3,3,0,0,10,2,15,0,4
BELLA VISTA OESTE,0,532,28,5.26,0,2,2,0,0,4,1,31,0,1
BELLA VISTA,0,0,118,0.0,0,1,1,0,0,9,5,249,0,0
BARRANCAS DEL SUR,172,40,0,0.0,0,1,0,1,0,3,2,0,0,0
BAJO GENERAL PAZ,0,423,7,1.65,0,0,0,0,0,33,11,22,0,1
BAJO GALAN,810,301,6,1.99,0,3,0,3,0,29,17,57,1,1
BAJADA SAN ROQUE,388,125,3,2.4,0,0,0,0,0,4,3,0,0,0
BAJADA DE PIEDRA,889,225,26,11.56,0,4,1,3,0,12,4,19,0,1
AYACUCHO,0,0,15,0.0,0,11,9,2,0,38,8,185,0,2
AVENIDA,0,352,4,1.14,0,7,4,3,0,5,5,72,0,0
ATE,968,324,6,1.85,0,1,1,0,0,13,8,0,1,1
ARTURO CAPDEVILA,0,484,7,1.45,0,4,4,0,0,18,3,24,0,0
ARGUELLO NORTE,0,0,539,0.0,0,5,5,0,0,18,3,59,0,0
ARGUELLO II,0,623,91,14.61,0,2,2,0,0,3,1,0,1,0
ARGUELLO,0,0,87,0.0,0,14,0,14,0,15,3,377,0,1
APEADERO LA TABLADA,443,133,3,2.26,0,0,0,0,0,2,2,33,0,0
ANEXO LOS ALAMOS,757,218,3,1.38,0,0,0,0,0,7,3,0,0,0
ANA MARIA ZUMARAN,0,0,36,0.0,0,5,2,3,0,6,4,269,0,1
AMPLIACION VELEZ SARSFIELD,0,449,14,3.12,0,0,0,0,0,10,4,49,0,0
AMPLIACION URCA,0,630,3,0.48,0,1,0,1,0,0,0,0,0,0
AMPLIACION SAN PABLO,0,735,2,0.27,0,0,0,0,0,5,2,48,0,1
AMPLIACION SAN FERNANDO,0,0,48,0.0,0,0,0,0,0,5,1,80,0,0
AMPLIACION ROSEDAL,0,814,40,4.91,0,3,3,0,1,8,3,199,0,1
AMPLIACION RESIDENCIAL AMERICA,0,0,53,0.0,0,7,4,3,0,9,1,133,0,2
AMPLIACION PUEYRREDON,0,553,14,2.53,0,5,4,1,0,14,5,10,0,1
AMPLIACION PRIMERO DE MAYO,0,389,40,10.28,0,3,0,3,0,6,3,0,0,1
AMPLIACION POETA LUGONES,0,839,2,0.24,0,3,3,0,0,9,2,147,0,1
AMPLIACION PARQUE SAN CARLOS,0,311,4,1.29,0,1,1,0,0,4,2,0,0,0
AMPLIACION PANAMERICANO,0,528,10,1.89,0,4,4,0,0,4,3,54,0,1
AMPLIACION PALMAR,0,380,6,1.58,0,2,2,0,0,11,2,0,0,1
AMPLIACION LOS PLATANOS,0,281,10,3.56,0,0,0,0,0,5,2,18,0,1
AMPLIACION LOS ALAMOS,795,194,4,2.06,0,2,2,0,0,6,6,0,1,0
AMPLIACION LAS PALMAS,0,513,12,2.34,0,4,1,3,0,19,8,182,0,1
AMPLIACION KENNEDY,370,105,7,6.67,0,0,0,0,0,12,3,6,0,0
AMPLIACION JOSE IGNACIO DIAZ SECCION 3,668,152,22,14.47,0,0,0,0,0,9,3,0,0,1
AMPLIACION JOSE IGNACIO DIAZ SECCION 2,0,430,56,13.02,0,3,3,0,1,8,2,0,0,1
AMPLIACION JARDIN ESPINOSA,519,158,0,0.0,0,3,0,3,0,10,4,6,0,0
AMPLIACION GENERAL ARTIGAS,0,661,20,3.03,0,0,0,0,0,1,0,73,0,2
AMPLIACION EMPALME,0,940,25,2.66,0,4,1,3,1,25,3,10,0,1
AMPLIACION CABO FARINA,280,73,12,16.44,0,0,0,0,0,3,1,0,0,1
AMPLIACION BENJAMIN MATIENZO,0,256,27,10.55,0,3,3,0,0,8,3,0,0,0
AMPLIACION ALTAMIRA,0,504,37,7.34,0,2,2,0,1,16,2,0,0,2
AMEGHINO SUD,0,0,18,0.0,0,4,4,0,0,22,8,343,0,1
AMEGHINO NORTE,0,0,124,0.0,0,2,2,0,1,17,7,79,0,1
ALTOS SUD DE SAN VICENTE,0,275,21,7.64,0,2,2,0,0,4,2,7,0,0
ALTOS SAN MARTIN,0,440,3,0.68,0,0,0,0,0,7,2,31,0,0
ALTOS DE VILLA CABRERA,0,400,5,1.25,0,4,1,3,0,18,13,173,0,0
ALTOS DE VELEZ SARSFIELD,0,544,7,1.29,0,1,1,0,0,10,4,170,0,1
ALTO VERDE,0,0,3,0.0,0,1,0,1,0,7,2,592,0,0
ALTO PALERMO,923,311,0,0.0,0,9,1,8,0,25,13,158,0,0
ALTO HERMOSO,134,39,0,0.0,0,0,0,0,0,8,3,0,0,0
HOGAR PROPIO,0,0,56,0.0,0,9,9,0,1,19,5,18,0,3
ALTO DE SANTA ANA,0,424,20,4.72,0,0,0,0,0,6,2,0,0,0
ALTO DE DON BOSCO,675,212,0,0.0,0,1,0,1,0,0,0,0,0,0
ALTO ALBERDI,0,0,389,0.0,0,14,7,7,1,48,14,369,0,2
ALTAMIRA,0,0,36,0.0,0,2,1,1,1,17,4,91,0,0
ALTA CORDOBA,0,0,372,0.0,0,21,8,13,0,31,9,260,1,0
ALMIRANTE BROWN,0,246,13,5.28,0,2,1,1,0,6,4,16,1,2
ALEJANDRO CENTENO,0,432,2,0.46,0,0,0,0,0,10,3,21,0,1
ALBORADA SUR,311,99,1,1.01,0,0,0,0,0,7,3,0,0,0
ALBORADA NORTE,405,133,2,1.5,0,1,1,0,0,17,5,0,1,0
ALBERDI,0,0,858,0.0,0,22,10,12,0,47,27,354,5,2
AIRES DEL SUR,142,32,0,0.0,0,0,0,0,0,2,2,0,0,0
AEROPUERTO,272,76,5,6.58,0,1,1,0,0,8,2,0,0,0
AERONAUTICO- VILLA ZEPELLIN,928,256,7,2.73,0,5,5,0,0,10,1,0,0,0
ACOSTA,0,0,137,0.0,0,7,7,0,0,18,3,15,0,1
ACHAVAL PENA,754,218,10,4.59,0,0,0,0,0,6,1,0,0,0
4 DE FEBRERO,854,207,16,7.73,0,0,0,0,0,2,2,11,0,1
25 DE MAYO,441,113,31,27.43,0,3,3,0,0,12,1,4,0,4
23 DE ABRIL,0,424,69,16.27,0,4,4,0,0,3,1,30,0,1
20 DE JUNIO,661,157,28,17.83,0,1,1,0,1,16,5,5,1,0
2 DE SEPTIEMBRE,0,588,126,21.43,0,7,7,0,1,11,3,0,0,1
1 DE MAYO,0,0,171,0.0,0,3,2,1,0,16,3,0,0,2
DE LOS DOCENTES,155,48,0,0.0,0,2,2,0,0,3,3,0,0,2
SIN BARRIO,0,0,982,0.0,0,33,16,17,0,63,40,0,0,0
