barrio,poblacion,hogares,nbi,escuelas_municipales,pct_nbi,centros_salud
PARQUE SAN VICENTE,1327.0,451.0,3.0,0,0.7,0
PARQUE SAN CARLOS,749.0,231.0,2.0,0,0.9,0
PARQUE REPUBLICA,7412.0,1861.0,201.0,0,10.8,1
PARQUE MONTECRISTO,1554.0,466.0,6.0,0,1.3,0
PARQUE MODELO,259.0,82.0,0.0,0,0.0,0
PARQUE LOS MOLINOS,864.0,264.0,6.0,0,2.3,0
PARQUE LICEO SECCION 3,5593.0,1426.0,164.0,0,11.5,1
PARQUE LICEO SECCION 2,7826.0,2013.0,157.0,0,7.8,1
PARQUE LICEO SECCION 1,3693.0,1108.0,58.0,1,5.2,0
PARQUE LATINO,1306.0,432.0,4.0,0,0.9,0
PARQUE JORGE NEWBERY,2909.0,913.0,16.0,0,1.8,0
PARQUE FUTURA,2851.0,703.0,68.0,0,9.7,1
PARQUE DON BOSCO,4691.0,1385.0,24.0,0,1.7,1
PARQUE DEL ESTE,679.0,180.0,24.0,1,13.3,0
PARQUE DE LA VIDA,,,,0,,0
PARQUE DE LA VEGA III,596.0,180.0,1.0,0,0.6,0
PARQUE DE LA VEGA II,596.0,155.0,22.0,0,14.2,0
PARQUE COREMA,584.0,220.0,1.0,0,0.5,0
PARQUE CHATEAU CARRERAS,28.0,7.0,1.0,0,14.3,0
PARQUE CHACABUCO,1164.0,388.0,1.0,0,0.3,0
PARQUE CAPITAL SUD,1443.0,442.0,2.0,0,0.5,0
PARQUE CAPITAL,3972.0,1272.0,6.0,0,0.5,0
PARQUE ATLANTICA,2249.0,734.0,17.0,0,2.3,0
PARQUE ALAMEDA,656.0,195.0,3.0,0,1.5,0
PANAMERICANO,3346.0,1072.0,26.0,0,2.4,0
PALMAS DEL CLARET,623.0,211.0,0.0,0,0.0,0
PALMAR,1025.0,283.0,10.0,0,3.5,0
PALERMO BAJO,1909.0,666.0,3.0,0,0.5,0
PADRE CLARET,871.0,256.0,0.0,0,0.0,0
OSN,1993.0,575.0,8.0,0,1.4,0
ONA,1333.0,405.0,9.0,0,2.2,0
OMBU,1681.0,567.0,5.0,0,0.9,0
OBSERVATORIO,6616.0,2360.0,128.0,0,5.4,0
OBRERO,2481.0,919.0,13.0,0,1.4,0
NUEVO URCA,104.0,36.0,0.0,0,0.0,0
NUEVA ITALIA,3347.0,988.0,54.0,0,5.5,1
NUEVA CORDOBA ANEXA,1582.0,500.0,6.0,0,1.2,0
NUEVA CORDOBA,37055.0,20811.0,245.0,0,1.2,0
NUESTRO HOGAR III,5570.0,1394.0,305.0,0,21.9,0
NUESTRO HOGAR II,861.0,209.0,33.0,0,15.8,0
NUESTRO HOGAR I,595.0,157.0,18.0,0,11.5,0
NICOLAS AVELLANEDA,1782.0,492.0,16.0,0,3.3,0
MUTUAL DE LOS DOCENTES,729.0,205.0,1.0,0,0.5,0
MIRIZZI,693.0,163.0,17.0,0,10.4,0
MIRALTA,3528.0,889.0,145.0,0,16.3,0
MIRADOR DEL CHATEAU,377.0,144.0,0.0,0,0.0,0
MIRADOR,3164.0,956.0,107.0,0,11.2,0
MILITAR GENERAL DEHEZA,825.0,198.0,2.0,0,1.0,0
MERCANTIL,723.0,214.0,3.0,1,1.4,1
MAURIZI,756.0,255.0,11.0,0,4.3,0
MAULLER,5734.0,1593.0,125.0,0,7.8,0
MARQUES DE SOBREMONTE,12304.0,3770.0,170.0,0,4.5,1
MARQUES ANEXO,5239.0,1352.0,115.0,0,8.5,1
MARIANO FRAGUEIRO,3630.0,963.0,89.0,0,9.2,0
MARIANO BALCARCE,1994.0,656.0,10.0,0,1.5,0
MARIA LASTENIA,451.0,117.0,11.0,0,9.4,0
MARECHAL,3557.0,1077.0,61.0,0,5.7,0
MARCOS SASTRE,1104.0,281.0,18.0,0,6.4,0
MARCELO T DE ALVEAR,2748.0,751.0,48.0,0,6.4,0
MANANTIALES I-MANANTIALES II,28.0,6.0,0.0,0,0.0,0
MALDONADO,8018.0,1873.0,359.0,0,19.2,1
MAIPU SECCION 2,2283.0,764.0,8.0,0,1.0,0
MAIPU SECCION 1,2022.0,679.0,7.0,0,1.0,0
LOURDES,1413.0,318.0,50.0,0,15.7,0
LOS SUENOS,,,,0,,0
LOS SOLES,,,,0,,0
LOS SAUCES,1635.0,469.0,22.0,1,4.7,1
LOS ROBLES,3479.0,958.0,144.0,0,15.0,1
LOS PLATANOS,7003.0,2166.0,58.0,1,2.7,0
LOS PINOS,1901.0,532.0,21.0,0,3.9,1
LOS PARAISOS,5079.0,1638.0,40.0,0,2.4,0
LOS OLMOS SUD,1243.0,318.0,24.0,0,7.5,0
LOS OLMOS,1859.0,541.0,21.0,0,3.9,0
LOS NARANJOS,1615.0,561.0,7.0,0,1.2,0
LOS JOSEFINOS,371.0,100.0,9.0,0,9.0,0
LOS JACARANDAES,1305.0,319.0,70.0,0,21.9,0
LOS HORNILLOS,726.0,174.0,20.0,0,11.5,0
LOS GRANADOS,3435.0,917.0,41.0,0,4.5,0
LOS GIGANTES,4442.0,1249.0,49.0,0,3.9,0
LOS FRESNOS,1067.0,246.0,38.0,0,15.4,0
LOS FILTROS,852.0,198.0,32.0,0,16.2,0
LOS EUCALIPTUS,1741.0,480.0,15.0,0,3.1,0
LOS CIELOS,,,,0,,0
LOS CHINGOLOS,1944.0,473.0,42.0,0,8.9,0
LOS CEIBOS,826.0,249.0,7.0,0,2.8,0
LOS BOULEVARES,12277.0,3480.0,218.0,1,6.3,1
LOS ARBOLES,,,,0,,0
LOS ANGELES,766.0,282.0,0.0,0,0.0,0
LOS ALAMOS,1964.0,518.0,33.0,0,6.4,0
LOMAS DE SAN MARTIN,1734.0,560.0,3.0,0,0.5,0
LICEO GENERAL PAZ,628.0,165.0,14.0,0,8.5,0
LAS VIOLETAS,3243.0,834.0,98.0,0,11.8,1
LAS ROSAS,877.0,346.0,1.0,0,0.3,0
LAS PLAYAS,2869.0,798.0,49.0,0,6.1,0
LAS PALMAS ANEXO,864.0,230.0,3.0,0,1.3,0
LAS PALMAS,6142.0,1993.0,57.0,1,2.9,2
LAS MARGARITAS,2032.0,644.0,19.0,0,3.0,1
LAS MAGNOLIAS,2459.0,767.0,25.0,0,3.3,0
LAS LILAS,2237.0,550.0,56.0,0,10.2,0
LAS HUERTILLAS,1133.0,278.0,27.0,0,9.7,0
LAS FLORES,4037.0,1284.0,39.0,0,3.0,1
LAS DALIAS,649.0,181.0,7.0,0,3.9,0
LAS CORTADERAS,461.0,116.0,18.0,0,15.5,1
LAS CANUELAS,30.0,7.0,0.0,0,0.0,0
LAS CANITAS,203.0,57.0,0.0,0,0.0,0
LAMADRID,2346.0,666.0,32.0,0,4.8,0
LA TOMA,232.0,59.0,18.0,0,30.5,0
LA SALLE,707.0,210.0,3.0,0,1.4,1
LA HORTENSIA,1423.0,371.0,29.0,0,7.8,0
LA FRATERNIDAD,314.0,88.0,5.0,0,5.7,0
LA FRANCE,3218.0,1016.0,30.0,0,3.0,0
LA FLORESTA,1590.0,366.0,72.0,0,19.7,1
LA ESPERANZA,306.0,76.0,1.0,0,1.3,0
LA DOROTEA,526.0,122.0,16.0,0,13.1,0
LA CAROLINA,700.0,184.0,0.0,0,0.0,0
KENNEDY,1074.0,326.0,8.0,0,2.5,0
KAIROS,826.0,182.0,23.0,0,12.6,0
JUNIORS,6521.0,2409.0,19.0,0,0.8,0
JUAN XXIII,977.0,308.0,2.0,0,0.6,0
JUAN B JUSTO,3088.0,813.0,24.0,0,3.0,0
JOSE IGNACIO DIAZ SECCION 3,5938.0,1503.0,237.0,1,15.8,0
JOSE IGNACIO DIAZ SECCION 2,2204.0,598.0,52.0,1,8.7,0
JOSE IGNACIO DIAZ SECCION 1,4483.0,1196.0,86.0,1,7.2,2
JOSE I RUCCI,126.0,40.0,0.0,0,0.0,0
JOSE HERNANDEZ,3233.0,951.0,44.0,1,4.6,0
JOCKEY CLUB,258.0,73.0,0.0,0,0.0,0
JERONIMO LUIS DE CABRERA,1636.0,464.0,24.0,0,5.2,0
JARDINES DEL JOCKEY,516.0,130.0,1.0,0,0.8,0
JARDIN HIPODROMO,1094.0,322.0,14.0,0,4.3,0
JARDIN ESPINOSA,1515.0,485.0,3.0,0,0.6,0
JARDIN DEL SUD,1482.0,451.0,3.0,0,0.7,0
JARDIN DEL PILAR,2131.0,633.0,37.0,0,5.8,1
JARDIN DEL CLARET,418.0,136.0,1.0,0,0.7,0
JARDIN,6841.0,2621.0,45.0,0,1.7,0
ITUZAINGO II,1553.0,394.0,42.0,0,10.7,0
ITUZAINGO ANEXO,6081.0,1583.0,138.0,0,8.7,1
ITUZAINGO,3192.0,933.0,18.0,0,1.9,0
IRUPE,523.0,159.0,10.0,0,6.3,0
IPV ANEXO LOS GIGANTES,2620.0,707.0,18.0,0,2.5,0
IPONA,982.0,402.0,8.0,0,2.0,0
INDUSTRIAL OESTE,1621.0,473.0,14.0,0,3.0,0
INDUSTRIAL ESTE,1153.0,386.0,1.0,0,0.3,0
INDEPENDENCIA,813.0,294.0,7.0,0,2.4,0
INAUDI,1662.0,459.0,4.0,0,0.9,1
HORIZONTE,2016.0,641.0,11.0,0,1.7,0
HIPOLITO IRIGOYEN,3313.0,893.0,83.0,0,9.3,1
GUINAZU SUD,164.0,41.0,3.0,0,7.3,0
GUINAZU,1361.0,373.0,41.0,0,11.0,1
GUEMES,11588.0,5333.0,428.0,0,8.0,1
GUAYAQUIL,587.0,196.0,0.0,0,0.0,0
GUARNICION MILITAR CORDOBA,268.0,66.0,0.0,0,0.0,0
GUARNICION AEREA CORDOBA,,,,0,,0
GRANJA DE FUNES,3866.0,1228.0,27.0,0,2.2,0
GRANADERO PRINGLES,2209.0,628.0,16.0,0,2.5,0
GENERAL SAVIO,4889.0,1309.0,313.0,0,23.9,0
GENERAL PUEYRREDON,24021.0,7938.0,561.0,0,7.1,1
GENERAL PAZ,9524.0,4209.0,107.0,0,2.5,0
GENERAL MOSCONI,3324.0,851.0,110.0,0,12.9,1
GENERAL BUSTOS,15659.0,4933.0,243.0,0,4.9,1
GENERAL BELGRANO,3154.0,890.0,30.0,0,3.4,0
GENERAL ARTIGAS,1552.0,471.0,8.0,0,1.7,0
GENERAL ARENALES,2318.0,622.0,60.0,1,9.6,1
FINCAS DEL SUR,490.0,119.0,0.0,0,0.0,0
FINCA LA DOROTEA,273.0,72.0,10.0,0,13.9,0
FERROVIARIO MITRE,1133.0,350.0,42.0,0,12.0,0
FERREYRA SEGUNDA SECCION,939.0,215.0,32.0,0,14.9,0
FERREYRA,3868.0,1029.0,101.0,0,9.8,1
FERRER,1844.0,462.0,139.0,0,30.1,1
FERIAR,,,,0,,0
ESTADIO CORDOBA,,,,0,,0
ESTACION FLORES,3876.0,1024.0,124.0,0,12.1,1
ESCUELA DE SUBOFICIALES,,,,0,,0
ESCOBAR,2180.0,733.0,7.0,0,1.0,0
EMPALME CASAS DE OBREROS Y EMPLEADOS,1233.0,375.0,13.0,0,3.5,0
EMPALME,3426.0,1140.0,12.0,0,1.1,1
EMAUS,219.0,64.0,1.0,0,1.6,0
EL VIEJO ALGARROBO,324.0,83.0,4.0,0,4.8,0
EL TREBOL,1264.0,412.0,6.0,0,1.5,0
EL REFUGIO,1201.0,334.0,2.0,0,0.6,0
EL QUEBRACHO,4361.0,1017.0,136.0,0,13.4,0
EL QUEBRACHAL,150.0,43.0,5.0,0,11.6,0
EL PUEBLITO,1315.0,332.0,124.0,0,37.3,0
EL PRADO,,,,0,,0
EL CERRITO,3659.0,920.0,105.0,0,11.4,0
EL CABILDO,5049.0,1331.0,88.0,0,6.6,1
EL BOSQUE,1590.0,407.0,6.0,0,1.5,0
EL BALCON,,,,0,,0
EJERCITO ARGENTINO,1845.0,624.0,8.0,0,1.3,0
DUCASSE,936.0,389.0,32.0,0,8.2,0
DIPAS,,,,0,,0
DEAN FUNES,2124.0,682.0,22.0,0,3.2,0
DE LOS BIOQUIMICOS,1265.0,348.0,25.0,0,7.2,0
CUPANI,2255.0,674.0,32.0,0,4.7,1
CRISOL SUD,3336.0,1124.0,10.0,0,0.9,1
CRISOL NORTE,1224.0,541.0,5.0,0,0.9,0
COUNTRY VALLE ESCONDIDO,3330.0,909.0,4.0,0,0.4,0
COUNTRY RANCH CLUB,13.0,2.0,0.0,0,0.0,0
COUNTRY LOS MIMBRES,93.0,25.0,0.0,0,0.0,0
COUNTRY LOS ALGARROBOS,180.0,45.0,0.0,0,0.0,0
COUNTRY LOMAS DE LA CAROLINA,1572.0,383.0,0.0,0,0.0,0
COUNTRY LAS DELICIAS,776.0,213.0,2.0,0,0.9,0
COUNTRY LA SANTINA - COUNTRY CAMPINA DEL SUR,98.0,22.0,0.0,0,0.0,0
COUNTRY LA RESERVA,795.0,207.0,2.0,0,1.0,0
COUNTRY JOCKEY CLUB,1555.0,379.0,7.0,0,1.8,0
COUNTRY FORTIN DEL POZO,428.0,95.0,6.0,0,6.3,0
COUNTRY CLUB,217.0,63.0,0.0,0,0.0,0
COUNTRY BARRANCAS,80.0,23.0,0.0,0,0.0,0
COUNTRY ALTOS DEL CHATEAU,560.0,126.0,0.0,0,0.0,0
COSTA VERDE,66.0,20.0,0.0,0,0.0,0
CORRAL DE PALOS,1244.0,342.0,23.0,0,6.7,0
CORDOBA V,300.0,97.0,1.0,0,1.0,0
CORDOBA IV,399.0,132.0,0.0,0,0.0,0
COOPERATIVA LA UNIDAD,2120.0,508.0,32.0,0,6.3,0
COOPERATIVA LA HERMOSA,494.0,99.0,24.0,0,24.2,0
COOPERATIVA EL FUTURO,424.0,99.0,12.0,0,12.1,1
COOPERATIVA 16 DE NOVIEMBRE,1892.0,459.0,58.0,0,12.6,1
CONSORCIO ESPERANZA,344.0,97.0,3.0,0,3.1,0
CONSORCIO 16 DE NOVIEMBRE,785.0,213.0,12.0,0,5.6,0
CONGRESO,2534.0,657.0,39.0,1,5.9,1
COMERCIAL,6575.0,1700.0,215.0,1,12.6,1
COMANDANTE ESPORA,1567.0,500.0,10.0,0,2.0,0
COLONIA LOLA,4709.0,1184.0,146.0,1,12.3,1
COLON,3862.0,1259.0,30.0,0,2.4,0
COLINAS DEL CERRO,2264.0,674.0,27.0,0,4.0,1
COLINAS DE VELEZ SARSFIELD,1642.0,581.0,4.0,0,0.7,0
COLINAS DE BELLA VISTA,817.0,242.0,13.0,0,5.4,0
COFICO,498.0,177.0,1.0,0,0.6,0
CLAROS DEL BOSQUE,146.0,38.0,5.0,0,13.2,0
CIUDADELA,1442.0,469.0,10.0,0,2.1,0
CIUDAD VILLA RETIRO,1402.0,316.0,57.0,0,18.0,0
CIUDAD UNIVERSITARIA,,,,0,,0
CIUDAD PARQUE LAS ROSAS,1385.0,325.0,26.0,0,8.0,0
CIUDAD OBISPO ANGELELLI,1828.0,403.0,81.0,0,20.1,0
CIUDAD MI ESPERANZA,1492.0,349.0,50.0,0,14.3,0
CIUDAD EVITA,2662.0,638.0,95.0,0,14.9,0
CIUDAD DE MIS SUENOS,2147.0,511.0,85.0,0,16.6,0
CIUDAD DE LOS CUARTETOS,2204.0,489.0,68.0,0,13.9,0
CIUDAD DE LAS ARTES,,,,0,,0
CIUDAD DE JUAN PABLO II,2125.0,552.0,45.0,0,8.2,0
CIUDAD AMPLIACION FERREYRA,,,,0,,0
CIUDAD AMPLIACION CABILDO,2593.0,577.0,93.0,0,16.1,0
CIRCUNVALACION,,,,0,,0
CHATEAU CARRERAS,1624.0,514.0,3.0,0,0.6,0
CERVECEROS,3893.0,1094.0,17.0,0,1.6,1
CERRO NORTE,5374.0,1449.0,111.0,0,7.7,0
CERRO DE LAS ROSAS,5947.0,1944.0,3.0,0,0.2,0
CERRO CHICO,2719.0,1019.0,6.0,0,0.6,0
CENTRO AMERICA,5529.0,1658.0,36.0,1,2.2,0
CENTRO,28200.0,14423.0,568.0,0,3.9,1
CASEROS,1497.0,619.0,6.0,0,1.0,0
CARRARA,295.0,75.0,11.0,0,14.7,0
CAROLA LORENZINI,426.0,145.0,3.0,0,2.1,0
CARBO,1444.0,395.0,29.0,0,7.3,0
CAMPING GRL SAN MARTIN,,,,0,,0
CAMINO A VILLA POSSE,96.0,22.0,5.0,0,22.7,0
CAMINO A SAN CARLOS,1123.0,316.0,58.0,0,18.4,0
CALIFORNIA,600.0,196.0,12.0,0,6.1,0
CACERES,875.0,248.0,21.0,0,8.5,0
CABO FARINA,2287.0,647.0,79.0,0,12.2,1
CABANA DEL PILAR,458.0,151.0,0.0,0,0.0,0
BRIGADIER SAN MARTIN,392.0,119.0,0.0,0,0.0,0
BOEDO,2664.0,567.0,154.0,0,27.2,0
BIALET MASSE,2091.0,591.0,20.0,0,3.4,1
BH_CAMINO A 60 CUADRAS,1615.0,422.0,89.0,0,21.1,1
BETANIA,1992.0,480.0,65.0,0,13.5,0
BELLA VISTA OESTE,1828.0,532.0,28.0,0,5.3,0
BELLA VISTA,4607.0,1364.0,118.0,0,8.7,1
BARRANCAS DEL SUR,172.0,40.0,0.0,0,0.0,0
BAJO GENERAL PAZ,1223.0,423.0,7.0,0,1.7,1
BAJO GALAN,810.0,301.0,6.0,0,2.0,0
BAJADA SAN ROQUE,388.0,125.0,3.0,0,2.4,0
BAJADA DE PIEDRA,889.0,225.0,26.0,0,11.6,0
AYACUCHO,4356.0,1435.0,15.0,0,1.0,0
AVENIDA,1121.0,352.0,4.0,0,1.1,0
ATE,968.0,324.0,6.0,0,1.9,0
ARTURO CAPDEVILA,1818.0,484.0,7.0,0,1.4,0
ARGUELLO NORTE,15574.0,4079.0,539.0,0,13.2,0
