barrio,poblacion,hogares,nbi,pct_nbi,escuelas_total,escuelas_estatales,escuelas_privadas,dispensarios_municipales,paradas_colectivo,lineas_colectivo,luminarias_reportes,comisarias,centros_vecinales,poblacion_log,pct_escuelas_privadas,escuelas_por_1000_hab,dispensarios_por_10000_hab,comisarias_por_10000_hab,paradas_por_1000_hab,centros_vecinales_por_10000_hab,tiene_escuela,tiene_dispensario,tiene_comisaria,tiene_transporte,infraestructura_score,centroide_lat,centroide_lon,area_barrio_km2,densidad_poblacional,densidad_hogares,infraestructura_por_km2,educacion_ratio_publico_privado,tamano_promedio_hogar,cluster_barrio,cluster_barrio_str,cluster_descripcion,categoria_infraestructura,tooltip_html
BRIGADIER SAN MARTIN,-0.4870204208247335,-0.39663060868262456,-0.4047818349722766,-0.9179480019178317,0.4371953094690225,1.0758257193341945,-0.31679235383650955,-0.48584923172746025,1.9326794314093987,-0.003103381554798346,-0.28463968630650316,-0.28378320797232354,3.0407114177320294,-1.2349599477828588,-0.44690291629477147,2.830571046205563,-0.4167327248757193,-0.2757577768833604,2.6410668946896796,6.7976184507827515,0.8528028654224415,-0.49430000374546906,-0.2968260885977624,0.2968260885977624,2.9471243746006617,-31.3411,-64.2395,-0.365993121222187,0.2946050806452233,0.651101256755997,4.050405665944834,2.2151611971507297,-1.342572203679605,-1.0117566654304488,Cluster 1,Núcleo Consolidado (Alta Infraestructura),Muy Alta,<b>BRIGADIER SAN MARTIN</b><hr>Tipología: <span style='color:#38bdf8'>Núcleo Consolidado (Alta Infraestructura)</span><br>Pob: 500.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Alta</b>
CABANA DEL PILAR,-0.4870204208247335,-0.39663060868262456,-0.4047818349722766,-0.9179480019178317,-0.5498909925314214,-0.6586974704539651,-0.31679235383650955,-0.48584923172746025,0.08347617919897267,0.7634318624804068,0.1945402117953687,-0.28378320797232354,-1.0337319105490443,-1.2349599477828588,-0.44690291629477147,-0.7611141943048213,-0.4167327248757193,-0.2757577768833604,2.6410668946896796,-0.6477192617689459,-1.1726039399558572,-0.49430000374546906,-0.2968260885977624,0.2968260885977624,1.1570767620354865,-31.4423,-64.1677,-0.40239959205155107,-1.3657385904896708,-1.1674591357020647,-0.5223879432644044,-0.6046351081736687,-1.342572203679605,-1.0117566654304488,Cluster 1,Núcleo Consolidado (Alta Infraestructura),Muy Alta,<b>CABANA DEL PILAR</b><hr>Tipología: <span style='color:#38bdf8'>Núcleo Consolidado (Alta Infraestructura)</span><br>Pob: 500.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Alta</b>
CABO FARINA,0.32464841965333163,0.20512750062869253,0.799534387611246,1.2467509483780743,-0.5498909925314214,-0.6586974704539651,-0.31679235383650955,1.9142459730061934,-0.28636447124311254,-0.003103381554798346,0.3401138517250513,-0.28378320797232354,-1.0337319105490443,1.0464922149194746,-0.44690291629477147,-0.7611141943048213,0.7826619617629581,-0.2757577768833604,-0.7724686735058778,-0.6477192617689459,-1.1726039399558572,2.0230629019273323,-0.2968260885977624,0.2968260885977624,-0.6625007301610873,-31.4655,-64.2075,0.046613548177272854,-0.13421205082563845,-0.21345049261188467,-0.4719436413191046,-0.6046351081736687,0.4405386226529281,-1.6926937127365,Cluster 0,Vulnerabilidad y Periferia NBI,Baja,<b>CABO FARINA</b><hr>Tipología: <span style='color:#38bdf8'>Vulnerabilidad y Periferia NBI</span><br>Pob: 4574.0<br>Score Infra: <b style='color:#e2e8f0'>Baja</b>
CACERES,-0.4123086350664433,-0.3702280590967532,-0.24471448893269448,0.5836900086477969,-0.15505647173124384,0.035111805461298766,-0.31679235383650955,-0.48584923172746025,-0.10144414602206994,-0.19473719256359964,-0.16332831969843434,2.831525786212739,-1.0337319105490443,-0.6591796190682939,-0.44690291629477147,0.9511704316489166,-0.4167327248757193,3.976094957602642,0.7126110703203243,-0.6477192617689459,0.8528028654224415,-0.49430000374546906,3.368976105584603,0.2968260885977624,1.3573430366266113,-31.4335,-64.1996,-0.32958665039282287,0.08706336701161299,-0.03994874630728455,0.893580084766598,0.5232834139560907,0.4405386226529281,-1.0117566654304488,Cluster 1,Núcleo Consolidado (Alta Infraestructura),Muy Alta,<b>CACERES</b><hr>Tipología: <span style='color:#38bdf8'>Núcleo Consolidado (Alta Infraestructura)</span><br>Pob: 875.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Alta</b>
CALIFORNIA,-0.46709727795585615,-0.39663060868262456,-0.3133147800925154,0.14578612599170437,-0.35247373213133265,-0.31179283249633316,-0.31679235383650955,-0.48584923172746025,-0.28636447124311254,0.7634318624804068,-0.12086934138561026,-0.28378320797232354,-1.0337319105490443,-1.0471606290981799,-0.44690291629477147,0.48758245431646347,-0.4167327248757193,-0.2757577768833604,1.004103995244889,-0.6477192617689459,0.8528028654224415,-0.49430000374546906,-0.2968260885977624,0.2968260885977624,0.7184238227836126,-31.4512,-64.2049,-0.365993121222187,0.6266746118374831,0.651101256755997,1.6100302753323592,-0.04067584710878904,-0.47698442390653056,-1.0117566654304488,Cluster 1,Núcleo Consolidado (Alta Infraestructura),Muy Alta,<b>CALIFORNIA</b><hr>Tipología: <span style='color:#38bdf8'>Núcleo Consolidado (Alta Infraestructura)</span><br>Pob: 600.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Alta</b>
CAMINO A SAN CARLOS,-0.3628992407516273,-0.3328244471834355,0.03730893027990258,2.3353055392721664,-0.5498909925314214,-0.6586974704539651,-0.31679235383650955,-0.48584923172746025,-1.0260457721272829,-0.7696386255900036,-0.5454591245138511,-0.28378320797232354,-1.0337319105490443,-0.40121352197395516,-0.44690291629477147,-0.7611141943048213,-0.4167327248757193,-0.2757577768833604,-1.0409489990942924,-0.6477192617689459,-1.1726039399558572,-0.49430000374546906,-0.2968260885977624,-3.3689761055846037,-1.228937512181561,-31.4984,-64.1602,8.61426968335429,-1.3506819239196848,-1.1558548902335444,-0.5223879432644044,-0.6046351081736687,0.4751621338438511,-1.6926937127365,Cluster 0,Vulnerabilidad y Periferia NBI,Muy Baja,<b>CAMINO A SAN CARLOS</b><hr>Tipología: <span style='color:#38bdf8'>Vulnerabilidad y Periferia NBI</span><br>Pob: 1123.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Baja</b>
CAMINO A VILLA POSSE,-0.4870204208247335,-0.39663060868262456,-0.3666705621057094,-0.4747254486221917,-0.15505647173124384,0.035111805461298766,-0.31679235383650955,-0.48584923172746025,-0.6562051216851977,-0.5780048145812022,-0.5454591245138511,-0.28378320797232354,0.32441586554464696,-1.2349599477828588,-0.44690291629477147,2.2297759820335856,-0.4167327248757193,-0.2757577768833604,0.18638963216703167,1.8340599757482867,0.8528028654224415,-0.49430000374546906,-0.2968260885977624,0.2968260885977624,1.0566751712887297,-31.4454,-64.1016,0.3378653148121857,-1.284081527805495,-1.0780240647262986,-0.39927562592937205,0.5232834139560907,-1.342572203679605,-1.0117566654304488,Cluster 1,Núcleo Consolidado (Alta Infraestructura),Muy Alta,<b>CAMINO A VILLA POSSE</b><hr>Tipología: <span style='color:#38bdf8'>Núcleo Consolidado (Alta Infraestructura)</span><br>Pob: 500.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Alta</b>
CAMPING GRL SAN MARTIN,-0.4870204208247335,-0.39663060868262456,-0.4047818349722766,-0.9179480019178317,-0.5498909925314214,-0.6586974704539651,-0.31679235383650955,-0.48584923172746025,-1.0260457721272829,-0.7696386255900036,-0.5454591245138511,-0.28378320797232354,0.32441586554464696,-1.2349599477828588,-0.44690291629477147,-0.7611141943048213,-0.4167327248757193,-0.2757577768833604,-1.0409489990942924,1.8340599757482867,-1.1726039399558572,-0.49430000374546906,-0.2968260885977624,-3.3689761055846037,-1.228937512181561,-31.3644,-64.2619,-0.40239959205155107,-1.3657385904896708,-1.1674591357020647,-0.5223879432644044,-0.6046351081736687,-1.342572203679605,1.0310544764877052,Cluster 4,Transición Urbana Mixta,Muy Baja,<b>CAMPING GRL SAN MARTIN</b><hr>Tipología: <span style='color:#38bdf8'>Transición Urbana Mixta</span><br>Pob: 500.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Baja</b>
CARBO,-0.2989459521425309,-0.28937025099002234,-0.18373645234618702,0.3833534145581674,-0.5498909925314214,-0.6586974704539651,-0.31679235383650955,1.9142459730061934,1.9326794314093987,-0.19473719256359964,-0.45447559955779954,-0.28378320797232354,1.682563641638338,-0.1422155604912396,-0.44690291629477147,-0.7611141943048213,3.2290985212218493,-0.2757577768833604,2.358779009499575,1.0709128602117377,-1.1726039399558572,2.0230629019273323,-0.2968260885977624,0.2968260885977624,2.1675355523317252,-31.4815,-64.2062,-0.3113834149781408,0.5522918497550035,0.2692031924417397,0.9651898280875478,-0.6046351081736687,0.665591445393928,-1.0117566654304488,Cluster 1,Núcleo Consolidado (Alta Infraestructura),Muy Alta,<b>CARBO</b><hr>Tipología: <span style='color:#38bdf8'>Núcleo Consolidado (Alta Infraestructura)</span><br>Pob: 1444.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Alta</b>
CAROLA LORENZINI,-0.4870204208247335,-0.39663060868262456,-0.38191507125233626,-0.6520144699404476,-0.5498909925314214,-0.6586974704539651,-0.31679235383650955,-0.48584923172746025,-0.37882463385363385,0.3801642404628043,-0.4848034412098168,-0.28378320797232354,0.32441586554464696,-1.2349599477828588,-0.44690291629477147,-0.7611141943048213,-0.4167327248757193,-0.2757577768833604,1.1068936056130247,1.8340599757482867,-1.1726039399558572,-0.49430000374546906,-0.2968260885977624,0.2968260885977624,0.16326208571330925,-31.4288,-64.2143,-0.35992537608395964,0.05741426614778253,0.39130691497627385,0.7842253043257383,-0.6046351081736687,-1.342572203679605,1.0310544764877052,Cluster 4,Transición Urbana Mixta,Alta,<b>CAROLA LORENZINI</b><hr>Tipología: <span style='color:#38bdf8'>Transición Urbana Mixta</span><br>Pob: 500.0<br>Score Infra: <b style='color:#e2e8f0'>Alta</b>
CARRARA,-0.4870204208247335,-0.39663060868262456,-0.3209370346658288,0.057141615332576376,-0.5498909925314214,-0.6586974704539651,-0.31679235383650955,1.9142459730061934,-0.10144414602206994,-0.38637100357240095,-0.49086900954022017,-0.28378320797232354,-1.0337319105490443,-1.2349599477828588,-0.44690291629477147,-0.7611141943048213,3.2290985212218493,-0.2757577768833604,2.0273975790590177,-0.6477192617689459,-1.1726039399558572,2.0230629019273323,-0.2968260885977624,0.2968260885977624,1.952772791376095,-31.454,-64.2571,-0.32351890525459553,-0.5994265866766125,-0.32812356995219005,1.0854800865724936,-0.6046351081736687,-1.342572203679605,-1.0117566654304488,Cluster 1,Núcleo Consolidado (Alta Infraestructura),Muy Alta,<b>CARRARA</b><hr>Tipología: <span style='color:#38bdf8'>Núcleo Consolidado (Alta Infraestructura)</span><br>Pob: 500.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Alta</b>
CASEROS,-0.28838668642202586,-0.16615835292262285,-0.35904830753239597,-0.7459776512391234,-0.35247373213133265,-0.31179283249633316,-0.31679235383650955,-0.48584923172746025,-0.10144414602206994,-0.003103381554798346,-0.5333279878530442,-0.28378320797232354,-1.0337319105490443,-0.10506844250965432,-0.44690291629477147,-0.2601400897681382,-0.4167327248757193,-0.2757577768833604,-0.016121241991086842,-0.6477192617689459,0.8528028654224415,-0.49430000374546906,-0.2968260885977624,0.2968260885977624,-0.3151219643153561,-31.4142,-64.2083,-0.31745116011636815,0.7647209529739224,1.2447345192993449,-0.09343499805122582,-0.04067584710878904,-1.481066248443297,0.35011742918165384,Cluster 3,Transición Urbana Mixta,Media,<b>CASEROS</b><hr>Tipología: <span style='color:#38bdf8'>Transición Urbana Mixta</span><br>Pob: 1497.0<br>Score Infra: <b style='color:#e2e8f0'>Media</b>
CENTRO,5.0316901538543055,7.426774865480869,3.9246587626697536,-0.219429257923903,7.346799423472129,5.932490650741042,7.186412848674791,-0.48584923172746025,10.069173741135273,11.49492527897328,8.061582336328634,2.831525786212739,1.682563641638338,2.9234535373778825,1.5133567170546118,0.300651818295313,-0.4167327248757193,0.6791016758404771,-0.3873911779476374,-0.5596160988370842,0.8528028654224415,-0.49430000374546906,3.368976105584603,0.2968260885977624,-0.14223794174607407,-31.4178,-64.1835,1.4907368910753824,0.43509611278091775,1.3545738582827582,-0.49945871510744994,-0.6553914416695078,-2.2774070058345255,0.35011742918165384,Cluster 3,Transición Urbana Mixta,Media,<b>CENTRO</b><hr>Tipología: <span style='color:#38bdf8'>Transición Urbana Mixta</span><br>Pob: 28200.0<br>Score Infra: <b style='color:#e2e8f0'>Media</b>
CENTRO AMERICA,0.5149144340511107,0.40534683498821666,-0.13038067033299297,-0.5332308256572161,0.4371953094690225,1.0758257193341945,-0.31679235383650955,-0.48584923172746025,0.4533168296410579,-0.38637100357240095,1.4561784245192846,-0.28378320797232354,0.32441586554464696,1.2425464487111715,-0.44690291629477147,-0.08816390462867979,-0.4167327248757193,-0.2757577768833604,-0.597572918551139,-0.42311824077363636,0.8528028654224415,-0.49430000374546906,-0.2968260885977624,0.2968260885977624,-0.6061255054102345,-31.3711,-64.1696,0.0041393322096814275,0.27844860198755234,0.1826214455750646,-0.4613609206312794,2.2151611971507297,0.09430351074369873,0.35011742918165384,Cluster 3,Transición Urbana Mixta,Baja,<b>CENTRO AMERICA</b><hr>Tipología: <span style='color:#38bdf8'>Transición Urbana Mixta</span><br>Pob: 5529.0<br>Score Infra: <b style='color:#e2e8f0'>Baja</b>
