nombre,tipo,barrio,longitud,latitud
CS N° 48 - Villa Azalais Este,Centro de Salud,VILLA AZALAIS,-64.150701,-31.37525
CS N° 49 - Colinas del Cerro,Centro de Salud,COLINAS DEL CERRO,-64.248691,-31.379297
CS N° 50 - Villa Adela,Centro de Salud,VILLA ADELA,-64.248264,-31.435822
CS N° 51 - Guiñazu,Centro de Salud,GUINAZU,-64.176877,-31.313835
CS N° 52 - Villa Urquiza,Centro de Salud,URQUIZA,-64.241363,-31.391963
CS N° 53 - Inaudi,Centro de Salud,INAUDI,-64.193448,-31.47643
CS N 54 - Los Boulevares,Centro de Salud,LOS BOULEVARES,-64.217497,-31.344621
CS N° 55 - Las Palmas,Centro de Salud,LAS PALMAS,-64.240834,-31.406385
CS N° 56 - Empalme,Centro de Salud,EMPALME,-64.124231,-31.432059
CS N° 57 - Arguello I.P.V,Centro de Salud,ARGUELLO,-64.244565,-31.333858
CS N° 58 - Maldonado,Centro de Salud,MALDONADO,-64.131618,-31.414486
CS N° 59 - Congreso,Centro de Salud,CONGRESO,-64.232624,-31.467755
CS N° 60 - Marqués de Sobremonte Anexo,Centro de Salud,MARQUES ANEXO,-64.190261,-31.372003
CS N° 61 - Cerrito Autodromo,Centro de Salud,CERRITO AUTODROMO,-64.248648,-31.325207
CS N° 62 - Villa Cornú,Centro de Salud,VILLA CORNU,-64.2701,-31.313475
CS N° 63 - Parque República,Centro de Salud,PARQUE REPUBLICA,-64.259353,-31.415466
CS N° 64 - Oña / Bialet Massé,Centro de Salud,BIALET MASSE,-64.165108,-31.452486
CS N° 65 - San Roque,Centro de Salud,RESIDENCIAL SAN ROQUE,-64.247017,-31.421891
CS N° 66 - Mercantil Anexo,Centro de Salud,MERCANTIL,-64.256233,-31.32051
CS N° 67 - 16 de Noviembre,Centro de Salud,COOPERATIVA 16 DE NOVIEMBRE,-64.261726,-31.313572
CS N° 68 - Carcano,Centro de Salud,RAMON J CARCANO,-64.144551,-31.46598
CS N° 69 - General Arenales,Centro de Salud,GENERAL ARENALES,-64.060866,-31.369312
CS N° 70 - Estación Flores,Centro de Salud,ESTACION FLORES,-64.247673,-31.4484977
CS N° 71 - Cooperativa El Arco,Centro de Salud,COOPERATIVA EL FUTURO,-64.1330108,-31.4522672
CS N° 72 - La Floresta,Centro de Salud,LA FLORESTA,-64.059992,-31.378005
CS N° 73 - Parque Futura,Centro de Salud,PARQUE FUTURA,-64.246765,-31.483352
CS N° 74 - Villa Esquiú,Centro de Salud,VILLA ESQUIU,-64.105461,-31.355414
CS N° 75 - Cerveceros,Centro de Salud,CERVECEROS,-64.16007,-31.464296
CS N° 76 - Villa Unión,Centro de Salud,VILLA UNION,-64.263116,-31.421353
CS N° 77 - Don Bosco,Centro de Salud,PARQUE DON BOSCO,-64.272305,-31.384804
CS N° 78 - Parque Liceo II Secc.,Centro de Salud,PARQUE LICEO SECCION 2,-64.162989,-31.357558
CS N°79 - Albert Sabin,Centro de Salud,VILLA RIVADAVIA,-64.198297,-31.4995545
CS N° 80 - Renacimiento,Centro de Salud,RENACIMIENTO,-64.122643,-31.41547
CS N° 81 - San Lorenzo,Centro de Salud,SAN LORENZO,-64.1085074,-31.4539896
CS N° 82 - Villa Allende Parque,Centro de Salud,VILLA ALLENDE PARQUE,-64.283195,-31.315606
CS N° 83 - Ameghino Norte,Centro de Salud,AMEGHINO NORTE,-64.2391559,-31.428274
CS N° 84 - Bajo Grande,Centro de Salud,BAJO GENERAL PAZ,-64.11575,-31.402825
CS N° 85 - Patricios Este,Centro de Salud,PATRICIOS ESTE,-64.1363124,-31.3660524
CS N° 86 - Villa El Libertador,Centro de Salud,VILLA EL LIBERTADOR,-64.216515,-31.480657
CS N° 87 - Sachi,Centro de Salud,SACHI,-64.2616605,-31.4526836
CS N° 88 - Villa la Merced,Centro de Salud,VILLA LA MERCED,-64.0634881,-31.4095134
CS N° 89 - Villa Rivadavia,Centro de Salud,VILLA RIVADAVIA,-64.1965928,-31.5139885
CS N° 90 - Ituzaingo Anexo,Centro de Salud,ITUZAINGO ANEXO,-64.082319,-31.463619
CS N° 91 - Villa Bustos,Centro de Salud,VILLA BUSTOS,-64.113185,-31.439264
CS N° 92 - Los Cortaderos,Centro de Salud,LAS CORTADERAS,-64.231299,-31.332388
CS N° 93 - Villa La Tela,Centro de Salud,LAS PALMAS,-64.252617,-31.427766
CS N° 94 - Parque Liceo III Secc.,Centro de Salud,PARQUE LICEO SECCION 3,-64.1516791,-31.3540435
CS N° 95 - Camino a 60 Cuadras,Centro de Salud,BH_CAMINO A 60 CUADRAS,-64.1468027,-31.4502847
CS N° 96 - Jose Ignacio Diaz 1 Secc,Centro de Salud,JOSE IGNACIO DIAZ SECCION 1,-64.1284778,-31.4436506
CS N° 97 - Cabildo,Centro de Salud,EL CABILDO,-64.234529,-31.488507
CS N° 98 - Mercado de Abasto,Centro de Salud,CENTRO,-64.1076423,-31.3931263
