barrio,poblacion,hogares,nbi,pct_nbi,escuelas_municipales,escuelas_total,escuelas_estatales,escuelas_privadas,centros_salud,paradas_colectivo,lineas_colectivo,luminarias_reportes,comisarias,centros_vecinales,hogares_por_poblacion,densidad_hogares,escuelas_por_1000_hab,centros_salud_por_10000_hab,comisarias_por_10000_hab,paradas_por_1000_hab,centros_vecinales_por_10000_hab,tiene_escuela,tiene_centro_salud,tiene_comisaria,tiene_transporte,infraestructura_score
COLINAS DE BELLA VISTA,817.0,242.0,13.0,5.37,0,1,1,0,1,6,2,21,0,0,0.296,0.296,1.22,6.656999999999986,0.0,7.34,0.0,1,1,0,1,0.4428
COLINAS DE VELEZ SARSFIELD,1642.0,581.0,4.0,0.69,0,4,1,3,0,18,9,317,0,1,0.354,0.354,2.44,0.0,0.0,10.96,6.09,1,0,0,1,0.3723
COLINAS DEL CERRO,2264.0,674.0,27.0,4.01,0,4,4,0,0,11,3,300,0,0,0.298,0.298,1.77,0.0,0.0,4.86,0.0,1,0,0,1,0.2128
COLON,3862.0,1259.0,30.0,2.38,0,11,5,6,0,12,4,281,0,1,0.326,0.326,2.85,0.0,0.0,3.11,2.59,1,0,0,1,0.2554
COLONIA LOLA,9418.0,2368.0,292.0,12.33,0,1,1,0,1,0,0,11,0,1,0.251,0.251,0.11,1.06,0.0,0.0,1.06,1,1,0,0,0.043
COMANDANTE ESPORA,1567.0,500.0,10.0,2.0,0,0,0,0,0,10,3,20,0,1,0.319,0.319,0.0,0.0,0.0,6.38,6.38,0,0,0,1,0.1181
COMERCIAL,6575.0,1700.0,215.0,12.65,0,2,2,0,0,5,1,37,1,0,0.259,0.259,0.3,0.0,1.52,0.76,0.0,1,0,1,1,0.1433
CONGRESO,2534.0,657.0,39.0,5.94,0,4,4,0,0,10,5,97,0,1,0.259,0.259,1.58,0.0,0.0,3.95,3.95,1,0,0,1,0.1828
CONSORCIO 16 DE NOVIEMBRE,785.0,213.0,12.0,5.63,0,6,6,0,2,15,3,28,0,3,0.271,0.271,4.8035,6.656999999999986,0.0,19.11,38.22,1,1,0,1,0.9094
CONSORCIO ESPERANZA,500.0,200.0,3.0,1.5,0,0,0,0,0,6,2,4,0,0,0.4,0.4,0.0,0.0,0.0,12.0,0.0,0,0,0,1,0.2222
COOPERATIVA 16 DE NOVIEMBRE,5676.0,1377.0,174.0,12.64,0,2,2,0,1,6,1,140,0,1,0.243,0.243,0.35,1.76,0.0,1.06,1.76,1,1,0,1,0.1027
COOPERATIVA EL FUTURO,500.0,200.0,12.0,6.0,0,0,0,0,0,3,2,0,0,0,0.4,0.4,0.0,0.0,0.0,6.0,0.0,0,0,0,1,0.1111
COOPERATIVA LA HERMOSA,500.0,200.0,24.0,12.0,0,0,0,0,0,0,0,0,0,1,0.4,0.4,0.0,0.0,0.0,0.0,20.0,0,0,0,0,0.0
