stop_id,stop_name,stop_lat,stop_lon,barrio_asignado
C6005,De Los Valsecitos 673,-31.310524,-64.180541,GUINAZU
C6172,Avenida Juan B. Justo RUTA 9,-31.313342442710383,-64.17587399482728,GUINAZU
C6156,Margarita Weild de Paz 412,-31.336475,-64.179994,REMEDIOS DE ESCALADA
C6074,Jujuy 531,-31.407687104316235,-64.18830871582033,URQUIZA
C6042,Lamartine 2702,-31.442275,-64.201956,LAS FLORES
C7154,Cleto Aguirre 6272,-31.409207,-64.265932,LOS ROBLES
C7321,Avenida Santa Ana 3849,-31.411634,-64.235306,QUINTA SANTA ANA
C7313,Avenida Santa Ana 1700,-31.416734,-64.209123,CUPANI
p14_ida_a,Juan del Campillo 723,-31.398992,-64.187547,SAN MARTIN
C704,Mariano Fragueíro 3715,-31.370777718097408,-64.18394207954408,HIPOLITO IRIGOYEN
p23_vuelta_a,Mariano Fragueíro 4438,-31.365872165702825,-64.18385088443758,HIPOLITO IRIGOYEN
C5704,Blas Parera 3923,-31.41449,-64.132411,MALDONADO
C5024,Carlos Pellegrini 1246,-31.422007334983338,-64.15678739547731,YAPEYU
C5696,Estanislao Learte 123,-31.411702,-64.136081,MALDONADO
C5686,Argandoña 2784,-31.420176,-64.14792,YAPEYU
C5116,Leticia 1509,-31.424003,-64.166465,CRISOL SUD
C9308,José Figueroa 301,-31.391071,-64.248878,COLINAS DEL CERRO
C5589,Doctor Enrique Tornú 2475,-31.397303,-64.211628,VILLA PAEZ
C5572,Corrientes 3611,-31.427464,-64.138527,ACOSTA
C6275,Viña del Mar 4100,-31.458741,-64.203989,CABO FARINA
C5469,Corrientes 1607,-31.425262,-64.163268,CRISOL SUD
C5459,José M. Solares 1745,-31.428764,-64.142448,ACOSTA
C5449,Emilio Salgari 1599,-31.427546,-64.126478,ACOSTA
C5552,Medrano 6194,-31.435094,-64.108266,VILLA BUSTOS
C5541,Ramos Mejia 2078,-31.433872,-64.123394,EMPALME
