id,cueanexo,nombre,est_sector,est_ambito,est_domicilio,est_barrio,est_localidad,est_departamento,nivel,n_plan_estudio,lon,lat
4619,140424900,J.DE INF. BRIG. MAYOR JUAN I. SAN MARTIN,Privado,Urbano,ORSTEIN 8948,MERCANTIL,CORDOBA,CAPITAL,"[""0. Común - Inicial""]",,-64.259,-31.3193
4620,140425000,J.DE INF. CASTELFRANCO,Privado,Urbano,BLAS PASCAL 6499,VILLA BELGRANO,CORDOBA,CAPITAL,"[""0. Común - Inicial""]",,-64.2577,-31.3523
4621,140425100,J.DE INF. JUAN MANTOVANI,Privado,Urbano,AVOGADRO 5716,VILLA BELGRANO,CORDOBA,CAPITAL,"[""0. Común - Inicial""]",,-64.25,-31.3538
4622,140425200,J.DE INF. ISRAELITA GENERAL SAN MARTIN,Privado,Urbano,AV. DUARTE QUIROS 4850,LAS PALMAS,CORDOBA,CAPITAL,"[""0. Común - Inicial""]",,-64.2412,-31.3959
4623,140425300,J.DE INF. DE LA INMACULADA,Privado,Urbano,ENTRE RIOS 142,CENTRO,CORDOBA,CAPITAL,"[""0. Común - Inicial""]",,-64.1829,-31.4189
4624,140425600,J.DE INF. HOGAR LA INMACULADA,Privado,Urbano,LEON XIII 8626,VILLA RIVERA INDARTE,CORDOBA,CAPITAL,"[""0. Común - Inicial""]",,-64.2867,-31.3358
4625,140425700,J.DE INF. PETER PAN,Privado,Urbano,LUCIANO DE FIGUEROA 144,MARQUES DE SOBREMONTE,CORDOBA,CAPITAL,"[""0. Común - Inicial""]",,-64.2041,-31.3668
4626,140425800,COLEGIO INMACULADA CONCEPCION,Privado,Urbano,MADRE TRANSITO CABANILLAS 416,VILLA NUEVA,VILLA NUEVA,GENERAL SAN MARTIN,"[""1. Común - Primario""]",,-63.2459,-32.4359
4627,140426200,COLEGIO SANTA TERESITA DEL NIÑO JESUS,Privado,Urbano,BV 12 DE OCTUBRE 681,CIRCUNVALACION,FREYRE,SAN JUSTO,"[""1. Común - Primario""]",,-62.0953,-31.1654
4628,140450900,J.DE INF. ALEMAN,Privado,Urbano,AV RECTA MARTINOLI 6230,ARGUELLO,CORDOBA,CAPITAL,"[""0. Común - Inicial""]",,-64.2534,-31.3487
4629,140426300,COLEGIO MIGUEL CANE,Privado,Urbano,BV. EMILIO F. OLMOS 156,,TRANSITO,SAN JUSTO,"[""0. Común - Inicial"",""1. Común - Primario""]",,-63.1927,-31.4276
4630,140427000,COLEGIO MUSICAL COLLEGIUM,Privado,Urbano,CASEROS 963,ALBERDI,CORDOBA,CAPITAL,"[""1. Común - Primario""]",,-64.1977,-31.4147
4631,140427100,COLEGIO DANTE ALIGHIERI,Privado,Urbano,JOSE JAVIER DIAZ 481,SAN FERNANDO,CORDOBA,CAPITAL,"[""1. Común - Primario""]",,-64.1906,-31.4465
4632,140427300,COLEGIO DE NIÑOS MUSICOS,Privado,Urbano,ITUZAINGO 658,NUEVA CORDOBA,CORDOBA,CAPITAL,"[""1. Común - Primario""]",,-64.1848,-31.4246
4633,140427400,COLEGIO 17 DE AGOSTO,Privado,Urbano,TABLADA,CENTRO,VILLA ALLENDE,COLON,"[""1. Común - Primario""]",,-64.2954,-31.2927
4634,140427600,COLEGIO NUESTRA SEÑORA DE LAS MERCEDES,Privado,Urbano,AZOPARDO 200,CENTRO,UNQUILLO,COLON,"[""1. Común - Primario""]",,-64.3129,-31.2383
4635,140427700,COLEGIO MARYLAND (TIERRA DE MARIA),Privado,Urbano,ALBERTI S/N°,ESPAÑOL,VILLA ALLENDE,COLON,"[""1. Común - Primario""]",,-64.2977,-31.288
4636,140455700,J.DE INF. DEL CARMEN,Privado,Urbano,AV. RECTA MARTINOLI  6460,ARGUELLO,CORDOBA,CAPITAL,"[""0. Común - Inicial""]",,-64.255,-31.3484
4637,140430500,COLEGIO DEL CARMEN,Privado,Urbano,AV.RECTA MARTINOLI 6460,ARGUELLO,CORDOBA,CAPITAL,"[""1. Común - Primario""]",,-64.2552,-31.3484
4638,140430700,COLEGIO PIO LEON,Privado,Urbano,AV. 28 DE JULIO 345,,COLONIA CAROYA,COLON,"[""1. Común - Primario""]",,-64.104,-30.9859
4639,140430800,COLEGIO SOR MARIA ANTONIA DE PAZ Y FIGUEROA,Privado,Urbano,Altolaguirre 1997,YOFRE NORTE,CORDOBA,CAPITAL,"[""1. Común - Primario""]",,-64.1348,-31.3856
4640,140431000,COLEGIO NUESTRA SEÑORA,Privado,Urbano,INCA MANCO 3450,JARDIN ESPINOSA,CORDOBA,CAPITAL,"[""1. Común - Primario""]",,-64.1741,-31.4548
