X,Y,Name,NOMBRE_BAR,SUP_HA_MOD,COD_BA_14,Poblacion,Hombres,Mujeres,%Poblacion,Hogares,NBI(hogares)
-64.1435193646877,-31.4366816283972,377-SAN CAYETANO,SAN CAYETANO,5.43,"377","288","141","147",0.02%,"65","6"
-64.1905169218078,-31.4744328449938,376-SAN ANTONIO,SAN ANTONIO,19.67,"376","323","154","169",0.02%,"93","4"
-64.2663075456171,-31.4537288140298,375-SACHI,SACHI,14.87,"375","1,053","513","540",0.08%,"255","28"
-64.2285738840511,-31.4394090528371,374-ROSEDAL ANEXO,ROSEDAL ANEXO,14.13,"374","916","425","491",0.07%,"288","6"
-64.2262394291001,-31.4339776305225,373-ROSEDAL,ROSEDAL,34.27,"373","2,314","1,090","1,224",0.17%,"755","6"
-64.1782006713031,-31.4382346065369,372-ROGELIO MARTINEZ,ROGELIO MARTINEZ,32.46,"372","1,204","563","641",0.09%,"390","3"
-64.1912693028927,-31.4868760584956,371-ROCIO DEL SUR,ROCIO DEL SUR,6.19,"371",,,,,,
-64.2812790975783,-31.3681953277905,140-ROCIO,ROCIO,0,"140",,,,,,
-64.2784185085462,-31.3698979248223,140-ROCIO,ROCIO,0,"140",,,,,,
-64.2817631834011,-31.3664241822845,140-ROCIO,ROCIO,0,"140",,,,,,
-64.296330832545,-31.333982397703,370-RIVERA INDARTE,RIVERA INDARTE,107.86,"370","1,742","855","887",0.13%,"517","23"
-64.1487458501079,-31.432367391206,369-RIVADAVIA,RIVADAVIA,34.32,"369","3,105","1,443","1,662",0.23%,"1,064","25"
-64.2091247187554,-31.4488841804524,368-RESIDENCIAL VELEZ SARSFIELD,RESIDENCIAL VELEZ SARSFIELD,46.44,"368","3,161","1,509","1,652",0.24%,"1,013","6"
-64.2254447512096,-31.4663754728897,367-RESIDENCIAL SUD,RESIDENCIAL SUD,19.28,"367","947","431","516",0.07%,"282","5"
-64.2053354654748,-31.4776887498821,366-RESIDENCIAL SANTA ROSA,RESIDENCIAL SANTA ROSA,28.13,"366","2,741","1,375","1,366",0.21%,"713","43"
-64.2149551539217,-31.4238461538475,365-RESIDENCIAL SANTA ANA,RESIDENCIAL SANTA ANA,29.34,"365","1,547","734","813",0.12%,"474","13"
-64.2472947834154,-31.4270382314086,364-RESIDENCIAL SAN ROQUE,RESIDENCIAL SAN ROQUE,157.2,"364","13,559","6,686","6,873",1.02%,"3,398","501"
-64.1313841061964,-31.3688964311861,363-RESIDENCIAL SAN JORGE,RESIDENCIAL SAN JORGE,10.08,"363","1,120","549","571",0.08%,"292","36"
-64.12826343487,-31.3688158228595,363-RESIDENCIAL SAN JORGE,RESIDENCIAL SAN JORGE,10.08,"363","1,120","549","571",0.08%,"292","36"
-64.1657393867709,-31.4440185024215,362-RESIDENCIAL SAN CARLOS,RESIDENCIAL SAN CARLOS,43.73,"362","2,868","1,328","1,540",0.22%,"908","17"
-64.2106558663057,-31.4327587703916,361-RESIDENCIAL OLIVOS,RESIDENCIAL OLIVOS,20.32,"361","971","432","539",0.07%,"311","4"
-64.1307766978515,-31.3715261997823,360-RESIDENCIAL ARAGON,RESIDENCIAL ARAGON,13.57,"360","1,719","810","909",0.13%,"432","55"
-64.1618882993704,-31.3823716514569,359-RESIDENCIAL AMERICA,RESIDENCIAL AMERICA,84.71,"359","6,874","3,181","3,693",0.52%,"2,183","50"
-64.2625812057562,-31.3911227810288,358-RES CHATEAU CARRERAS CO VI CO,RES CHATEAU CARRERAS CO VI CO,4.29,"358","201","92","109",0.02%,"62","0"
-64.2361423987957,-31.4488242294769,357-RENE FAVALORO II,RENE FAVALORO II,16.42,"357","1,536","739","797",0.12%,"470","9"
-64.2319102857693,-31.4091999467218,356-RENE FAVALORO,RENE FAVALORO,10.6,"356","1,012","471","541",0.08%,"296","1"
-64.1212770221383,-31.4183241408712,355-RENACIMIENTO,RENACIMIENTO,26.45,"355","2,927","1,425","1,502",0.22%,"699","71"
-64.1869920177232,-31.3421300238043,354-REMEDIOS DE ESCALADA,REMEDIOS DE ESCALADA,244.32,"354","4,565","2,225","2,340",0.34%,"1,256","150"
-64.167325622174,-31.3123539634767,353-RECREO DEL NORTE,RECREO DEL NORTE,49.95,"353","2,032","1,033","999",0.15%,"487","61"
-64.1376703606332,-31.463692802931,352-RAMON J CARCANO,RAMON J CARCANO,149.54,"352","2,031","992","1,039",0.15%,"532","50"
-64.1306408255164,-31.3740431522688,351-QUINTAS DE SAN JORGE,QUINTAS DE SAN JORGE,9.47,"351","1,537","758","779",0.12%,"340","46"
-64.177191210219,-31.4979842970964,350-QUINTAS DE ITALIA,QUINTAS DE ITALIA,41.06,"350","436","228","208",0.03%,"115","3"
-64.1636669610672,-31.4894148301706,349-QUINTAS DE FLORES,QUINTAS DE FLORES,22.75,"349","194","94","100",0.01%,"44","0"
-64.2713056429599,-31.3400189964185,348-QUINTAS DE ARGUELLO,QUINTAS DE ARGUELLO,7.75,"348","649","322","327",0.05%,"205","2"
-64.2041555793476,-31.4116430526547,347-QUINTA SANTA ANA,QUINTA SANTA ANA,14.36,"347","648","300","348",0.05%,"242","0"
-64.2557636529928,-31.3911204679379,346-QUEBRADA DE LAS ROSAS,QUEBRADA DE LAS ROSAS,161.23,"346","4,842","2,350","2,492",0.36%,"1,503","20"
-64.2354259890449,-31.4102088438482,345-PUENTE BLANCO,PUENTE BLANCO,18.21,"345","1,157","549","608",0.09%,"354","14"
-64.2007718428186,-31.4007885482133,344-PROVIDENCIA,PROVIDENCIA,61.31,"344","4,998","2,301","2,697",0.38%,"1,856","148"
-64.2277644708514,-31.4262217020123,343-PRIMERA JUNTA,PRIMERA JUNTA,9.91,"343","783","372","411",0.06%,"253","3"
-64.1941605174631,-31.4798946482734,342-POSTA DE VARGAS,POSTA DE VARGAS,8.28,"342","719","350","369",0.05%,"171","5"
-64.2889913814107,-31.3439690435074,341-PORTAL DEL JACARANDA,PORTAL DEL JACARANDA,9.49,"341","183","87","96",0.01%,"54","2"
-64.1094454944293,-31.4442984208467,340-PORTAL DE CORDOBA,PORTAL DE CORDOBA,23.98,"340","2,234","1,056","1,178",0.17%,"535","20"
-64.2613138583502,-31.3161093319768,339-POLICIAL,POLICIAL,80.19,"339","4,680","2,327","2,353",0.35%,"1,212","156"
-64.2686123379366,-31.3149302930297,339-POLICIAL,POLICIAL,80.19,"339","4,680","2,327","2,353",0.35%,"1,212","156"
-64.1379006955884,-31.4365154316367,338-POLICARPIO CABRAL,POLICARPIO CABRAL,7.1,"338","517","233","284",0.04%,"157","5"
-64.2119307156898,-31.3609843553083,337-POETA LUGONES,POETA LUGONES,152.1,"337","7,839","3,731","4,108",0.59%,"2,591","14"
-64.1625623852958,-31.4828367695047,336-PIEDRAS BLANCAS,PIEDRAS BLANCAS,3.54,"336","41","18","23",0.00%,"16","0"
-64.144607787169,-31.366869744123,335-PATRICIOS OESTE,PATRICIOS OESTE,51.03,"335","5,211","2,565","2,646",0.39%,"1,370","114"
-64.1397902544819,-31.3665348992504,334-PATRICIOS NORTE,PATRICIOS NORTE,17.84,"334","1,790","854","936",0.13%,"485","39"
-64.1349339830755,-31.3664999296539,333-PATRICIOS ESTE,PATRICIOS ESTE,26.73,"333","2,550","1,238","1,312",0.19%,"653","51"
-64.1380411944225,-31.3756246362009,332-PATRICIOS,PATRICIOS,49.97,"332","4,731","2,263","2,468",0.36%,"1,400","67"
-64.1601858045219,-31.4090264654307,331-PATRIA,PATRIA,24.75,"331","1,790","789","1,001",0.13%,"640","5"
-64.203280297451,-31.4159538702898,330-PASO DE LOS ANDES,PASO DE LOS ANDES,38.28,"330","2,529","1,160","1,369",0.19%,"902","25"
-64.2040025565823,-31.4411595485323,329-PARQUE VELEZ SARSFIELD,PARQUE VELEZ SARSFIELD,65.15,"329","3,045","1,414","1,631",0.23%,"1,004","8"
-64.2312408178758,-31.3871781770563,328-PARQUE TABLADA,PARQUE TABLADA,23.75,"328","981","456","525",0.07%,"323","1"
-64.1789078506441,-31.4328801293591,0-PARQUE SARMIENTO,PARQUE SARMIENTO,0,"0",,,,,,
-64.1373491487954,-31.4249959692642,327-PARQUE SAN VICENTE,PARQUE SAN VICENTE,18.37,"327","1,327","622","705",0.10%,"451","3"
-64.1599280417188,-31.4494274723584,326-PARQUE SAN CARLOS,PARQUE SAN CARLOS,9.68,"326","749","362","387",0.06%,"231","2"
